,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
366,Pallavaram Children Medical Centre,"Pallavaram, Chennai",6.0,26.0
367,Arokya Hospital,"Nesapakkam, Chennai",2.0,10.0
368,Be Well Hospital,"T Nagar, Chennai",11.0,15.0
369,Cloudnine Hospital,"T Nagar, Chennai",33.0,150.0
370,Prime Care Nursing Home,"Adambakkam, Chennai",1.0,6.0
371,Appasamy Krishna Hospital,"Velachery, Chennai",2.0,10.0
372,Laksha Hospital,"Mylapore, Chennai",5.0,50.0
373,Vijayam Hospital and Fertility Centre,"Keelkattalai, Chennai",1.0,25.0
374,A.K. Hospital,"Aminjikarai, Chennai",7.0,20.0
375,Vasnthi Orthopedic Hospital,"Arumbakkam, Chennai",3.0,10.0
376,A2Z  Pregnanacy Care,"Anna Nagar East, Chennai",1.0,15.0
377,MV Hospital for Diabetes,"Adyar, Chennai",2.0,10.0
378,Ezhil Hospital,"Tondiarpet, Chennai",6.0,40.0
379,Mohan Nursing Home,"Ayanavaram, Chennai",4.0,30.0
380,Nirmals' Eye Hospital,"Tambaram West, Chennai",2.0,21.0
381,Bharathiraja Hospital,"T Nagar, Chennai",6.0,200.0
382,Rajan Eye Care Hospital Pvt Ltd,"T Nagar, Chennai",14.0,30.0
383,Vasan Eye Care Hospital,"Saidapet, Chennai",3.0,10.0
384,Teja Hospital,"Ambattur, Chennai",3.0,30.0
385,Rohit Hospital,"Thiruvottiyur, Chennai",2.0,30.0
386,Shree Ayurvedic Multispeciality Hospital,"T Nagar, Chennai",6.0,10.0
387,C M Hospital,"Medavakkam, Chennai",2.0,8.0
388,Jyothi Siddha & Ayurveda Hospital,"Tambaram, Chennai",1.0,10.0
389,Suraj Hospital,"Perumbakkam, Chennai",1.0,15.0
390,Kensington Hospital - Kilpauk,"Kilpauk, Chennai",5.0,3.0
391,Parvathy Hospital,"Chromepet, Chennai",5.0,50.0
392,Xcellent Care Hospital,"Velachery, Chennai",10.0,50.0
393,Apollo Spectra Hospital,"Alwarpet, Chennai",52.0,24.0
394,Swaram Hospital Navalur,"Navalur Place, Chennai",2.0,30.0
395,Right Hospitals,"Kilpauk, Chennai",4.0,20.0
396,Anand Hospital - Manali,"Manali, Chennai",3.0,40.0
397,Christudas Hospital,"Tambaram East, Chennai",1.0,15.0
398,Hande Hospital,"Shenoy Nagar, Chennai",23.0,20.0
399,Das Nursing Home,"Pozhichalur, Chennai",3.0,30.0
400,Dr V Seshiah & Balaji Research Institute & Diabetes Care Centre,"Aminjikarai, Chennai",3.0,50.0
401,Nagamani Hospital,"Washermenpet, Chennai",5.0,25.0
402,GLB Hospitals,"Anna Nagar, Chennai",3.0,10.0
403,PVR Dental Hospital,"Nanganallur, Chennai",1.0,1.0
404,N.S.Hospital,"Tambaram, Chennai",2.0,15.0
405,Vasan Eye Care Hospital,"Tambaram, Chennai",3.0,10.0
406,Dr. A.C Aruldas Hospital,"Perambur, Chennai",5.0,40.0
407,Hera Hospital,"Virugambakkam, Chennai",6.0,25.0
408,G R Fertility Centre,"Adambakkam, Chennai",1.0,20.0
409,Apollo Speciality Hospitals,"OMR Road, Chennai",52.0,70.0
410,Avm Medical ENT Research Foundation Hospital,"Mylapore, Chennai",2.0,25.0
411,RK Nursing Home,"Chromepet, Chennai",9.0,10.0
412,Sugam Hospital,"Thiruvottiyur, Chennai",4.0,100.0
413,M.M.Dental Care,"Alwarpet, Chennai",3.0,5.0
414,A V Hospital,"Washermenpet, Chennai",3.0,35.0
415,Vs Hospitals - Multi Speciality,"Chetpet, Chennai",31.0,50.0
416,Suman Hospital,"Thiruvottiyur, Chennai",2.0,5.0
417,Hiba Hospital,"Triplicane, Chennai",2.0,15.0
418,DRJ Hospital,"Kolathur, Chennai",5.0,75.0
419,Nova IVI Fertility,"Raja Annamalai Puram, Chennai",3.0,10.0
420,Sankara Kidney Hospital,"Pallavaram, Chennai",4.0,50.0
421,Spot Hospital,"Kodambakkam, Chennai",2.0,30.0
422,Chennai Meenakshi Multispeciality Hospital,"Mylapore, Chennai",2.0,100.0
423,K.P Hospital,"Adambakkam, Chennai",2.0,35.0
424,RSR'S Trinity Acute Care Hospital,"Mylapore, Chennai",8.0,50.0
425,Eswar Medical Foundation,"Kolathur, Chennai",2.0,35.0
426,Annamalai Hospital,"West Mambalam, Chennai",1.0,10.0
427,Bloom Fertility & Healthcare,"Velachery, Chennai",11.0,50.0
428,SKS Pet Hospital,"Kottivakkam, Chennai",1.0,2.0
429,GG Superspeciality Hospitals,"Nungambakkam, Chennai",4.0,30.0
430,Helios Hospitals,"Velachery, Chennai",10.0,25.0
431,Trauma and Orthopaedic Speciality Hospital (TOSH),"Kilpauk, Chennai",5.0,30.0
432,Motherhood Hospital Chennai,"Alwarpet, Chennai",4.0,5.0
433,V. S. Hospital,"Kovilambakkam, Chennai",1.0,8.0
434,Chellam Hospital,"Madambakkam, Chennai",2.0,30.0
435,Deepam Hospitals,"Chromepet, Chennai",28.0,40.0
436,Lakshya Hospital Fertility & Women's Centre,"Tambaram, Chennai",1.0,20.0
437,Sri Balaji Hospital,"Guindy, Chennai",30.0,55.0
438,Laser and Laparoscopic Hospital,"T Nagar, Chennai",2.0,50.0
439,Aashara Hospital,"Anna Nagar West, Chennai",2.0,12.0
440,Shivas Eye Care Hospital,"Anna Nagar, Chennai",1.0,1.0
441,Manashasthra Integrated Mind Care,"Vanagaram, Chennai",5.0,40.0
442,RathiMed Speciality Hospital,"Anna Nagar, Chennai",8.0,20.0
443,Anjakha Multispeciality Hospital,"Madipakkam, Chennai",10.0,30.0
444,Indigo Womens Center,"Anna Nagar, Chennai",2.0,6.0
445,Apollo Spectra Hospitals,"MRC Nagar, Chennai",75.0,70.0
446,Apollo Speciality Cancer Hospital,"Teynampet, Chennai",87.0,500.0
447,ANN Hospital,"Valasaravakkam, Chennai",16.0,50.0
448,Cherish Hospital,"Thirumullaivoyal, Chennai",4.0,20.0
449,S R Multispeciality Hospital,"Arumbakkam, Chennai",28.0,30.0
450,GMR Hospital,"Mogappair West, Chennai",2.0,35.0
451,Apollo Medical Center,"Karapakkam, Chennai",17.0,100.0
452,Niranjana Hospital and Well Women Centre,"Villivakkam, Chennai",4.0,25.0
453,Vasan Eye Care Hospital,"Neelankarai, Chennai",3.0,10.0
454,Agada Hospital,"T Nagar, Chennai",4.0,35.0
455,Raj Nursing Home,"Mogappair East, Chennai",4.0,5.0
456,Venkataeswara Hospitals,"Nandanam, Chennai",17.0,130.0
457,K H Nursing Home,"Chromepet, Chennai",5.0,15.0
458,The Specialists Clinic And Hospital,"KK Nagar, Chennai",2.0,10.0
459,Apollo Hospital - Sowcarpet,"Sowcarpet, Chennai",13.0,22.0
460,Chennai National Hospital,"Parrys, Chennai",3.0,120.0
461,Dr. Deva Multi Speciality Hospital,"Pattabiram, Chennai",5.0,10.0
462,VS Hospitals - Centre for Advanced Surgeries and Tertiary Care,"Kilpauk, Chennai",28.0,50.0
463,Kings Hospital,"Kolathur, Chennai",5.0,40.0
464,CSI Rainy Hospital,"Washermenpet, Chennai",7.0,250.0
465,Nichani Hosptial,"Royapuram, Chennai",3.0,50.0
466,Visa Hospital - T Nagar,"T Nagar, Chennai",1.0,5.0
467,Sri Sai Sakthi Nursing Home,"MKB Nagar, Chennai",1.0,10.0
468,Rathna Nursing Home,"Triplicane, Chennai",1.0,15.0
469,Ayanavaram Hospital,"Ayanavaram, Chennai",3.0,25.0
470,Nalamm Hospital PVT. Limited,"MKB Nagar, Chennai",2.0,25.0
471,K L Hospital,"Neelangarai, Chennai",2.0,30.0
472,Murugan Hospitals,"Kilpauk, Chennai",23.0,50.0
473,Vasan Eye Care Hospital,"Madipakkam, Chennai",3.0,10.0
474,Dr. Mohan's  Diabetes Specialities Centre,"Porur, Chennai",1.0,15.0
475,Dr. Mohan's Diabetic Specialities Centre,"OMR Road, Chennai",1.0,15.0
476,NM Fertility Centre and Hospital,"Madhavaram, Chennai",6.0,25.0
477,Mind Zone,"Adyar, Chennai",1.0,70.0
478,Vasan Eye Care Hospital,"Chromepet, Chennai",6.0,10.0
479,Vasan Eye Care Hospital,"Mogappair West, Chennai",2.0,10.0
480,Shakthi Maternity Centre,"Ayanavaram, Chennai",1.0,4.0
481,VS Hospitals - Advanced Cancer Care,"Chetpet, Chennai",14.0,50.0
482,KKR ENT Super Speciality Hospital,"Maduravoyal, Chennai",3.0,5.0
483,Vasan Eye Care Hospital - Anna Nagar,"Anna Nagar East, Chennai",4.0,10.0
484,SKS Pet Hospital,"Neelankarai, Chennai",1.0,2.0
485,People's Nursing Home,"Aminjikarai, Chennai",2.0,10.0
486,ARC International Fertility And Research Centre,"Perungudi, Chennai",3.0,100.0
487,Karunya Hospital,"Medavakkam, Chennai",1.0,1.0
488,Life Care Hospital,"Pudupet, Chennai",1.0,25.0
489,Vasan Eye Care Hospital,"Alwarpet, Chennai",2.0,10.0
490,Vasantha Multi Speciality Hospital,"Thiruvottiyur, Chennai",1.0,30.0
491,E.G.Hospital,"Choolai, Chennai",1.0,2.0
492,New Life Fertility & IVF Centre,"Nanganallur, Chennai",1.0,5.0
493,M.N.Eye Hospital,"Tondiarpet, Chennai",1.0,20.0
494,Medway Hospital,"Adyar, Chennai",1.0,10.0
495,RR Dental Hospital,"Vadapalani, Chennai",3.0,5.0
496,Vasan Eye Care Hospital,"Valasaravakkam, Chennai",3.0,10.0
497,Malar Eye Care,"Adyar, Chennai",1.0,1.0
498,Vasan Eye Care Hospital - Vadapalani,"Vadapalani, Chennai",5.0,10.0
499,Vasan Eye Care Hospital,"Perambur, Chennai",3.0,10.0
500,Vasan Eye Care Hospital - Triplicane,"Triplicane, Chennai",3.0,10.0
501,Vasan Eye Care Hospital,"Kilpauk, Chennai",1.0,10.0
502,Vasan Eye Care Hospital,"Washermenpet, Chennai",2.0,10.0
503,Villivakkam Health Centre,"Villivakkam, Chennai",3.0,5.0
504,Vaigai ENT,"Washermenpet, Chennai",1.0,1.0
505,Aalayaa Hospital,"Vadapalani, Chennai",6.0,2.0
506,Madha Clinic,"Triplicane, Chennai",6.0,75.0
507,Amma Hospital,"Nungambakkam, Chennai",1.0,30.0
508,An - Noor Eye Hospital,"Periyamet, Chennai",29.0,5.0
509,Vasantha Hospital,"Washermenpet, Chennai",1.0,30.0
510,SKS Veterinary Hospital,"Abhiramapuram, Chennai",2.0,2.0
511,Vasan Eye Care Hospital,"Tiruvottiyur, Chennai",1.0,10.0
512,Saraswati Hospital,"Thiruvottiyur, Chennai",1.0,7.0
513,HCG Hospital,"Mylapore, Chennai",1.0,50.0
514,S.S.Eye Hospital.,"Mannady, Chennai",1.0,10.0
515,V Care Hospital,"Pallikaranai, Chennai",3.0,10.0
516,Miracle Advanced Reproductive Centre,"Kilpauk, Chennai",1.0,5.0
517,Vee Care Dental,"Kottivakkam, Chennai",1.0,20.0
518,S.R Hospitals,"Ashok Nagar, Chennai",1.0,20.0
519,Apollo Cradle Women's Hospital,"Thousand Lights, Chennai",1.0,50.0
520,Vasan Eye Care Hospital - Madhavaram,"Madhavaram, Chennai",1.0,10.0
521,Sundar Eye Hospital,"Anna Nagar, Chennai",1.0,20.0
522,Nalam Ayurveda Hospital,"Aminjikarai, Chennai",1.0,10.0
523,Koncept Hospitals,"Kodambakkam, Chennai",1.0,5.0
524,M.V. Centre For Diabetes,"Velachery, Chennai",1.0,2.0
525,Rajan Eye Care Hospital,"Adyar, Chennai",1.0,2.0
526,Lalitha Nursing Home,"Alwarthirunagar, Chennai",1.0,4.0
527,Sakthi Hospital,"Royapuram, Chennai",1.0,5.0
528,Padhuvai Hospital,"Madipakkam, Chennai",5.0,10.0
529,Ramani Hospital,"Ashok Nagar, Chennai",1.0,7.0
530,P.K.Child Care Hospital,"Porur, Chennai",1.0,3.0
531,Kalpana Hospital,"Velachery, Chennai",1.0,1.0
532,AVS Hospital,"Pallikaranai, Chennai",1.0,6.0
533,Vadapalani Hospital,"Vadapalani, Chennai",1.0,5.0
534,Choolai 24hrs Hospital,"Choolai, Chennai",1.0,35.0
535,Max Multi Speciality Centre - Panchsheel Park,"Panchsheel Park, Delhi",95.0,10.0
536,Sir Ganga Ram Hospital,"Old Rajendra Nagar, Delhi",264.0,654.0
537,Fortis Hospital,"Vasant Kunj, Delhi",89.0,200.0
538,Adiva Hospital,"Green Park, Delhi",25.0,15.0
539,Malik Radix Health Care,"Nirman Vihar, Delhi",19.0,50.0
540,Blk Super Speciality Hospital,"Pusa Road, Delhi",120.0,650.0
541,Max Super Speciality Hospital,"Saket, Delhi",260.0,250.0
542,Max Smart Super Speciality Hospital,"Saket, Delhi",97.0,500.0
543,Fortis C-DOC Hospital,"Nehru Place, Delhi",26.0,25.0
544,Moolchand Hospital,"Lajpat Nagar, Delhi",89.0,50.0
545,Vimhans PrimaMed Super Speciality Hospital,"Nehru Nagar, Delhi",20.0,90.0
546,St Stephens Hospital,"Tis Hazari, Delhi",93.0,600.0
547,Fortis Hospital,"Shalimar Bagh, Delhi",50.0,282.0
548,Max Hospital,"Pitampura, Delhi",101.0,120.0
549,Dr. Shroff's Charity Eye Hospital,"Darya Ganj, Delhi",14.0,56.0
550,Aastha Hospital & IVF Centre,"Vikas Puri, Delhi",7.0,20.0
551,Dr. Leena N Sreedhar Consultation Chamber,"Moti Nagar, Delhi",1.0,60.0
552,Mata Chanan Devi Hospital,"Janak Puri, Delhi",66.0,210.0
553,Jeewan Mala Hospital,"Karol Bagh, Delhi",5.0,75.0
554,Irene Hospital,"Kalkaji, Delhi",18.0,55.0
555,Sant Parmanand Hospital,"Civil Lines, Delhi",11.0,153.0
556,Dharamshila Hospital,"Vasundhra Enclave, Delhi",21.0,250.0
557,Aarogya Hospital,"Chitra Vihar, Delhi",6.0,30.0
558,Jaipur Golden Hospital,"Rohini, Delhi",51.0,250.0
559,Shanti Mukand Hospital,"Vikas Nagar, Delhi",2.0,70.0
560,CM Patel Hospital,"Shahdara, Delhi",2.0,25.0
561,Cygnus Orthocare Hospital,"Safdarjung Development Area, Delhi",8.0,80.0
562,Orchid Hospital & Heart Centre,"Janak Puri, Delhi",3.0,50.0
563,Neptune Hospital ,"Malviya Nagar, Delhi",6.0,18.0
564,Sitaram Bhartia Institute Of Science & Research,"Qutab Institutional Area, Delhi",35.0,70.0
565,Aakash Hospital,"Malviya Nagar, Delhi",34.0,50.0
566,Apex Hospital,"Naraina Vihar, Delhi",12.0,25.0
567,Tirath Ram Shah Hospital,"Civil Lines, Delhi",28.0,200.0
568,Metro Hospital and Cancer Institute,"Preet Vihar, Delhi",25.0,155.0
569,Rockland Hospital,"Dwarka, Delhi",33.0,100.0
570,Gouri Hospital,"Kamla Nagar, Delhi",10.0,25.0
571,Sanjeevan Hospital,"Darya Ganj, Delhi",73.0,100.0
572,Pentamed Hospital,"Model Town, Delhi",8.0,30.0
573,Orthopaedic Excellence Group Available at Fortis Hospital,"Vasant Kunj, Delhi",4.0,150.0
574,Max Superspeciality Hospital,"Shalimar Bagh, Delhi",135.0,300.0
575,Bhatia Global Hospital & Endosurgery Institute,"Paschim Vihar, Delhi",3.0,50.0
576,Metro Hospitals & Heart Institute,"Lajpat Nagar, Delhi",10.0,50.0
577,Amar Leela Hospital Pvt. Ltd,"Janak Puri, Delhi",7.0,43.0
578,Centre For Sexual & Mental Health,"Greater Kailash Part 2, Delhi",1.0,20.0
579,Indraprastha Apollo Hospitals,"Sarita Vihar, Delhi",32.0,100.0
580,NKS Super Speciality Hospital,"Gulabi Bagh, Delhi",13.0,102.0
581,Panchsheel Hospital,"Yamuna Vihar, Delhi",10.0,50.0
582,Bhagat Hospital,"Janak Puri, Delhi",29.0,35.0
583,Makkar Medical Centre,"Nirman Vihar, Delhi",8.0,10.0
584,Goyal Hospital & Urology Centre,"Krishna Nagar, Delhi",30.0,80.0
585,Jeevan Anmol Hospital,"Mayur Vihar Ph-I, Delhi",15.0,100.0
586,Adiva Super-Speciality Care,"Green Park, Delhi",2.0,50.0
587,Sankhwar Hospital,"Kondli, Delhi",11.0,100.0
588,Sir Ganga Ram Kolmet Hospital,"Old Rajendra Nagar, Delhi",5.0,40.0
589,Gupta Mulitispeciality Hospital,"Vivek Vihar, Delhi",9.0,50.0
590,Surya Hospital - Krishna Nagar,"Krishna Nagar, Delhi",1.0,50.0
591,Sunder Lal Jain Hospital,"Ashok Vihar, Delhi",11.0,10.0
592,Max Super Speciality Hospital,"Patparganj, Delhi",44.0,50.0
593,RLKC Hospital & Metro Heart Institute,"Pandav Nagar, Delhi",16.0,102.0
594,R G Stone Urology & Laparoscopy Hospital,"Rajouri Garden, Delhi",4.0,15.0
595,Fortis Escorts,"Okhla, Delhi",52.0,310.0
596,Bimla Devi Hospital,"Mayur Vihar Ph-II, Delhi",1.0,20.0
597,Fortis La Femme,"Greater Kailash Part 2, Delhi",45.0,38.0
598,Venkateshwar Hospital,"Dwarka, Delhi",36.0,325.0
599,Mata Roop Rani Maggo Hospital,"Uttam Nagar, Delhi",22.0,40.0
600,Brahm Shakti Hospital & Research Centre,"Rohini, Delhi",13.0,100.0
601,Ashoka Nursing Home & Multispeciality Hospital,"Krishna Nagar, Delhi",3.0,100.0
602,Artemis Hospitals,"Dwarka, Delhi",4.0,50.0
603,Indraprastha Apollo Hospital,"Jasola, Delhi",1.0,10.0
604,Bharti Eye Hospital,"Greater Kailash Part 1, Delhi",7.0,10.0
605,Psycare,"Jasola, Delhi",10.0,30.0
606,Shyam Hospital,"Delhi, Delhi",1.0,25.0
607,Sunrise Hospitals,"East Of Kailash, Delhi",4.0,250.0
608,MGS Super Speciality Hospital,"Punjabi Bagh, Delhi",27.0,100.0
609,Avantika Hospital,"Rohini, Delhi",3.0,8.0
610,Fortis Aashlok Hospital,"Safdarjung Enclave, Delhi",14.0,30.0
611,Central Hospital,"Ganesh Nagar, Delhi",3.0,25.0
612,Sama Hospital,"August Kranti Marg, Delhi",27.0,31.0
613,Chikitsa Hospital,"Saket, Delhi",9.0,50.0
614,Delhi E.N.T. Multi- Speciality Hospital,"Jasola, Delhi",2.0,10.0
615,A-One Hospital,"Paschim Vihar, Delhi",8.0,20.0
616,Kukreja Hospital,"Mayur Vihar Ph-I, Delhi",9.0,25.0
617,Jeewan Hospital Gate No. 1,"New Friends Colony, Delhi",12.0,100.0
618,Bapu Nature Cure Hospital & Yogashram,"Mayur Vihar Ph-I, Delhi",1.0,40.0
619,SHUBHAM HOSPITAL,"Kalkaji, Delhi",4.0,20.0
620,Pushpanjali Medical Centre,"Anand Vihar, Delhi",6.0,45.0
621,Parnami Orthopaedic Hospital,"Azadpur, Delhi",2.0,2.0
622,Divya Prastha Hospital,"Palam Colony, Delhi",19.0,55.0
623,Navjeevan Hospital - Pitampura,"Pitampura, Delhi",2.0,25.0
624,Family Hospital Pvt. Ltd.,"Tilak Nagar, Delhi",2.0,3.0
625,Eye7 Chaudhary Eye Centre,"Darya Ganj, Delhi",8.0,20.0
626,Batra Hospital & Medical Research Centre,"Tuglakabad, Delhi",58.0,495.0
627,Khanna Hospital,"Janak Puri, Delhi",3.0,38.0
628,All India Institute Of Medical Sciences,"Ansari Nagar, Delhi",6.0,5.0
629,Sawan Neelu Angels Nursing Home,"Saket, Delhi",9.0,25.0
630,Swastik Medical Center,"Anand Vihar, Delhi",13.0,13.0
631,Sukhmani Hospital,"Safdarjung Enclave, Delhi",14.0,30.0
632,Dr Chaudhry's Moral Hospital Pvt.Ltd,"Yamuna Vihar, Delhi",3.0,12.0
633,Banarasi Das Chandiwal Institute Of Medical Sciences,"Kalkaji, Delhi",1.0,30.0
634,Chandar Leela Hospital,"Uttam Nagar, Delhi",1.0,15.0
635,B T Hospital,"Mukherjee Nagar, Delhi",1.0,2.0
636,Santom Hospital,"Rohini, Delhi",6.0,105.0
637,Veena Nursing Home,"Rohini, Delhi",25.0,6.0
638,Satya Bhama Hospital,"Nangloi, Delhi",4.0,55.0
639,Shri Ram Singh Hospital & Heart Institute,"Krishna Nagar, Delhi",10.0,104.0
640,Cygnus MLS Superspecility Hospital,"Ram Vihar, Delhi",7.0,51.0
641,Sanchet Hospital ,"Paschim Vihar, Delhi",2.0,20.0
642,Behl Hospital ,"Naraina Vihar, Delhi",1.0,15.0
643,Agarwal Nursing Home,"Tri Nagar, Delhi",1.0,10.0
644,Paul Nursing Home & Child Care Center,"Hari Nagar, Delhi",2.0,8.0
645,Dr Bharti Nursing Home,"Delhi, Delhi",3.0,4.0
646,Vibhu Nursing Home,"Malviya Nagar, Delhi",4.0,7.0
647,Visitech Eye Centre,"South Extension 2, Delhi",4.0,10.0
648,RG Stone Urology & Laparoscopy Hospital,"Greater Kailash, Delhi",2.0,55.0
649,Jain Muni Roshan Lal Charitable Hospital,"Tri Nagar, Delhi",5.0,25.0
650,Viola Hospital ,"Okhla, Delhi",1.0,15.0
651,Sparsh Hospital,"Delhi, Delhi",12.0,2.0
652,Jeevan Jyoti Hospital,"Okhla, Delhi",2.0,5.0
653,Param Tej Sehra Medical Centre,"Punjabi Bagh, Delhi",1.0,5.0
654,Patel Hospital,"Laxmi Nagar, Delhi",1.0,25.0
655,Gambhir Hospital,"Rajouri Garden, Delhi",19.0,20.0
656,"Apollo Spectra Hospital,Kailash Colony","East Of Kailash, Delhi",1.0,16.0
657,New Rohini Hospital,"Rohini, Delhi",1.0,8.0
658,Muni Maya Ram Jain Hospital,"Pitampura, Delhi",13.0,50.0
659,Shree Jeewan Hospital,"Karol Bagh, Delhi",33.0,52.0
660,Apollo Spectra Hospitals,"Karol Bagh, Delhi",2.0,25.0
661,Shradha Multispeciality Hospital,"Narela, Delhi",47.0,20.0
662,Pushpawati Singhania Research Institute (PSRI Hospital),"Sheikh Sarai, Delhi",7.0,100.0
663,Tarak Hospital,"Dwarka, Delhi",2.0,75.0
664,M M Eyetech Institute,"Lajpat Nagar, Delhi",7.0,10.0
665,Kosmos Superspeciality Hospital,"Anand Vihar, Delhi",7.0,50.0
666,Sukhda Hospital,"Greater Kailash Part 1, Delhi",8.0,25.0
667,Tomar Medical Centre,"Janak Puri, Delhi",1.0,18.0
668,Vision Eye Hospital,"Rohini, Delhi",24.0,2.0
669,Delhi Heart And Lung Institute,"Mandir Marg, Delhi",20.0,100.0
670,Blk Super Speciality Hospital,"Rajendra Nagar, Delhi",1.0,650.0
671,Zed Dental Hospital,"Punjabi Bagh, Delhi",4.0,5.0
672,SCI International Hospital,"Greater Kailash Part 1, Delhi",2.0,49.0
673,Triton Hospital,"Nehru Place, Delhi",6.0,22.0
674,Centre for Sight - Rajouri Garden,"Rajouri Garden, Delhi",2.0,4.0
675,Bajaj Medical Centre,"Paschim Vihar, Delhi",8.0,10.0
676,IBS Hospital,"Lajpat Nagar, Delhi",5.0,50.0
677,Swasthik Hospital,"Tilak Nagar, Delhi",2.0,20.0
678,Kesar Hospital,"Shalimar Bagh, Delhi",2.0,20.0
679,CP Vet Hospital,"Delhi, Delhi",2.0,2.0
680,Pavan Nursing Home,"Laxmi Nagar, Delhi",8.0,20.0
681,Cygnus Sonia Hospital,"Nangloi, Delhi",1.0,70.0
682,HCG SMH Curie Cancer Centre,"Karkardooma, Delhi",5.0,15.0
683,RG Stone Urology And Laparoscopy Hospital,"Karkardooma, Delhi",1.0,30.0
684,S. D. Hospital,"Delhi, Delhi",2.0,5.0
685,Maharishi Ayurveda Hospital,"Shalimar Bagh, Delhi",2.0,49.0
686,Dr. Lal Hospital,"Badarpur, Delhi",1.0,10.0
687,Apurbha Hospital,"Delhi, Delhi",1.0,7.0
688,Shiva Krishna Hospital,"Sahibabad, Delhi",7.0,30.0
689,Mahindru Hospital,"Delhi, Delhi",3.0,20.0
690,Tirath Ram Hospital,"Delhi, Delhi",1.0,30.0
691,Dr Poonam Chawla Maternity Home,"Vikas Puri, Delhi",6.0,5.0
692,M D Eye Care & Laser Centre,"Greater Kailash Part 2, Delhi",1.0,7.0
693,Springdales Hospital,"Rohini, Delhi",1.0,25.0
694,Mahajan Children Hospital & Nursing Home,"Uttam Nagar, Delhi",1.0,8.0
695,Care Medical Centre,"Pahar Ganj, Delhi",2.0,5.0
696,Laxmi nursing Home,"Rohini, Delhi",9.0,20.0
697,Dr. Batra's Diagnostic Centre at Neptune Hospital,"Malviya Nagar, Delhi",2.0,10.0
698,International Fertility Centre,"Green Park, Delhi",8.0,30.0
699,RG Stone Urology & Laparoscopy Hospital,"Pitampura, Delhi",13.0,6.0
700,Hans Charitable Hospital,"GTB Nagar, Delhi",5.0,50.0
701,Krishna Hospital,"Pitampura, Delhi",11.0,20.0
702,ISIS Hospital,"Kailash Colony, Delhi",1.0,12.0
703,Friends Hospital,"Rohini, Delhi",1.0,4.0
704,Sunil Memorial,"Dwarka, Delhi",4.0,20.0
705,Dr Arya's Dental Hospital,"Bhajanpura, Delhi",1.0,1.0
706,Jai Nar Hospital,"Meera Bagh, Delhi",1.0,10.0
707,Jhamb Medical and Maternity Centre,"Shalimar Bagh, Delhi",1.0,7.0
708,Magadh Hospita,"Delhi, Delhi",1.0,5.0
709,Park Nursing Home,"Ranjit Nagar, Delhi",1.0,4.0
710,Bansal Hospital,"New Friends Colony, Delhi",18.0,15.0
711,Karuna Hospital ,"Dilshad Garden, Delhi",8.0,20.0
712,Hemraj Jain Hospital and Maternity Home,"Janak Puri, Delhi",4.0,30.0
713,Handa Nursing Home,"Raja Garden, Delhi",1.0,45.0
714,Netra Eye Hospital,"Uttam Nagar, Delhi",3.0,5.0
715,Jain Eye Hospital And Laser Centre,"Shalimar Bagh, Delhi",1.0,2.0
716,Malhotra Nursing Home,"Mayur Vihar Ph-II, Delhi",6.0,3.0
717,Eye Q Super Speciality Eye Hospitals,"Shalimar Bagh, Delhi",4.0,2.0
718,Sai Vinayak Dental Hospital,"Shalimar Bagh, Delhi",1.0,2.0
719,Muskaan Hospital,"Rohini, Delhi",1.0,50.0
720,Paschimi Hospital,"Paschim Vihar, Delhi",1.0,10.0
721,Eye7 Chaudhary Eye Centre,"Lajpat Nagar, Delhi",2.0,10.0
722,Prashanti Nursing Home,"Rohini, Delhi",1.0,6.0
723,Sukhija Nursing Home,"Vivek Vihar, Delhi",4.0,5.0
724,Muskaan Hospital,"Shahdara, Delhi",2.0,16.0
725,Rao Dental Hospital,"Tilak Nagar, Delhi",1.0,2.0
726,Netra Eye Hospital,"Dwarka, Delhi",1.0,2.0
727,Sanjay Global Hospital,"Jahangirpuri, Delhi",1.0,4.0
728,Davita Care India Pvt Ltd,"Chanakyapuri, Delhi",1.0,20.0
729,Mahajan Hospital,"Adarsh Nagar, Delhi",1.0,10.0
730,K K HOSPITAL,"Peeragarhi, Delhi",11.0,10.0
731,Khetarpal Hospital,"Bali Nagar, Delhi",1.0,60.0
732,"Visitech Eye Centre, Jasola","Jasola, Delhi",1.0,8.0
733,Bhagwan Mahavir hospital,"Delhi, Delhi",1.0,25.0
734,Apurva Hospital,"Delhi, Delhi",1.0,25.0
735,Max Smart Super Speciality Hospital,"Saket, Delhi",1.0,10.0
736,Tyagi hospital,"Dilshad Garden, Delhi",1.0,20.0
737,Adarsh Hospital,"Rohini Sector 24, Delhi",1.0,16.0
738,O.P Memorial Hospital,"Rohini, Delhi",1.0,4.0
739,Maharaja Agrasen Hospital,"Dwarka, Delhi",1.0,1.0
740,Rahman Hospital,"Delhi, Delhi",2.0,2.0
741,Kirti Nursing Home,"Delhi, Delhi",1.0,20.0
742,Sharma clinic & maternity home,"Laxmi Nagar, Delhi",1.0,20.0
743,Swapna Health Care,"Begumpet, Hyderabad",10.0,50.0
744,MaxCure Hospitals,"Madhapur, Hyderabad",30.0,220.0
745,Himagiri Hospitals,"Gachibowli, Hyderabad",16.0,50.0
