,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
409,Dhanavantri Hospital,"Shantinagar, Bangalore",3,
410,Bengaluru Smiles Hospital,"Mathikere - BEL, Bangalore",12,50
411,Dr. K. N. Srikanth @ Mallige Medical Centre,"Seshadripuram, Bangalore",1,
412,Divyadristhi Eye Hospital,"Vijayanagar, Bangalore",12,5
413,Health  Cottage  Hospital,"Ulsoor, Bangalore",12,20
414,Dr. Agarwal Hospitals,"Langford Road, Bangalore",72,
415,Nagarathna Hospital,"Kanakpura Road, Bangalore",12,8
416,"CVTS Associates, Sparsh Superspeciality Hospital","Yeshwanthpur, Bangalore",1,
417,Hitech Kidney Stone Hospital,"Jayanagar 7 Block, Bangalore",12,3
418,Davita Care India Pvt. Ltd,"Shantinagar, Bangalore",12,20
419,KIMS Hospital,"Banashankari 2nd Stage, Bangalore",1,
420,Vinayaka speciality hospital,"Bommanahalli, Bangalore",12,4
421,Hitech Kidney Stone Hospital,"Kumara Park West, Bangalore",12,5
422,Dr. Agarwal's Eye Hospital,"Padmanabhanagar, Bangalore",12,2
423,V S Dental College & Hospital,"VV Puram, Bangalore",1,
424,ESI Hospital,"Indiranagar, Bangalore",1,
425,The Family Doctor,"Sahakaranagar, Bangalore",1,
426,"Milann - The Fertility Center, Msr","New BEL Road, Bangalore",6,
427,Paramshetty's KDC Hospital Pvt Ltd - Rajarajeshwari Nagar,"Rajarajeshwarinagar, Bangalore",2,
428,KSAC Hospital,"Koramangala 6 Block, Bangalore",12,4
429,Sri Ram Hospital,"KR Puram, Bangalore",1,
430,Sahasra Hospitals,"Jayanagar, Bangalore",12,35
431,Mathru Hospital,"Electronics City, Bangalore",1,
432,Eswar Hospital,"Nandini Layout, Bangalore",4,
433,Bangalore Kidney Stone Hospital,"Wilson Garden, Bangalore",1,
434,Bakson's Homoeopathic Centre for Allergy,"Jayanagar, Bangalore",2,
435,Partha Dental Hospital,"Electronics City, Bangalore",2,
436,"CHIRAG HOSPITAL, Bangalore","JP Nagar 2 Phase, Bangalore",12,25
437,Dentys Dental Care - Jayanagar,"Jayanagar, Bangalore",1,
438,JMJ Hospital,"Nagawara, Bangalore",1,
439,Dr Solanki Eye Hospital,"Malleswaram, Bangalore",11,10
440,DaVita Care India Pvt. Ltd.,"Banashankari 2nd Stage, Bangalore",11,20
441,Dentys Dental Care - Basaveshwara Nagar,"Basaveshwaranagar, Bangalore",1,
442,Mathru Hospital,"Kengeri, Bangalore",1,
443,Dentys Dental Care - Kormangala,"Koramangala 5 Block, Bangalore",1,
444,Mallige Hospital,"Peenya, Bangalore",11,15
445,Vijaya Hospital,"Dasarahalli, Bangalore",11,25
446,Beneka Nursing Home,"Magadi Road, Bangalore",7,
447,BGS Global Hospitals,"Kengeri, Bangalore",2,
448,Partha Dental Hospital,"Malleswaram, Bangalore",2,
449,Partha Dental Hospital,"Basavanagudi, Bangalore",7,
450,Shiva Nursing Home,"Wilson Garden, Bangalore",1,
451,Republic Maternity Centre,"Bapujinagar, Bangalore",11,10
452,LAKSHMI HOSPITAL,"RT Nagar, Bangalore",1,
453,Partha Dental Hospital,"Jayanagar 9 Block, Bangalore",5,
454,Vasan Dental Care,"HSR Layout, Bangalore",6,
455,Vasan Dental Care,"Bannerghatta Road, Bangalore",1,
456,Nightingales Home Health Services,"Sahakaranagar, Bangalore",8,
457,Vasan Eye Care Hospital,"Vijayanagar, Bangalore",11,2
458,Partha Dental Hospital,"Bellandur, Bangalore",1,
459,K L Hospital,"Ramamurthy Nagar, Bangalore",11,55
460,Jain Institute of Vascular Sciences,"Vasanthnagar, Bangalore",11,400
461,Cupa Animal care Hospital,"RT Nagar, Bangalore",1,
462,"Nova Hospitals, BTM 6th Stage, Bangalore","BTM Layout, Bangalore",2,
463,Gunasheela Fertility Centre,"Koramangala 3 Block, Bangalore",11,1
464,Sakra IVF Centre,"Bellandur, Bangalore",2,
465,Swastik Hospital,"Chamarajpet, Bangalore",1,
466,NationWide Bannerghatta Health Centre,"Bannerghatta Road, Bangalore",1,
467,Hematology & Bone Marrow Transplant Center,"Kengeri, Bangalore",2,
468,Arya Vaidya Hospital,"Nagarbhavi, Bangalore",1,
469,Bangalore Hospital,"Basavanagudi, Bangalore",1,
470,P R Desai Hospital,"Malleswaram, Bangalore",1,
471,Vasan Dental Care,"JP Nagar 1 Phase, Bangalore",1,
472,Kusuma Hospital,"Banashankari 3rd Stage, Bangalore",1,
473,Shreya Hospital,"Kengeri, Bangalore",1,
474,Fracture and Orthopedic Clinic(A unit of K.S Orthopedic Foundation),"Malleswaram, Bangalore",3,
475,Dr. Agarwal's Eye Hospital,"Frazer Town, Bangalore",11,4
476,Hitech Unity Hospital,"Bapujinagar, Bangalore",11,25
477,Lakshmi Eye Hospital,"Yelahanka, Bangalore",1,
478,Vasan Eye Care Hospital,"Bannerghatta Road, Bangalore",1,
479,Asha Kiran Hospital,"RT Nagar, Bangalore",1,
480,Divine Speciality Hospital,"Benson Town, Bangalore",1,
481,Sri Vijaya Hospital,"Kasturi nagar, Bangalore",1,
482,Adarsh Multi Specialty Hospital,"Kengeri, Bangalore",11,20
483,Ashraya Hospital,"Nagarbhavi, Bangalore",1,
484,SM Hospital,"RT Nagar, Bangalore",1,
485,Manasa Hospital,"Vijayanagar, Bangalore",11,39
486,Guduchi The Ayurvedism,"Kammana Halli, Bangalore",1,
487,Prema Nursing Home Maternity and Casualty Centre,"Jayanagar 8 Block, Bangalore",1,
488,K.T.G. Hospital,"Peenya, Bangalore",1,
489,Kare Scan Center,"Austin Town, Bangalore",1,
490,Shri Sai North Side Hospital,"Sahakaranagar, Bangalore",1,
491,Aryan Multispeciality Hospital,"Rajajinagar, Bangalore",1,
492,Srinivasa Hospital,"Vijayanagar, Bangalore",1,
493,Subash Hospital,"Bidadi, Bangalore",1,
494,Sathya Sai Orthopaedic Hospital,"KR Puram, Bangalore",1,
495,Radha Krishna Hospital,"Hosakerehalli, Bangalore",1,
496,East Point Hospital,"Mahadevapura, Bangalore",1,
497,Sunara Multi Speciality Hospital,"Yeshwanthpur, Bangalore",1,
498,Hamelten And Baley Hospital,"HSR Layout, Bangalore",1,
499,BGS Global Hospital,"Uttarahalli, Bangalore",1,
500,Raksha Hospital,"Nandini Layout, Bangalore",1,
501,Kaade Hospital,"Rajajinagar, Bangalore",1,
502,Sanjeevini Hospital,"Hebbal Kempapura, Bangalore",1,
503,Abhinav Hospital,"Magadi Road, Bangalore",5,
504,Rajarajeshwari Medical College Hospital ,"Kengeri, Bangalore",6,
505,Apex Hospital,"Kengeri, Bangalore",9,
506,Matru hospital,"Kengeri, Bangalore",3,
507,Manasa Hospital,"Bidadi, Bangalore",6,
508,Ganga Specialty Hospital,"Anekal, Bangalore",15,
509,Popular Hospital,"Basavanagudi, Bangalore",2,
510,Shiva Shakti Multi Speciality Hospital,"Kengeri, Bangalore",10,
511,Sri Siridhi Said Baba Charitable Hospital,"Ulsoor, Bangalore",11,50
512,Raja Lakshmi Hospital,"Yeshwanthpur, Bangalore",11,100
513,Kidwai Hospital,"Jayanagar, Bangalore",1,
514,Laxmi MultiSpeciality Hospital,"Seshadripuram, Bangalore",1,
515,Doctor Square Multispeciality Hospital,"Zirakpur, Chandigarh",11,10
516,Grover Eye Laser & ENT Hospital,"Sector 35, Chandigarh",11,50
517,Mukat Hospital & Heart Institute,"Sector 34, Chandigarh",11,40
518,Dashmesh Hospital,"Zirakpur, Chandigarh",11,10
519,Hope Clinic Maternity Centre,"Sector 21, Chandigarh",11,7
520,CMC Hospital,"Sector-17, Chandigarh",1,
521,VCare Hospital,"Zirakpur, Chandigarh",11,15
522,Eden Hospital,"Industrial Area Phase I, Chandigarh",11,100
523,Healing Hospital,"Sector 34, Chandigarh",11,50
524,Bedi Hospital & Infertility Center,"Sector-33, Chandigarh",67,
525,Dhuper Hospital,"Zirakpur, Chandigarh",50,
526,Neeraj Eye Hospital,"Sector 36, Chandigarh",12,
527,Santokh Hospital,"Chandigarh, Chandigarh",6,
528,GROVER EYE LASER HOSPITAL,"Sector 9, Chandigarh",142,
529,Mangal Nursing Home,"Sector 22, Chandigarh",50,
530,Pandhi Hospital,"Sector 36, Chandigarh",11,40
531,Navjot Nursing Home,"Sector 65, Chandigarh",4,
532,Shrimati Kamla Devi Memorial Charitable Dental Hospital,"Zirakpur, Chandigarh",68,
533,Sangeeta Nursing Home,"Sector 21, Chandigarh",10,7
534,Dr RCP Singh Memorial Dental Hospital,"Zirakpur, Chandigarh",12,
535,Sai Guru Nanak Hospital,"Sector 35, Chandigarh",1,
536,Dr. Mehta's Hospitals,"Chetpet, Chennai",10,27
537,Apollo Speciality Hospital,"Vanagaram, Chennai",10,50
538,Dr. Rabindrans Health Care Centre,"Ambattur, Chennai",10,60
539,Parvathi Nursing Home,"KK Nagar, Chennai",10,25
540,St.Isabel's Hospital,"Mylapore, Chennai",10,300
541,Hindu Mission Hospital,"Tambaram West, Chennai",10,220
542,Mercury Hospital,"Egmore, Chennai",10,30
543,Chennai Krishna Hospital,"Chromepet, Chennai",10,11
544,Fortis Malar Hospital,"Adyar, Chennai",10,500
545,Dr. Hariharan Diabetes & Heart Care Hospital,"Nanganallur, Chennai",9,
546,"Sundaram Medical Foundation, Anna Nagar","Anna Nagar, Chennai",5,
547,Radial Ortho Speciality Hospital,"Medavakkam, Chennai",10,10
548,SBS Hospital,"Virugambakkam, Chennai",14,
549,Aysha Hospital,"Purasawakkam, Chennai",15,
550,B M Hospitals,"Nanganallur, Chennai",10,70
551,SP Hospital,"Adambakkam, Chennai",4,
552,Mother's Speciality Hospital,"Ambattur, Chennai",28,
553,Madras ENT Research Foundation,"Raja Annamalai Puram, Chennai",7,
554,KKR ENT Hospital and Research Centre,"Kilpauk, Chennai",10,35
555,Bethesda Hospital & Child Care Centre,"Tambaram East, Chennai",10,35
556,Madras Medical Mission Hospital,"Mogappair, Chennai",10,100
557,Kedar Hospital,"Mugalivakkam, Chennai",10,10
558,Cosh,"Tambaram, Chennai",10,50
559,Lifeline Rigid Hospitals,"Kilpauk, Chennai",10,45
560,Sri Venkateswara C M Hospital,"Nanganallur, Chennai",10,30
561,Saraswathy Multispeciality Hospital,"Madipakkam, Chennai",10,50
562,Pankajam Memorial Hospital,"Nanganallur, Chennai",10,25
563,Srinivas Priya Hospital,"Perambur, Chennai",10,75
564,Rakshith Hospital,"Valasaravakkam, Chennai",3,
565,Girishwari Hospital,"Teynampet, Chennai",10,150
566,Frontier Lifeline Hospital,"Mogappair, Chennai",10,120
567,Apollo Childrens Hospital,"Thousand Lights, Chennai",10,53
568,Soundarapandian Bone and Joint Hospital & Research Institute,"Anna Nagar, Chennai",10,60
569,Srushti Fertility Centre & Women's Hospital,"Ramapuram, Chennai",10,5
570,Jayam Hospital & GFC Fertility,"Kodambakkam, Chennai",10,30
571,Swaram Specialty Hospital,"Sholinganallur, Chennai",9,30
572,Kauvery Hospitals,"Mylapore, Chennai",9,100
573,Billroth Hospitals,"Shenoy Nagar, Chennai",9,600
574,Dr Kamaraj Hospital For Men's Health,"Vadapalani, Chennai",9,10
575,Vadapalani Multi Speciality Hospital,"Vadapalani, Chennai",31,
576,Balaji Nursing Home,"Thiruvanmiyur, Chennai",9,15
577,Sridevi Hospital,"Anna Nagar, Chennai",8,
578,The Guest Hospital,"Kilpauk, Chennai",20,
579,Sooriya Hospital,"Saligramam, Chennai",9,200
580,K M Speciality & Pediatric Care,"KK Nagar, Chennai",9,100
581,K.J.Hospital-Research & Postgraduate Center,"Chetpet, Chennai",1,
582,Siva Head & Neck Hospital,"Royapettah, Chennai",9,10
583,KHM Hospital,"Anna Nagar, Chennai",9,50
584,Prashanth Multispeciality Hospital,"Chetpet, Chennai",9,300
585,Ponmalligai Hospital,"Adambakkam, Chennai",9,50
586,Jawahar Hospital,"Tambaram, Chennai",9,15
587,MIOT Hospital,"Manapakkam, Chennai",17,
588,Gajanan Hospitals,"Tambaram, Chennai",9,75
589,BSS Hospital,"Mandaveli, Chennai",9,40
590,Mehta Hospitals Pvt Ltd,"Chetpet, Chennai",2,
591,Pallava Hospital,"Ashok Nagar, Chennai",9,30
592,Ess Vee Hospital,"Ambattur, Chennai",10,
593,City Tower Hospitals,"Anna Nagar, Chennai",9,52
594,Padmini Nursing Home,"Chetpet, Chennai",9,15
595,Medindia Hospitals,"Nungambakkam, Chennai",43,
596,Global Hospital,"Perumbakkam, Chennai",9,1000
597,Santosham Chest Hospital,"Egmore, Chennai",9,50
598,Aswene Soundra Hospital And Research Centre,"Teynampet, Chennai",9,
599,Life Med Hospitals,"Gopalapuram, Chennai",2,
600,Swaram Poly Clinics,"Sholinganallur, Chennai",3,
601,Prime OBG Fertility Centre,"Thiruvanmiyur, Chennai",9,20
602,Lakshya Fertility and Women's Centre,"Chromepet, Chennai",15,
603,Hindu Mission Health Services,"Nanganallur, Chennai",9,50
604,Shepherd Nursing Home,"Perambur, Chennai",9,20
605,Orthomed Hospital,"Royapettah, Chennai",9,60
606,Retteri Sri Kumaran Health Centre Private Limited,"Kolathur, Chennai",10,
607,Abhijay Hospital Pvt Ltd,"Perambur, Chennai",9,100
608,Medicity Health Centre & Diagnostics,"Tambaram East, Chennai",4,
609,Amrit Hospital,"Sowcarpet, Chennai",9,6
610,Sri PadmaPriya Hospital,"Adyar, Chennai",1,
611,Aakash Fertility Centre & Hospital,"Vadapalani, Chennai",9,50
612,Margaret Sidney Hospital,"Nanganallur, Chennai",9,10
613,N.N. Hospital,"Tambaram West, Chennai",9,4
614,Sims Hospital (Srm Institutes For Medical Science),"Vadapalani, Chennai",9,360
615,Billroth Hospitals,"Raja Annamalai Puram, Chennai",1,
616,Firm Hospitals,"Anna Nagar, Chennai",9,20
617,Swaram Hospital Kelambakkam,"Kelambakkam, Chennai",9,20
618,Srushti Fertility Hospital & Womens Clinic,"Kotturpuram, Chennai",9,5
619,Care & Cure Speciality Hospital (C and C Woman's Hospital),"Ayanavaram, Chennai",9,10
620,J V Hospital,"Kodambakkam, Chennai",9,30
621,Selvaraman Hospital,"Anna Nagar West, Chennai",5,
622,Surya Fertility Centre,"T Nagar, Chennai",9,2
623,RG Stone Urology & Laparoscopy Hospital,"Saidapet, Chennai",2,
624,Sivasundar Hospital,"Adyar, Chennai",2,
625,Priya Nursing Home,"Washermenpet, Chennai",9,50
626,Raju Hospital,"T Nagar, Chennai",9,42
627,Deepam Kidney Stone Centre,"Tambaram, Chennai",11,
628,K C Multispeciality Hospital,"Avadi, Chennai",33,
629,SKS Hospital,"Mogappair East, Chennai",9,10
630,A C Hospital,"Ayanavaram, Chennai",19,
631,Apollo Hospital - Tondiarpet,"Tondiarpet, Chennai",9,100
632,Noble Hospital,"Purasawakkam, Chennai",9,25
633,Deepam Hospitals,"Tambaram West, Chennai",9,136
634,PM Hospital,"Adyar, Chennai",13,
635,Narayana Hospital,"Purasawakkam, Chennai",8,50
636,Krishna Eye And Ent Hospital,"T Nagar, Chennai",8,50
637,Pallavaram Children Medical Centre,"Pallavaram, Chennai",8,26
638,Arokya Hospital,"Nesapakkam, Chennai",8,10
639,Be Well Hospital,"T Nagar, Chennai",8,15
640,Cloudnine Hospital,"T Nagar, Chennai",8,150
641,Prime Care Nursing Home,"Adambakkam, Chennai",8,6
642,K.F Hospital,"Nanganallur, Chennai",7,
643,Soul Hospital,"Perambur, Chennai",3,
644,Dr.Agarwal's Eye Hospital - Velachery,"Velachery, Chennai",1,
645,Pavithra Hospital,"Kodungaiyur, Chennai",2,
646,Sri Sai Speciality Hospital,"Thirumullaivoyal, Chennai",9,
647,K.V.T.Speciality Hospital,"Kodungaiyur, Chennai",6,
648,Malligai Hospital,"Tondiarpet, Chennai",4,
649,Seethapathy Clinic & Hospital,"Royapettah, Chennai",2,
650,Appasamy Krishna Hospital,"Velachery, Chennai",8,10
651,Laksha Hospital,"Mylapore, Chennai",8,50
652,Sanjeevini Nursing Home,"Washermenpet, Chennai",1,
653,Vijayam Hospital and Fertility Centre,"Keelkattalai, Chennai",8,25
654,A.K. Hospital,"Aminjikarai, Chennai",8,20
655,Vasnthi Orthopedic Hospital,"Arumbakkam, Chennai",8,10
656,A2Z  Pregnanacy Care,"Anna Nagar East, Chennai",8,15
657,MV Hospital for Diabetes,"Adyar, Chennai",8,10
658,M R Hospital,"Aminjikarai, Chennai",2,
659,Ezhil Hospital,"Tondiarpet, Chennai",8,40
660,Mohan Nursing Home,"Ayanavaram, Chennai",8,30
661,Nirmals' Eye Hospital,"Tambaram West, Chennai",8,21
662,Je Nesam Hospital,"Ashok Nagar, Chennai",1,
663,Bharani Hospital,"Saligramam, Chennai",10,
664,Pet Zone Speciality Hospital,"Alwarpet, Chennai",5,
665,Bharathiraja Hospital,"T Nagar, Chennai",8,200
666,Rajan Eye Care Hospital Pvt Ltd,"T Nagar, Chennai",8,30
667,Vasan Eye Care Hospital,"Saidapet, Chennai",8,10
668,Teja Hospital,"Ambattur, Chennai",8,30
669,Dr. Agarwals Eye Hospital,"Cathedral Road, Chennai",2,
670,Rohit Hospital,"Thiruvottiyur, Chennai",8,30
671,Shree Ayurvedic Multispeciality Hospital,"T Nagar, Chennai",8,10
672,C M Hospital,"Medavakkam, Chennai",8,8
673,Jyothi Siddha & Ayurveda Hospital,"Tambaram, Chennai",8,10
674,Suraj Hospital,"Perumbakkam, Chennai",8,15
675,K M Multi Speciality Hospital,"Madhavaram, Chennai",3,
676,Kensington Hospital - Kilpauk,"Kilpauk, Chennai",8,3
677,K M Hospital,"Kilpauk, Chennai",9,
678,Memorial Hospital,"Adyar, Chennai",8,30
679,Parvathy Hospital,"Chromepet, Chennai",8,50
680,Xcellent Care Hospital,"Velachery, Chennai",8,50
681,The 6th Sense Hospital,"Madipakkam, Chennai",3,
682,Sri Chakra Multispeciality Hospital,"Nanganallur, Chennai",5,
683,Siva Subramaniam Hospital,"Kottivakkam, Chennai",3,
684,Apollo Spectra Hospital,"Alwarpet, Chennai",8,24
685,Swaram Hospital Navalur,"Navalur Place, Chennai",8,30
686,Right Hospitals,"Kilpauk, Chennai",8,20
687,Anand Hospital - Manali,"Manali, Chennai",8,40
688,Christudas Hospital,"Tambaram East, Chennai",8,15
689,Shifa Hospital & research centre,"Triplicane, Chennai",6,
690,Hande Hospital,"Shenoy Nagar, Chennai",8,20
691,Sree Sai Krishna Hospital,"Kilpauk, Chennai",5,
692,Das Nursing Home,"Pozhichalur, Chennai",8,30
693,Dr V Seshiah & Balaji Research Institute & Diabetes Care Centre,"Aminjikarai, Chennai",8,50
694,Nagamani Hospital,"Washermenpet, Chennai",8,25
695,GLB Hospitals,"Anna Nagar, Chennai",8,10
696,K.M.Hospitals,"Kilpauk, Chennai",3,
697,PVR Dental Hospital,"Nanganallur, Chennai",8,1
698,N.S.Hospital,"Tambaram, Chennai",8,15
699,Vasan Eye Care Hospital,"Tambaram, Chennai",8,10
700,Dr. A.C Aruldas Hospital,"Perambur, Chennai",8,40
701,Hera Hospital,"Virugambakkam, Chennai",8,25
702,G R Fertility Centre,"Adambakkam, Chennai",8,20
703,Durgabai Deshmukh Hospital & Research Centre,"Raja Annamalai Puram, Chennai",8,
704,Apollo Speciality Hospitals,"OMR Road, Chennai",8,70
705,Avm Medical ENT Research Foundation Hospital,"Mylapore, Chennai",8,25
706,RK Nursing Home,"Chromepet, Chennai",8,10
707,Sugam Hospital,"Thiruvottiyur, Chennai",8,100
708,M.M.Dental Care,"Alwarpet, Chennai",8,5
709,A V Hospital,"Washermenpet, Chennai",8,35
710,Vs Hospitals - Multi Speciality,"Chetpet, Chennai",8,50
711,F.O.R Ortho Hospital,"Kolathur, Chennai",4,
712,V Cure Hospital,"Velachery, Chennai",2,
713,Suman Hospital,"Thiruvottiyur, Chennai",8,5
714,Hiba Hospital,"Triplicane, Chennai",7,15
715,Srinivas Eye Hospital,"Thiruvallur, Chennai",8,
716,DRJ Hospital,"Kolathur, Chennai",7,75
717,Deepam Eye Hospital,"Kilpauk, Chennai",8,
718,Ramachandran's Diabetes Hospitals - Guindy,"Guindy, Chennai",4,
719,Guru Raghavendra Hospitals,"KK Nagar, Chennai",2,
720,M.V. Hospital for Diabetes & Diabetes Research Centre,"Royapuram, Chennai",11,
721,Nova IVI Fertility,"Raja Annamalai Puram, Chennai",7,10
722,Fortis Hospital,"Vadapalani, Chennai",1,
723,Sankara Kidney Hospital,"Pallavaram, Chennai",7,50
724,Spot Hospital,"Kodambakkam, Chennai",7,30
725,Chennai Meenakshi Multispeciality Hospital,"Mylapore, Chennai",7,100
726,K.P Hospital,"Adambakkam, Chennai",7,35
727,RSR'S Trinity Acute Care Hospital,"Mylapore, Chennai",7,50
728,Eswar Medical Foundation,"Kolathur, Chennai",7,35
729,MuvaHospital,"Aminjikarai, Chennai",4,
730,Udhi Eye Hospital,"Alwarpet, Chennai",1,
731,Girishwari Hospitals,"Alwarpet, Chennai",1,
732,Bloom Fertility & Healthcare,"Velachery, Chennai",7,50
733,Lakshmi Hospital - West Mambalam,"West Mambalam, Chennai",2,
734,Annamalai Hospital,"West Mambalam, Chennai",7,10
735,SKS Pet Hospital,"Kottivakkam, Chennai",7,2
736,GG Superspeciality Hospitals,"Nungambakkam, Chennai",7,30
737,KKR ENT Hospital & Research Institute,"Kilpauk, Chennai",30,
738,Helios Hospitals,"Velachery, Chennai",7,25
739,Trauma and Orthopaedic Speciality Hospital (TOSH),"Kilpauk, Chennai",7,30
740,USR ENT Care,"Anna Nagar, Chennai",1,
741,Motherhood Hospital Chennai,"Alwarpet, Chennai",7,5
742,Iyyappa Hospital & Diabetic Reseach Centre,"Perambur, Chennai",8,
743,V. S. Hospital,"Kovilambakkam, Chennai",7,8
744,Deepam Hospitals,"Chromepet, Chennai",7,40
745,Chellam Hospital,"Madambakkam, Chennai",7,30
746,Vasan Dental Hospital,"Saidapet, Chennai",75,
747,Lakshya Hospital Fertility & Women's Centre,"Tambaram, Chennai",7,20
748,Vellammal Hospitals,"Mogappair, Chennai",16,
749,Sri Balaji Hospital,"Guindy, Chennai",7,55
750,Laser and Laparoscopic Hospital,"T Nagar, Chennai",7,50
751,Aashara Hospital,"Anna Nagar West, Chennai",7,12
752,Shivas Eye Care Hospital,"Anna Nagar, Chennai",7,1
753,Manashasthra Integrated Mind Care,"Vanagaram, Chennai",7,40
754,RathiMed Speciality Hospital,"Anna Nagar, Chennai",7,20
755,Dr.Agarwal's Eye Hospital - Ashok Nagar,"Ashok Nagar, Chennai",27,
756,Anjakha Multispeciality Hospital,"Madipakkam, Chennai",7,30
757,Indigo Womens Center,"Anna Nagar, Chennai",7,6
758,Apollo Spectra Hospitals,"MRC Nagar, Chennai",7,70
759,Apollo Speciality Cancer Hospital,"Teynampet, Chennai",7,500
760,ANN Hospital,"Valasaravakkam, Chennai",7,50
761,Cherish Hospital,"Thirumullaivoyal, Chennai",7,20
762,Aditya Hospital,"Kilpauk, Chennai",5,
763,S R Multispeciality Hospital,"Arumbakkam, Chennai",7,30
764,GMR Hospital,"Mogappair West, Chennai",7,35
765,St Anthonys Hospital,"Puzhal, Chennai",13,
766,Apollo Medical Center,"Karapakkam, Chennai",7,100
767,Kasthuri Hospital,"Tambaram West, Chennai",5,
768,BB Hospital.,"Kolathur, Chennai",28,
769,Niranjana Hospital and Well Women Centre,"Villivakkam, Chennai",7,25
770,Vasan Eye Care Hospital,"Neelankarai, Chennai",7,10
771,Agada Hospital,"T Nagar, Chennai",7,35
772,Raj Nursing Home,"Mogappair East, Chennai",7,5
773,Venkataeswara Hospitals,"Nandanam, Chennai",7,130
774,K H Nursing Home,"Chromepet, Chennai",7,15
775,The Specialists Clinic And Hospital,"KK Nagar, Chennai",7,10
776,Dr K.K. Raja's Dental and Dentofacial Centre,"St Thomas Mount, Chennai",1,
777,Apollo Hospital - Sowcarpet,"Sowcarpet, Chennai",7,22
778,Chennai National Hospital,"Parrys, Chennai",7,120
779,Dr. Deva Multi Speciality Hospital,"Pattabiram, Chennai",7,10
780,VS Hospitals - Centre for Advanced Surgeries and Tertiary Care,"Kilpauk, Chennai",7,50
781,G K M Hospital,"Purasawakkam, Chennai",23,
782,Kings Hospital,"Kolathur, Chennai",7,40
783,CSI Rainy Hospital,"Washermenpet, Chennai",7,250
784,Nichani Hosptial,"Royapuram, Chennai",6,50
785,Dr. A. Ramachandran's Diabetes Hospitals,"Egmore, Chennai",1,
786,Visa Hospital - T Nagar,"T Nagar, Chennai",6,5
787,Sri Sai Sakthi Nursing Home,"MKB Nagar, Chennai",6,10
788,Rathna Nursing Home,"Triplicane, Chennai",6,15
789,Sri Sudharsanam Hospital,"Avadi, Chennai",1,
790,Ayanavaram Hospital,"Ayanavaram, Chennai",6,25
791,Nalamm Hospital PVT. Limited,"MKB Nagar, Chennai",6,25
792,K L Hospital,"Neelangarai, Chennai",6,30
793,Murugan Hospitals,"Kilpauk, Chennai",6,50
794,Mount Multispeciality Hospitals,"Adambakkam, Chennai",6,20
795,Vasan Eye Care Hospital,"Madipakkam, Chennai",6,10
796,Dr. Mohan's  Diabetes Specialities Centre,"Porur, Chennai",6,15
797,Dr. Mohan's Diabetic Specialities Centre,"OMR Road, Chennai",6,15
798,"MotherHood Hospital,TTK Road Alwarpet(Next to Levis Showroom)","Adyar, Chennai",1,
799,NM Fertility Centre and Hospital,"Madhavaram, Chennai",6,25
800,Mind Zone,"Adyar, Chennai",6,70
801,Dr. Mohan's Diabetic Specialities Centre,"Tambaram East, Chennai",2,
802,Dr.Agarwal's Eye Hospital - Avadi,"Avadi, Chennai",1,
803,Vasan Eye Care Hospital,"Chromepet, Chennai",6,10
804,Vasan Eye Care Hospital,"Mogappair West, Chennai",6,10
805,Shakthi Maternity Centre,"Ayanavaram, Chennai",6,4
806,VS Hospitals - Advanced Cancer Care,"Chetpet, Chennai",6,50
807,KKR ENT Super Speciality Hospital,"Maduravoyal, Chennai",6,5
808,St.Isabel's Hospital,"Mylapore, Chennai",1,
809,Vasan Eye Care Hospital - Anna Nagar,"Anna Nagar East, Chennai",6,10
810,SKS Pet Hospital,"Neelankarai, Chennai",6,2
811,People's Nursing Home,"Aminjikarai, Chennai",6,10
812,ARC International Fertility And Research Centre,"Perungudi, Chennai",6,100
813,Speed Hospitals - Speed Institute of Orthopaedics and Trauma.,"Arumbakkam, Chennai",5,
814,Karunya Hospital,"Medavakkam, Chennai",6,1
815,Rakki Hospital,"Ambattur, Chennai",1,
816,Life Care Hospital,"Pudupet, Chennai",6,25
817,Vasan Eye Care Hospital,"Alwarpet, Chennai",6,10
818,Vasantha Multi Speciality Hospital,"Thiruvottiyur, Chennai",6,30
819,E.G.Hospital,"Choolai, Chennai",6,2
820,New Life Fertility & IVF Centre,"Nanganallur, Chennai",6,5
821,M.N.Eye Hospital,"Tondiarpet, Chennai",6,20
822,Medway Hospital,"Adyar, Chennai",6,10
823,RR Dental Hospital,"Vadapalani, Chennai",6,5
824,Vasan Eye Care Hospital,"Valasaravakkam, Chennai",6,10
825,Admert Hospital Pvt Ltd,"Aminjikarai, Chennai",1,
826,Dental Life Hospital,"Saidapet, Chennai",3,
827,Malar Eye Care,"Adyar, Chennai",6,1
828,Vasan Eye Care Hospital - Vadapalani,"Vadapalani, Chennai",6,10
829,Vasan Eye Care Hospital,"Perambur, Chennai",6,10
830,BP Jain Hospital,"Pammal, Chennai",3,
831,Vasan Eye Care Hospital - Triplicane,"Triplicane, Chennai",6,10
832,St Antony's hospital,"Madhavaram, Chennai",1,
833,Jeyam Hospital,"Poonamalle, Chennai",13,
834,Ridley Eye Hospital,"Porur, Chennai",1,
835,"Department of Prosthodontics, SBDCH","Pallikaranai, Chennai",1,
836,Manam Dental Hospitals,"Maduravoyal, Chennai",6,
837,Pranav Eye Care Hospital,"Mogappair West, Chennai",6,
