,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
399,Indo-us Superspeciality Hospital,"Ameerpet, Hyderabad",3,50.0
400,KIMS Hospital,"Kondapur, Hyderabad",32,150.0
401,Alpha Hospital,"Charminar, Hyderabad",21,120.0
402,Surakshaka Multi-Speciality And Diabetes Hospitals,"KPHB, Hyderabad",11,
403,Praanadah Hospital,"Madhapur, Hyderabad",5,
404,Tanvir Hospital,"Srinagar Colony, Hyderabad",4,37.0
405,Apollo Hospitals,"Jubilee Hills, Hyderabad",175,550.0
406,Basant Sahney Hospital,"West Marredpally, Hyderabad",19,60.0
407,Prasad Hospital ,"Nacharam, Hyderabad",13,100.0
408,Remedy Hospitals,"Kukatpally, Hyderabad",1,80.0
409,Shalivahana Multi Speciality Hospital,"Dilsukhnagar, Hyderabad",17,100.0
410,Dr. Saji D'souza's KSAC Hospital,"Punjagutta, Hyderabad",3,40.0
411,Dr. P Siva Reddy Eye Hospital,"Himayat Nagar, Hyderabad",1,20.0
412,Mythri Hospital,"Chanda Nagar, Hyderabad",11,150.0
413,Srinivasa Hospital,"Narayanguda, Hyderabad",1,100.0
414,"Aravind Eye Hospital, Mehdipatnam","Mehdipatnam, Hyderabad",5,
415,Jaya Bhushan Hospitals,"Mehdipatnam, Hyderabad",2,25.0
416,Amrita ENT Head and Neck Hospital,"KPHB, Hyderabad",3,3.0
417,Dr Raos Super Speciality ENT Hospital,"Punjagutta, Hyderabad",1,10.0
418,Manju Sudha Multi speciality ,"Dilsukhnagar, Hyderabad",2,
419,Majestic Hospital,"Langer House, Hyderabad",7,
420,Sree Netralaya Eye Hospital,"Kothapet, Hyderabad",8,10.0
421,Sri Aravindo Sevakendra,"Jodhpur Park, Kolkata",32,
422,AMRI Hospital,"Mukundapur, Kolkata",2,
423,Charnock Hospital,"Teghoria, Kolkata",15,5.0
424,Amri Hospitals,"Salt Lake, Kolkata",21,210.0
425,Woodlands Multispeciality Hospital,"Alipore, Kolkata",14,100.0
426,Bhagirathi Neotia Woman & Child Care Centre,"Park Street, Kolkata",9,
427,Columbia Asia Hospitals,"Salt Lake, Kolkata",16,100.0
428,Vision Care Hospital-Mukundapur,"Mukundapur, Kolkata",3,
429,Rabindranath Tagore International Institute of Cardiac Sciences,"Mukundapur, Kolkata",11,
430,Genesis Hospital,"Kasba, Kolkata",2,5.0
431,EEDF Hospital,"Jodhpur Park, Kolkata",3,130.0
432,RUBY Hospital,"Kasba, Kolkata",14,100.0
433,Belle Vue Clinic,"Minto Park, Kolkata",29,6.0
434,Nightingale Hospital,"Shakespeare Sarani, Kolkata",1,
435,National Neurosciences Centre,"Panchasayar, Kolkata",2,
436,ILS Hospital,"Salt Lake, Kolkata",7,
437,Disha Eye Hospital,"Barrackpore, Kolkata",3,5.0
438,AMRI Hospital,"Dhakuria, Kolkata",15,1000.0
439,Nehru Memorial Techno Global Hospital,"Barrackpore, Kolkata",1,130.0
440,Rabindranath Tagore Surgical Centre Hiland Park,"Garia, Kolkata",1,8.0
441,North City Hospital,"Ultadanga, Kolkata",9,110.0
442,Hindustan Health Point,"Garia, Kolkata",62,100.0
443,Apex General Hospital,"Baguihati, Kolkata",2,
444,Narayana Multispeciality Hospital,"Barasat, Kolkata",3,145.0
445,Sahid Khudiram Bose Hospital,"Belgharia, Kolkata",1,60.0
446,Binayak Multispeciality Hospital,"Dumdum, Kolkata",10,100.0
447,B P Poddar Hospital & Medical Research,"New Alipore, Kolkata",7,205.0
448,SVS Marwari Hospital,"Raja Ram Mohan Sarani, Kolkata",1,150.0
449,Birati Municipal Hospital,"Dumdum, Kolkata",1,75.0
450,ILS Hospitals,"Dumdum Road, Kolkata",10,130.0
451,Fortis Hospital and Kidney Institute,"Rash Behari Avenue, Kolkata",6,100.0
452,Lotus Hospital,"Rajarhat, Kolkata",13,25.0
453,"Zenith Superspecialist Hospital, Belgharia","Belgharia, Kolkata",4,
454,Naba Jiban Hospital,"Shyambazar, Kolkata",1,10.0
455,Eskag Sanjeevani Hospital,"Baghbazar, Kolkata",1,
456,Techno Global Hospital,"Barrackpore, Kolkata",2,130.0
457,Sanjivani Hospital,"Baghbazar, Kolkata",1,
458,ILF Hospital,"Dumdum, Kolkata",1,
459,Noble Hospital,"Hadapsar, Pune",61,341.0
460,Rhythm Healthcare,"Pimple Saudagar, Pune",2,6.0
461,Sahyadri Hospitals,"Deccan Gymkhana, Pune",33,200.0
462,Galaxy Hospital,"Pimple Saudagar, Pune",2,10.0
463,Shashwat Hospital,"Kothrud, Pune",58,30.0
464,Deenanath Mangeshkar Hospital,"Erandwane, Pune",65,700.0
465,Shashwat Hospital,"Aundh, Pune",26,60.0
466,Lotus Multispeciality Hospital,"Pimple Saudagar, Pune",11,40.0
467,Columbia Asia Hospital,"Kharadi, Pune",18,50.0
468,Apollo Jehangir Hospital,"Bund Garden, Pune",44,
469,Maharashtra Medical Foundation - Joshi Hospital,"Shivaji Nagar, Pune",37,110.0
470,Orchid Hospital,"Lohegaon, Pune",3,60.0
471,Inlaks and Budhrani Hospital,"Koregaon Park, Pune",56,
472,Niramaya Hospital,"Chinchwad, Pune",14,
473,Harsh Hospital,"Market Yard, Pune",2,15.0
474,National Institute Of Ophthalmology,"Shivaji Nagar, Pune",4,16.0
475,Dhanwantari Hospital,"Nigdi, Pune",19,30.0
476,Hiremath Hospital,"Chinchwad, Pune",2,15.0
477,Krishna Hospital,"Kothrud, Pune",17,40.0
478,Sahyadri Hospital,"Hadapsar, Pune",45,20.0
479,Surya Mother & Child Super Speciality Hospital,"Wakad, Pune",16,100.0
480,Vinod Memorial Multispeciality Hospital,"Vishrantwadi, Pune",7,
481,ACE Hospital,"Erandwane, Pune",42,40.0
482,Kidney & Urology Super-Speciality Clinic,"Rasta Peth, Pune",2,8.0
483,Sahyadri Hospital,"Kothrud, Pune",31,30.0
484,Kedarnath General Hospital,"Vishrantwadi, Pune",19,24.0
485,Medipoint Hospital,"Aundh, Pune",21,102.0
486,Alpha Superspeciality Hospital,"Wakad, Pune",3,15.0
487,Shree Shakti Hospital,"Pimple Saudagar, Pune",9,
488,OHF - Om Shree Swami Samarth Hospital,"Chinchwad, Pune",5,20.0
489,Chaitanya Hospital,"Chinchwad, Pune",18,
490,Shreeyash Hospital,"Deccan Gymkhana, Pune",5,3.0
491,Satyanand Hospital - Kondhwa,"Kondhwa, Pune",12,36.0
492,Salunke Hospital,"Wadgaon Sheri, Pune",3,12.0
493,Sai Multispeciality Hospital,"Hadapsar, Pune",4,30.0
494,Sancheti Hospital,"Shivaji Nagar, Pune",35,200.0
495,Poona Hospital And Research Centre,"Sadashiv Peth, Pune",63,
496,Ashwini Hospital,"Chinchwad, Pune",1,10.0
497,Ruby Hall Clinic,"Dhole Patil Road, Pune",132,550.0
498,Morya Multispeciality Hospital,"Chinchwad, Pune",5,50.0
499,Pune Netralaya,"Aundh, Pune",1,1.0
500,AIMS Hospital,"Aundh, Pune",6,
501,Orion Hospital,"Wakad, Pune",4,21.0
502,Polaris Healthcare,"Wakad, Pune",10,15.0
503,Serene Hospital,"Vishrantwadi, Pune",7,26.0
504,Ratna Memorial Hospital,"Senapati Bapat Marg, Pune",20,75.0
505,Om Hospital,"Bhosari, Pune",8,
506,"Dwidal Hospital, Karve Road","Karve Nagar, Pune",4,
507,Lokmanya Hospital,"Nigdi, Pune",1,110.0
508,N M Wadia Institute of Cardiology,"Bund Garden, Pune",12,58.0
509,Ameya Clinic,"Erandwane, Pune",2,20.0
510,Sai Sneh Hospital & Diagnostic Center Pvt. Ltd,"Satara Road, Pune",25,31.0
511,Chellaram Diabetes Hospital,"Bavdhan, Pune",10,60.0
512,Asian Eye Hospital,"Dhole Patil Road, Pune",3,10.0
513,Giriraj Hospital & Intensive Care Unit,"Baramati, Pune",27,
514,Viraj Eye Hospital,"Kharadi, Pune",1,
515,Kataria Hospital,"Yerwada, Pune",2,20.0
516,Meera Hospital,"Camp, Pune",5,
517,Mahaveer Super Speciality Eye Hospital and Laser Centre,"Camp, Pune",1,2.0
518,Sahyadri Hospital,"Bibvewadi, Pune",33,31.0
519,Aditya Birla Memorial Hospital,"Chinchwad, Pune",1,
520,Bhalerao Ent Hospital,"Akurdi, Pune",5,
521,Usha Hospital,"Hadapsar, Pune",1,8.0
522,Sahyadri Hospital,"Bopodi, Pune",43,
523,Lifeline Speciality Hospital,"Wagholi, Pune",13,
524,Shetiya Hospital And Komal Nursing Home,"Vishrantwadi, Pune",6,25.0
525,Kelkar Nursing Home,"Deccan Gymkhana, Pune",4,4.0
526,Sanjeevan Hospital,"Karve Nagar, Pune",23,105.0
527,"Shrigiri Hospital & Heart Care Centre, Gadital","Hadapsar, Pune",7,
528,Mantri Hospital,"Erandwane, Pune",2,10.0
529,KEM Hospital,"Rasta Peth, Pune",95,
530,Bharti Children & Cardio Diabetic Hospital,"Pimple Saudagar, Pune",2,15.0
531,Kohakade Hospital,"Wagholi, Pune",2,51.0
532,Aditya Birla Memorial Hospital,"Chinchwad, Pune",32,500.0
533,Kothari Accident Hospital,"Swargate, Pune",1,
534,Medipoint Hospital,"Chandan Nagar, Pune",5,50.0
535,Sunil Wankhede Memorial Hospital,"Dehu Road, Pune",2,15.0
536,Sahydree Hospital,"Erandwane, Pune",10,
537,Mantri Hospital,"Ghorpadi, Pune",8,
538,Vinayak Hospital,"Warje, Pune",2,20.0
539,Dhanashree Hospital,"Chinchwad, Pune",13,50.0
540,Deendayal Memorial Hospital,"FC Road, Pune",4,30.0
541,Niramay Hospital,"Wadgaon Sheri, Pune",4,15.0
542,Dr Prakash Bhambure Clinic,"Satara Road, Pune",1,100.0
543,Cloudnine Hospital,"Shivaji Nagar, Pune",20,18.0
544,Agarwal Maternity & General Hospital,"Chandan Nagar, Pune",10,
545,Lifepoint Multispeciality Hospital,"Wakad, Pune",7,100.0
546,Mai Mangeshkar Hospital,"Warje, Pune",18,50.0
547,Aastha Hospital,"Chinchwad, Pune",3,25.0
548,Suraj Hospital,"Market Yard, Pune",4,15.0
549,Chitale E.N.T Hospital,"Sadashiv Peth, Pune",7,2.0
550,Pioneer Hospital ,"Talegaon, Pune",8,
551,Lunkad Hospital,"Yerwada, Pune",5,4.0
552,Shri Sai Hospital,"Alandi Devachi, Pune",10,
553,Dr. Karne Accident And Orthopedic Hospital,"Swargate, Pune",2,23.0
554,Bakshi Hospital,"Kothrud, Pune",1,7.0
555,Shreeyash Multispeciality Hospital,"Sinhagad Road, Pune",3,20.0
556,Vatsalya Mother & Child Care,"Bhosari, Pune",5,20.0
557,Lokmanya Hospital,"Swargate, Pune",1,50.0
558,Healing Touch Hospital,"Pimple Saudagar, Pune",5,
