EXEC_ID,HOSPITAL NAME,EXECUTIVE NAME,POSITION,AGE
193,Omega Hospital,jayakrishnan aylliath gosalkkal,Director,
194,Sahyadri Speciality Hospital,jayashree apte,Executive Director,
195,"Sahyadri Hospitals, Deccan Gymkhana, Pune",jayashree charudutta apte,Wholetime Director,
196,Sir Ganga Ram Hospital,jayashree sood,Hony. Jt. Secretary,
197,Jivraj Mehta Smarak Health Foundation,jayasukhbhai jasani,,
198,"Billroth Hospitals, Chennai",jeganathan kala,Director,
199,Jivraj Mehta Smarak Health Foundation,jitendrabhai j. patel,,
200,Omega Hospital,joe verghese cheruvathoor,Director,
201,"Sir H.N. Reliance Foundation Hospital & Research Centre, Mumbai",johar sabuwala,Chief Financial Officer,
202,Columbia Asia Hospital,john richard northen,Director,
202,"Columbia Asia Hospital, Whitefield, Bangalore",john richard northen,Director,
202,Columbia Asia Hospitals,john richard northen,Director,
203,"Fortis Malar Hospital, Adyar, Chennai",joji sekhon gill,,
203,"S L Raheja Fortis Hospital, Mumbai",joji sekhon gill,,
203,"Fortis Hospital, Shalimar Bagh, Delhi",joji sekhon gill,,
203,"Fortis Hospital, Mulund West, Mumbai",joji sekhon gill,,
203,"Fortis Hospital, Vasant Kunj, Delhi",joji sekhon gill,,
203,"Fortis Escorts, Okhla, Delhi",joji sekhon gill,,
204,"Max Super Speciality Hospital, Saket, Delhi",jonathan lowick,Member of the Board of Directors,
204,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",jonathan lowick,Member of the Board of Directors,
204,"Max Hospital, pitampura, Delhi",jonathan lowick,Member of the Board of Directors,
205,St John Medical College and Hospital,josamma titto,Director,
206,"KIMS - Krishna Institute of Medical Sciences, Hyderabad",jyothi prasad,Director,
207,Sir Ganga Ram Hospital,jyoti,Dy. Medical Superintendent & Incharge Quality,
208,Landmark Hospitals,k sudhir kumar reddy,Managing Director,
209,"Aditya Hospital, Uppal, Hyderabad",k sunil kumar,MEDICAL DIRECTOR,
210,Madras Medical Mission Hospital,k. george,,
211,"Sancheti Hospital, Pune",k. h. sancheti,Founder,
212,"Apollo Hospitals, Hyderabad",k. hariprasad,President of Hospitals Division,52
212,"Apollo Hospital, Chennai",k. hariprasad,President of Hospitals Division,52
212,"Apollo Hospital, Bannerghatta Road, Bangalore",k. hariprasad,President of Hospitals Division,52
213,Madras Medical Mission Hospital,k. jacob,Hon. Secretary,
214,"Apollo Hospital, Bannerghatta Road, Bangalore",k. prabhakar,Chief Learning Officer,62
214,"Apollo Hospitals, Hyderabad",k. prabhakar,Chief Learning Officer,62
214,"Apollo Hospital, Chennai",k. prabhakar,Chief Learning Officer,62
215,Sims Hospital (Srm Institutes For Medical Science),k. sridhar,Vice-President,
216,Madras Medical Mission Hospital,k.e. cherian,,
217,Madras Medical Mission Hospital,k.e. koshy,,
218,Sir Ganga Ram Hospital,k.p. jain,Member,
219,"Mallige Medical Centre, Bangalore",kala sreeram,Director,
220,"Venkateshwar Hospital, Dwarka Delhi",kalpana vithaldas merchant,Director,
221,"Venkateshwar Hospital, Dwarka Delhi",kamal solanki,CEO,
222,"Kamineni Hospitals, Hyderabad",kamineni shashidhar,Managing Director,
223,"Kamineni Hospitals, Hyderabad",kamineni sridhar,,
224,"Kamineni Hospitals, Hyderabad",kamineni suryanarayana,Director,
225,"Kamineni Hospitals, Hyderabad",kamineni vasundhara,,
226,Aakash Health Care,kamla chaudhry,Director,
227,Primus Super Speciality Hospital,kanchan mala singh,Director,
228,Kailash Deepak Memorial Hospital,kanchan verma,Group Director Radiology,
228,Kailash Hospital,kanchan verma,Group Director Radiology,
229,"Jaipur Golden Hospital, Delhi",kanta khanna,Trustee,
230,Jaslok Hospital,kanta masand,Managing Trustee,
231,Jivraj Mehta Smarak Health Foundation,kantibhai m. patel,,
232,"Mata Chanan Devi Hospital, Janaki Pura, Delhi",kiran grover,Member,
233,K M Speciality & Pediatric Care,kiran laxman gaonkar,Director,
234,Medipoint Hospital,kishor dattatray modkharkar,Director,
235,"Cloudnine Hospital, Chennai","kishore kumar,",Chairman,
236,Maharaja Agrasen Hospital,kishori lal goyal,Vice-President (Dwarka),
237,"KIMS - Krishna Institute of Medical Sciences, Hyderabad",kodali venkata krishna kumar,Director,
238,Jivraj Mehta Smarak Health Foundation,kokilaben r. trivedi,,
239,"Apollo Hospital, Bannerghatta Road, Bangalore",krishnan akhileswaran,Chief Financial Officer,41
239,"Apollo Hospitals, Hyderabad",krishnan akhileswaran,Chief Financial Officer,41
239,"Apollo Hospital, Chennai",krishnan akhileswaran,Chief Financial Officer,41
240,"Cloudnine Hospital, Chennai",krishnan subramanian,Group CFO,
241,"Apollo Hospitals, Hyderabad",krishnaswami padmanabhan,Group President,64
241,"Apollo Hospital, Bannerghatta Road, Bangalore",krishnaswami padmanabhan,Group President,64
241,"Apollo Hospital, Chennai",krishnaswami padmanabhan,Group President,64
242,Jivraj Mehta Smarak Health Foundation,kritkumar ratilal parikh,,
243,Jivraj Mehta Smarak Health Foundation,kshitish madanmohan,Hon. Secretary,
244,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",kummamuri murthy,Member of the Board of Directors,
244,"Max Hospital, pitampura, Delhi",kummamuri murthy,Member of the Board of Directors,
244,"Max Super Speciality Hospital, Saket, Delhi",kummamuri murthy,Member of the Board of Directors,
245,I-AIM Health Care,l rajaram,Director,
246,"Jaipur Golden Hospital, Delhi",lajwanti khanna,Trustee,
247,"Balaji Action Medical Institute, Delhi",lala mange ram agarwal,Chairman,
248,Jivraj Mehta Smarak Health Foundation,lalitbhai p. bakeri,,
249,"Balaji Action Medical Institute, Delhi",laxmi naraian goel,Member,
250,"Continental Hospitals, Hyderabad",lim suet wun,Director,
251,"Continental Hospitals, Hyderabad",low soon teck,Alternate Director,
252,"Hindu Mission Hospital, Chennai",m b venkataperumal,Member,
253,"Jaipur Golden Hospital, Delhi",m r bahri,Trustee,
254,"Apollo Hospital, Bannerghatta Road, Bangalore",m. k. mani,Chief of Nephrologist,80
254,"Apollo Hospitals, Hyderabad",m. k. mani,Chief of Nephrologist,80
254,"Apollo Hospital, Chennai",m. k. mani,Chief of Nephrologist,80
255,Madras Medical Mission Hospital,m. paul korath,,
255,Madras Medical Mission Hospital,m. paul korath,,
256,"Cloudnine Hospital, Chennai",m. ramachandra,Director,
257,Kailash Hospital,m.d. sharma,HOD Nephrology Dept,
257,Kailash Deepak Memorial Hospital,m.d. sharma,HOD Nephrology Dept,
258,Jaslok Hospital,m.k.chanrai,,
259,"Max Super Speciality Hospital, Saket, Delhi",madhabi buch,Member of the Board of Directors,
259,"Max Hospital, pitampura, Delhi",madhabi buch,Member of the Board of Directors,
259,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",madhabi buch,Member of the Board of Directors,
260,Sahyadri Speciality Hospital,madhur varma,Chief Executive Officer,
261,I-AIM Health Care,mahadevan,Director,
262,"Abhijay Hospital Pvt Ltd, Chennai",mahalakshmi saravanan,Director,
263,"Mata Chanan Devi Hospital, Janaki Pura, Delhi",mahashay dharampal,President,
264,Blk Super Speciality Hospital,mahendra lodha,Director,
265,Premier Hospitals,mahesh kumar marda,Director,
266,Primus Super Speciality Hospital,maj. vivek pasricha,Managing Drector,
267,"Fortis Malar Hospital, Adyar, Chennai",malvinder mohan singh,"Executive Chairman, Fortis Healthcare Limited",
267,"Fortis Escorts, Okhla, Delhi",malvinder mohan singh,"Executive Chairman, Fortis Healthcare Limited",
267,"S L Raheja Fortis Hospital, Mumbai",malvinder mohan singh,"Executive Chairman, Fortis Healthcare Limited",
267,"Fortis Hospital, Shalimar Bagh, Delhi",malvinder mohan singh,"Executive Chairman, Fortis Healthcare Limited",
267,"Fortis Hospital, Vasant Kunj, Delhi",malvinder mohan singh,"Executive Chairman, Fortis Healthcare Limited",
267,"Fortis Hospital, Mulund West, Mumbai",malvinder mohan singh,"Executive Chairman, Fortis Healthcare Limited",
268,"Noble Hospital, Hadapsur, Pune",mangesh siddheshwar lingayat,Director,
269,Bombay Hospital & Medical Research Centre,manish ved,Director - Systems,
270,"Venkateshwar Hospital, Dwarka Delhi",manisha sanghavi,Executive Director,
271,"Bhagwan Mahaveer Jain Hospital - Vasanthnagar, Bangalore",manoharmal bhandari,Treasurer,
272,Bombay Hospital & Medical Research Centre,manoj singhal,Director - Materials,
273,"Noble Hospital, Hadapsur, Pune",maruti baburao abnave,Director,
274,Columbia Asia Hospital,matthew thomas powell,Director,
274,Columbia Asia Hospitals,matthew thomas powell,Director,
274,"Columbia Asia Hospital, Whitefield, Bangalore",matthew thomas powell,Director,
275,NU Hospitals,mattipa kanthiraj prasanna venkatesh,Managing Director,
276,NU Hospitals,mattipa ramasamy kanthiraj,Director,
277,"Sahyadri Hospitals, Deccan Gymkhana, Pune",mayank bansal,Nominee Director,
278,Maharaja Agrasen Hospital,megh raj goyal,Member Control Board,
279,Sir Ganga Ram Hospital,member,Member,
280,Omega Hospital,mohanchandra suvarna,Director,
281,"Bhagwan Mahaveer Jain Hospital - Vasanthnagar, Bangalore",mohanlal ranka,Vice President,
282,"Jaipur Golden Hospital, Delhi",mohit khanna,Trustee,
283,"Jaipur Golden Hospital, Delhi",mohit malhotra,Trustee,
284,"Max Super Speciality Hospital, Saket, Delhi",mohit talwar,Member of the Board of Directors,
284,"Max Hospital, pitampura, Delhi",mohit talwar,Member of the Board of Directors,
284,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",mohit talwar,Member of the Board of Directors,
285,"Indraprastha Apollo Hospitals, Sarita Vihar, Delhi",mr arun rai,Non Executive Director & Independent Director,
286,"Indraprastha Apollo Hospitals, Sarita Vihar, Delhi",mr s.n sahai,Non Executive Director,
287,Omni Hospitals,mr surya pulagam,Managing Director,
288,Blk Super Speciality Hospital,mradul kaushik,Director - Operations & Planning,
289,"Indraprastha Apollo Hospitals, Sarita Vihar, Delhi",ms.renu s. karnad,Non Executive Director,
290,"Care Hospitals, Hyderabad",mudit saxena,Group CEO,
291,"Sir H.N. Reliance Foundation Hospital & Research Centre, Mumbai",mukesh jain,Chief Information Officer,
292,"Max Hospital, pitampura, Delhi",mukesh shivdasani,"Executive Director - South Zone, Executive Director - Operations and Director",
292,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",mukesh shivdasani,"Executive Director - South Zone, Executive Director - Operations and Director",
292,"Max Super Speciality Hospital, Saket, Delhi",mukesh shivdasani,"Executive Director - South Zone, Executive Director - Operations and Director",
293,"Jaipur Golden Hospital, Delhi",mukul bahri,Director,
294,Omega Hospital,mukunda kumbla,Director,
294,Omega Hospital,mukunda kumbla,Director,
295,"Care Hospitals, Hyderabad",n. krishna reddy,Vice-Chairman,
296,Jaslok Hospital,n.g.chanrai,Trustee,
297,"Venkateshwar Hospital, Dwarka Delhi",nagender solanki,Director,
298,"Manipal Hospital, Bangalore",nagendra s chandrashekaraiah swamy,Director,
299,"Billroth Hospitals, Chennai",nageshwar,Director,
300,Kauvery Hospitals,nalini ganapathi,Director,
301,"Balaji Action Medical Institute, Delhi",nand kishore agarwal,Vice-Chairman,
302,"Columbia Asia Hospital, Whitefield, Bangalore",nandakumar jairam,Director,
302,Columbia Asia Hospital,nandakumar jairam,Director,
302,Columbia Asia Hospitals,nandakumar jairam,Director,
303,Bombay Hospital & Medical Research Centre,nandini nopany,Trustee,
304,Blk Super Speciality Hospital,narayan k seshadri,Director,
305,"Sahyadri Hospitals, Deccan Gymkhana, Pune",narayanan gopalakrishnan,Nominee Director,
306,"Apollo Hospitals, Hyderabad",narayanan vaghul,Member of the Board of Directors,79
306,"Apollo Hospital, Bannerghatta Road, Bangalore",narayanan vaghul,Member of the Board of Directors,79
306,"Apollo Hospital, Chennai",narayanan vaghul,Member of the Board of Directors,79
307,"Billroth Hospitals, Chennai",narayanasamy kalpana,Wholetime Director,
308,Jivraj Mehta Smarak Health Foundation,narendra l. patel,,
309,Maharaja Agrasen Hospital,naresh aggarwal,Sr. Vice President (Dwarka),
310,Maharaja Agrasen Hospital,naresh goyal,General Secretary,
311,Blk Super Speciality Hospital,naresh kapoor,Director,
312,"Balaji Action Medical Institute, Delhi",naresh kumar agarwal,Member,
313,Maharaja Agrasen Hospital,naresh kumar singhal,Secretary (Trust),
314,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",narottam puri,Executive Director of Medical Services and Director,
314,"Max Super Speciality Hospital, Saket, Delhi",narottam puri,Executive Director of Medical Services and Director,
314,"Max Hospital, pitampura, Delhi",narottam puri,Executive Director of Medical Services and Director,
315,Bombay Hospital & Medical Research Centre,narsinha reddy,Jt. Director - Marketing,
316,Jivraj Mehta Smarak Health Foundation,navnitbhai g. choksi,Vice-President,
317,Sir Ganga Ram Hospital,neelam kler,Member,
318,Premier Hospitals,neelima marda,Director,
319,Tirath Ram Shah Hospital,nikhil sawhney,Trustee,
320,Jivraj Mehta Smarak Health Foundation,nikhilbhai j. shah,,
321,Sir Ganga Ram Hospital,niranjan kumar ramakrishnan,"Chief Information Officer, IT",
322,"Jaipur Golden Hospital, Delhi",nirmal malhotra,Trustee,
323,"Sir H.N. Reliance Foundation Hospital & Research Centre, Mumbai",nita m. ambani,Founder & Chairperson,
324,Sahyadri Speciality Hospital,nitin desai,Director,
325,"Cloudnine Hospital, Chennai",nitin nag,Regional Director,
326,"Sahyadri Hospitals, Deccan Gymkhana, Pune",nitin raojibhai desai,Director,
327,Jivraj Mehta Smarak Health Foundation,nitinbhai shantilal parikh,,
328,"Balaji Action Medical Institute, Delhi",o.p. gupta,Member,
329,Amri Hospitals,om prakash saxena,Director,
329,AMRI Hospital,om prakash saxena,Director,
330,"Continental Hospitals, Hyderabad",omkar deepak joshi,Director,
331,"Max Hospital, pitampura, Delhi",omkar goswami,Member of the Board of Directors,
331,"Max Super Speciality Hospital, Saket, Delhi",omkar goswami,Member of the Board of Directors,
331,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",omkar goswami,Member of the Board of Directors,
332,Amri Hospitals,omprakash jhunjhunwala,Director,
332,AMRI Hospital,omprakash jhunjhunwala,Director,
333,"Apollo Hospital, Chennai",p. b. ramamoorthy,Chief Operating Officer of Pharmacy,61
333,"Apollo Hospital, Bannerghatta Road, Bangalore",p. b. ramamoorthy,Chief Operating Officer of Pharmacy,61
333,"Apollo Hospitals, Hyderabad",p. b. ramamoorthy,Chief Operating Officer of Pharmacy,61
334,"Apollo Hospitals, Hyderabad",p. preetha reddy,Executive Vice-Chairperson,58
334,"Apollo Hospital, Chennai",p. preetha reddy,Executive Vice-Chairperson,58
334,"Apollo Hospital, Bannerghatta Road, Bangalore",p. preetha reddy,Executive Vice-Chairperson,58
335,"Apollo Hospital, Bannerghatta Road, Bangalore",p. reddy,Executive Vice-Chairperson,58
335,"Apollo Hospitals, Hyderabad",p. reddy,Executive Vice-Chairperson,58
335,"Apollo Hospital, Chennai",p. reddy,Executive Vice-Chairperson,58
336,"Fortis Escorts, Okhla, Delhi",p. s. joshi,,
336,"Fortis Hospital, Shalimar Bagh, Delhi",p. s. joshi,,
336,"S L Raheja Fortis Hospital, Mumbai",p. s. joshi,,
336,"Fortis Malar Hospital, Adyar, Chennai",p. s. joshi,,
336,"Fortis Hospital, Vasant Kunj, Delhi",p. s. joshi,,
336,"Fortis Hospital, Mulund West, Mumbai",p. s. joshi,,
337,Kailash Hospital,p. unnikrishnan,General Manager,
337,Kailash Deepak Memorial Hospital,p. unnikrishnan,General Manager,
338,Sir Ganga Ram Hospital,p.k. bansal,Head Projects,
339,Sir Ganga Ram Hospital,p.k. khanna,Member,
340,"KIMS - Krishna Institute of Medical Sciences, Hyderabad",padmanabhaiah jankiramiah kantipudi,Director,
341,"Venkateshwar Hospital, Dwarka Delhi",parag sancheti,"Chairman, Managing Director",
342,Jivraj Mehta Smarak Health Foundation,pareshbhai k. parkih,,
343,"Jaipur Golden Hospital, Delhi",parveen alagh,Trustee,
344,Jivraj Mehta Smarak Health Foundation,pavaniben anuragbhai agrawal,,
345,Jivraj Mehta Smarak Health Foundation,pavnbai anilbhai bakeri,,
346,"Max Hospital, pitampura, Delhi",peter harper,Member of the Board of Directors,
346,"Max Hospital, pitampura, Delhi",peter harper,Member of the Board of Directors,
346,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",peter harper,Member of the Board of Directors,
346,"Max Super Speciality Hospital, Saket, Delhi",peter harper,Member of the Board of Directors,
347,"Venkateshwar Hospital, Dwarka Delhi",pokkinary hashim,Director,
348,NU Hospitals,potineni koteswara rao,Director,
349,Global Hospital,potlapally lakshmi sailaja,Director,
350,"Max Hospital, pitampura, Delhi",pradeep chowbey,Executive Vice Chairman,
350,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",pradeep chowbey,Executive Vice Chairman,
350,"Max Super Speciality Hospital, Saket, Delhi",pradeep chowbey,Executive Vice Chairman,
351,"Fortis Malar Hospital, Adyar, Chennai",pradeep ratilal raniga,,
351,"S L Raheja Fortis Hospital, Mumbai",pradeep ratilal raniga,,
351,"Fortis Escorts, Okhla, Delhi",pradeep ratilal raniga,,
351,"Fortis Hospital, Mulund West, Mumbai",pradeep ratilal raniga,,
351,"Fortis Hospital, Vasant Kunj, Delhi",pradeep ratilal raniga,,
351,"Fortis Hospital, Shalimar Bagh, Delhi",pradeep ratilal raniga,,
352,Jivraj Mehta Smarak Health Foundation,pradipbhai kamdar,,
353,"Sahyadri Hospitals, Deccan Gymkhana, Pune",prakash raghunath tulpule,Wholetime Director,
354,Sahyadri Speciality Hospital,prakash tulpule,Executive Director,
355,"Noble Hospital, Hadapsur, Pune",pralhad dnyanoba pote,Director,
356,Jivraj Mehta Smarak Health Foundation,pranav nanavati,,
357,Blk Super Speciality Hospital,prashant singh,GM - Information Technology,
358,Jivraj Mehta Smarak Health Foundation,prashantbhai kinariwala,,
359,I-AIM Health Care,prashanth.r,Director,
360,"Indraprastha Apollo Hospitals, Sarita Vihar, Delhi",prathap c. reddy,Vice Chairman,
361,"Apollo Hospitals, Hyderabad",prathap chandra reddy,Founder and Chairman,84
361,"Apollo Hospital, Bannerghatta Road, Bangalore",prathap chandra reddy,Founder and Chairman,84
361,"Apollo Hospital, Chennai",prathap chandra reddy,Founder and Chairman,84
362,"Apollo Hospital, Bannerghatta Road, Bangalore",prathap reddy,Founder and Chairman,84
362,"Apollo Hospitals, Hyderabad",prathap reddy,Founder and Chairman,84
362,"Apollo Hospital, Chennai",prathap reddy,Founder and Chairman,84
363,Kailash Deepak Memorial Hospital,praveen jha,Group Dy. General Man,
363,Kailash Hospital,praveen jha,Group Dy. General Man,
364,Jivraj Mehta Smarak Health Foundation,pravinbhai haribhakti,,
365,Bangalore Institute of Gastroenterology,preethan kamagere nagappa,Director,
366,"Mata Chanan Devi Hospital, Janaki Pura, Delhi",prem arora,Member,
367,Maharaja Agrasen Hospital,prem chand garg,Vice-President (Trust),
368,Maharaja Agrasen Hospital,prem garg,General Secretary,
369,"Jaipur Golden Hospital, Delhi",pritam singh,Trustee,
370,Blk Super Speciality Hospital,pritipal singh,VP & Chief - Projects & Development,
371,I-AIM Health Care,prof. krs murthy,Director,
372,"Indraprastha Apollo Hospitals, Sarita Vihar, Delhi",prof. v. n. rajasekharan pillai,Non Executive Director & Independent Director,
373,Global Hospital,pruthvinath kancherla,Managing Director,
374,Metro Hospital and Cancer Institute,punam lal,Director,
375,MediHope Super Speciality Hospital,pushpa agarwal,Director,
376,Jivraj Mehta Smarak Health Foundation,pushpaben n. shah,,
377,"Hindu Mission Hospital, Chennai",r matrubutham,Member,
378,"Jaipur Golden Hospital, Delhi",r. c. khanna,Trustee,
379,"Mata Chanan Devi Hospital, Janaki Pura, Delhi",r. k. gupta,Member,
380,Jivraj Mehta Smarak Health Foundation,r. l. vadi,,
381,Metro Hospital and Cancer Institute,r. loganathan,Head of Finance,
382,"Mata Chanan Devi Hospital, Janaki Pura, Delhi","r. n. rai, advocate",SecretaryView more,
383,Kailash Hospital,r. n. sharma,President,
383,Kailash Deepak Memorial Hospital,r. n. sharma,President,
384,"Jaipur Golden Hospital, Delhi",r. p. khanna,Trustee,
385,Sir Ganga Ram Hospital,r. sapra,"Principal, School of Nursing",
386,Sahyadri Speciality Hospital,r. sudumbarekar,CFO,
387,"Balaji Action Medical Institute, Delhi",r.c. chharia,General Secretary,
388,Sir Ganga Ram Hospital,radha gupta,Finance Controller,
389,"Apollo Hospital, Chennai",rafeeque ahamed,Member of the Board of Directors,69
389,"Apollo Hospitals, Hyderabad",rafeeque ahamed,Member of the Board of Directors,69
389,"Apollo Hospital, Bannerghatta Road, Bangalore",rafeeque ahamed,Member of the Board of Directors,69
390,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",rahul khosla,Chairman of the Board,
390,"Max Super Speciality Hospital, Saket, Delhi",rahul khosla,Chairman of the Board,
390,"Max Hospital, pitampura, Delhi",rahul khosla,Chairman of the Board,
391,"Balaji Action Medical Institute, Delhi",raj kumar gupta,President,
392,"Apollo Hospitals, Hyderabad",raj menon,Member of the Board of Directors,72
392,"Apollo Hospital, Chennai",raj menon,Member of the Board of Directors,72
392,"Apollo Hospital, Bannerghatta Road, Bangalore",raj menon,Member of the Board of Directors,72
393,Vikram Hospital,rajasekhara reddy,Director,
394,"Jaipur Golden Hospital, Delhi",rajeb khanna,Trustee,
395,"Mata Chanan Devi Hospital, Janaki Pura, Delhi",rajeev gulati,Vice President,
396,Kailash Deepak Memorial Hospital,rajeev malhotra,HOD Neonatology,
396,Kailash Hospital,rajeev malhotra,HOD Neonatology,
397,MediHope Super Speciality Hospital,rajendra prasad agarwal,Director,
398,"KIMS - Krishna Institute of Medical Sciences, Hyderabad",rajendrakumar premchand shah,Director,
399,Bombay Hospital & Medical Research Centre,rajesh choumal,Director - Admin (H.E & A.S),
400,"Billroth Hospitals, Chennai",rajesh jeganathan,Managing Director,
401,Amri Hospitals,rajesh pareek,Director,
401,AMRI Hospital,rajesh pareek,Wholetime Director,
402,Blk Super Speciality Hospital,rajesh thacker,Financial Controller - Accounts & Finance,
403,"KIMS - Krishna Institute of Medical Sciences, Hyderabad",rajeswara rao gandu,Additional Director,
404,"Max Hospital, pitampura, Delhi",rajit mehta,"Chief Executive Officer, Managing Director and Director",
404,"Max Super Speciality Hospital, Saket, Delhi",rajit mehta,"Chief Executive Officer, Managing Director and Director",
404,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",rajit mehta,"Chief Executive Officer, Managing Director and Director",
404,"Max Smart Super Speciality Hospital, Saket, Delhi",rajit mehta,"Chief Executive Officer, Managing Director and Director",
405,Jivraj Mehta Smarak Health Foundation,rajivbhai mahendralal,,
406,Bombay Hospital & Medical Research Centre,rajkumar agarwal,Finance Controller,
407,Bombay Hospital & Medical Research Centre,rajkumar v. patil,Director - Medical Services,
408,"Venkateshwar Hospital, Dwarka Delhi",rajpal,Chairman,
409,"Jaipur Golden Hospital, Delhi",rajpal singh,Trustee,
410,Sims Hospital (Srm Institutes For Medical Science),raju sivasamy,Vice-President,
411,"Jaipur Golden Hospital, Delhi",rakesh bahri,Trustee,
412,Sir Ganga Ram Hospital,rakesh bansal,Senior Accounts Officer,
413,Kalra Hospital,ram narain kalra,Director,
414,NU Hospitals,ramachandra munisamappa,Director,
415,Jivraj Mehta Smarak Health Foundation,ramakantbhai jhabarmal,Hon. Secretary,
416,Omega Hospital,ramanath laxman kamath,Director,
417,Bombay Hospital & Medical Research Centre,ramesh bhattad,Director - PER. & HRD,
418,"Global Hospital,Chennai",ramesh krishnan,Chief Executive Officer,
418,"Continental Hospitals, Hyderabad",ramesh krishnan,Director,
419,Bangalore Institute of Gastroenterology,ramesh narayan reddy,Director,
420,Jivraj Mehta Smarak Health Foundation,rameshbhai m. patel,,
421,"Bhagwan Mahaveer Jain Hospital - Vasanthnagar, Bangalore",rameshchand sankhla,Joint Secretary,
422,Sir Ganga Ram Hospital,ramji kackar,Sr. Staff - Physician,
423,Felix Hospital,rashmi gupta,Chairman,
424,Tirath Ram Shah Hospital,rati sawhney,Trustee,
425,Jivraj Mehta Smarak Health Foundation,ratibhai d. kamdar,,
426,"Mallige Medical Centre, Bangalore",ravi marthanda varma,Director,
427,Sims Hospital (Srm Institutes For Medical Science),ravi pachamoothoo,CHAIRMAN,
428,Jivraj Mehta Smarak Health Foundation,ravindrabhai c. rasina,,
429,Global Hospital,ravindranath kancherla,Managing Director,
430,"Holy Spirit Hospital, Andheri East, Mumbai",reena,HR Director,
431,Sir Ganga Ram Hospital,reena kumar,Addl. Director Medical Services,
432,Madras Medical Mission Hospital,reji abraham,Vice-President,
433,Vikram Hospital,renuka ramnath,Chairperson & Director,
434,Kailash Deepak Memorial Hospital,ritu vohra,Dy Group Medical Director,
434,Kailash Hospital,ritu vohra,Dy Group Medical Director,
435,"Max Hospital, pitampura, Delhi",rohit kapoor,Chief Growth Officer and Senior Director,
435,"Max Super Speciality Hospital, Saket, Delhi",rohit kapoor,Chief Growth Officer and Senior Director,
435,"Max Superspeciality Hospital, Shalimar Bagh, Delhi",rohit kapoor,Chief Growth Officer and Senior Director,
436,"Cloudnine Hospital, Chennai",rohit m. a.,,
437,Madras Medical Mission Hospital,ron v thomas,,
438,Sir Ganga Ram Hospital,ruby sahney,Dy. Medical Superintendent,
439,AMRI Hospital,rupak barua,Wholetime Director,
439,Amri Hospitals,rupak barua,Director,
440,"Apollo Hospitals, Hyderabad",rupali basu,Chief Executive Officer of Eastern Region and President of Eastern Region,53
440,"Apollo Hospital, Bannerghatta Road, Bangalore",rupali basu,Chief Executive Officer of Eastern Region and President of Eastern Region,53
440,"Apollo Hospital, Chennai",rupali basu,Chief Executive Officer of Eastern Region and President of Eastern Region,53
441,"KIMS Hospital, Hyderabad",rushank rajendra vora,Nominee Director,
442,Kailash Deepak Memorial Hospital,s. k. agarwal,Sr. Cardiologist,
442,Kailash Hospital,s. k. agarwal,Sr. Cardiologist,
443,"Apollo Hospital, Chennai",s. k. venkataraman,Chief Strategy Officer,56
443,"Apollo Hospitals, Hyderabad",s. k. venkataraman,Chief Strategy Officer,56
443,"Apollo Hospital, Bannerghatta Road, Bangalore",s. k. venkataraman,Chief Strategy Officer,56
444,"Apollo Hospitals, Hyderabad",s. m. krishnan,"Vice President of Finance, Compliance Officer and Company Secretary",47
444,"Apollo Hospital, Bannerghatta Road, Bangalore",s. m. krishnan,"Vice President of Finance, Compliance Officer and Company Secretary",47
444,"Apollo Hospital, Chennai",s. m. krishnan,"Vice President of Finance, Compliance Officer and Company Secretary",47
445,"Mata Chanan Devi Hospital, Janaki Pura, Delhi",s. n. mahendru,Addl. Secretary,
446,Sir Ganga Ram Hospital,s. nundy,Member,
447,Felix Hospital,s. p. gaur,Director,
448,Masina Hospital,s. p. mistry,Chairman,
449,"Indraprastha Apollo Hospitals, Sarita Vihar, Delhi",s. regunathan,Non Executive Director & Independent Director,
450,Sir Ganga Ram Hospital,s.k. bhandari,Member,
451,"Mata Chanan Devi Hospital, Janaki Pura, Delhi",s.n. oberoi,Treasurer,
452,Sir Ganga Ram Hospital,s.p. byotra,Vice Chairman,
453,Sahyadri Speciality Hospital,sadanand bapat,Director,
454,"Sahyadri Hospitals, Deccan Gymkhana, Pune",sadanand dattatrey bapat,Director,
455,Bangalore Institute of Gastroenterology,sahadev ramaiah,Director,
456,Maharaja Agrasen Hospital,sahib chand singla,Member Control Board,
457,"Manipal Hospital, Vidyanagar, Jaipur",sameer agarwal,Director,
457,"Manipal Hospital, Bangalore",sameer agarwal,Director,
458,"Jaipur Golden Hospital, Delhi",sameer bahri,Trustee,
459,Kailash Hospital,sandhya jha,Group Head IT,
459,Kailash Deepak Memorial Hospital,sandhya jha,Group Head IT,
460,K M Speciality & Pediatric Care,sandip raghunath patil,Director,
