,NAME,EXPERIENCE,QUALIFICATION,SPECIALTIES,HOSPITAL
1255,Dr. Hari Krishna,14.0,MBBS MD - Pediatrics ,Orthopedist,Apollo Hospitals
1256,Dr. Anil Dronamraju,8.0,MD - Pediatrics ,"CardiothoracicandVascularSurgeon,CardiothoracicSurgeon,GeneralSurgeon",Apollo Hospitals
1257,Dr. Indira Ramasahayam Reddy,11.0,MBBS MD - General Medicine DM - Medical Oncology ,GeneralPhysician,Apollo Hospitals
1258,Dr. Rajib Paul,11.0,BPTh/BPT ,InternalMedicine,Apollo Hospitals
1259,Dr. Kausik Bhattacharya,42.0,MBBS MS - ENT Diploma in Otorhinolaryngology (DLO) Diploma in Otorhinolaryngology (DLO) ,RadiationOncologist,Apollo Hospitals
1260,Dr. Aslam Mohammad Khan,17.0,MCh - Plastic Surgery MS - General Surgery ,Cardiologist,Apollo Hospitals
1261,Dr. Venkata Koteswararao Marella,31.0,MS - General Surgery FICS FAIS ,Pediatrician,Apollo Hospitals
1262,Dr. Indumathy T Ramachandran,15.0,MBBS DNB - Orthopedics/Orthopedic Surgery MRCS (UK) FRCS - Trauma & Orthopedic Surgery ,Ophthalmologist/EyeSurgeon,Apollo Hospitals
1263,Dr. Venkata Rao Abbineni,34.0,MBBS MD - Dermatology ,GeneralPhysician,Apollo Hospitals
1264,Dr. Venkateswarulu Jampala,27.0,MBBS DNB - Ophthalmology Fellowship in Vitreo-Retina ,GeneralPhysician,Apollo Hospitals
1265,Dr. Rajnesh Chander Reddy,32.0,MS - Orthopaedics MBBS ,LaparoscopicSurgeon,Apollo Hospitals
1266,Dr. Kavitha Kumari,11.0,MBBS MD - Medicine DM - Cardiology ,Anesthesiologist,Apollo Hospitals
1267,Dr. Sumita Shankar,41.0,DM - Cardiology MD - Medicine DNB (Cardiology) MBBS Fellowship In Interventional  Cardiology ,PlasticSurgeon,Apollo Hospitals
1268,Dr. J Madhusudhan	Reddy,7.0,MBBS DNB - General Medicine DNB - Gastroenterology ,Anesthesiologist,Apollo Hospitals
1269,Dr. Kesavara PU,16.0,MBBS MD - Dermatology DDV ,Anesthesiologist,Apollo Hospitals
1270,Dr. Ramesh Vasudevan,26.0,MBBS DNB - General Surgery ,"LaparoscopicSurgeon,GeneralSurgeon",Apollo Hospitals
1271,Dr. J Narayana	Reddy,34.0,MS - ENT DNB - ENT ,Anesthesiologist,Apollo Hospitals
1272,Dr. Sanjeev Kumar Khulbey,31.0,MDS - Oral & Maxillofacial Surgery BDS ,Cardiologist,Apollo Hospitals
1273,Dr. Vijay Kumar Chennamchetty,29.0,BDS ,Pulmonologist,Apollo Hospitals
1274,Dr. Jaganmani Sreekanth,21.0,BHMS MD - Homeopathy ,InternalMedicine,Apollo Hospitals
1275,Dr. Ramesh Srinivasan,7.0,MD - Obstetrics & Gynaecology MBBS ,"PediatricGastroenterologist,Pediatrician",Apollo Hospitals
1276,Dr. Sarvajeet Pal,31.0,BHMS Basic Course in Palliative Care ,"Rheumatologist,GeneralPhysician",Apollo Hospitals
1277,Dr. Ratna Rao,18.0,D.O DNB FRCS - General Surgery Fellow of American College of Surgeons(FACS) ,MedicalMicrobiologist,Apollo Hospitals
1278,Dr. Kondajogi Prameela,10.0,MBBS MD - Dermatology DDV ,Gynecologist,Apollo Hospitals
1279,Dr. Ratnam B,12.0,MD - Radio Diagnosis/Radiology MBBS ,Neurosurgeon,Apollo Hospitals
1280,Dr. Ratnamani M.S,11.0,MBBS MD - General Medicine Fellowship in Nephrology DM - Nephrology DNB - Nephrology ,MedicalMicrobiologist,Apollo Hospitals
1281,Dr. Ashok K. Alimchandani,17.0,DNB - General Medicine MBBS ,Psychiatrist,Apollo Hospitals
1282,Dr. Mehul A. Shah,37.0,MBBS MRCS (UK) MS - Orthopaedics ,Nephrologist/RenalSpecialist,Apollo Hospitals
1283,Dr. Lakshmi Godavarthy,19.0,MS - Counselling & Psychotherapy ,InternalMedicine,Apollo Hospitals
1284,Dr. Krishna MK,17.0,MBBS MS - ENT ,Cardiologist,Apollo Hospitals
1285,Dr. Rabinder Nath Mehrotra,17.0,MBBS MS - General Surgery MCh - Surgical Oncology ,Endocrinologist,Apollo Hospitals
1286,Dr. Lakshmi Krishna Leela,30.0,MBBS MD - Internal Medicine ,"InfertilitySpecialist,Gynecologist",Apollo Hospitals
1287,Dr. Rachna Vinaya Kumar,17.0,MBBS MD - Psychiatry ,Ophthalmologist/EyeSurgeon,Apollo Hospitals
1288,Dr. Arun Shah,21.0,MBBS MS - General Surgery MCh - Plastic Surgery ,Urologist,Apollo Hospitals
1289,Dr. Shalini Veerareddy,18.0,MBBS MS - Orthopaedics Fellowship in Joint Replacement ,Radiologist,Apollo Hospitals
1290,Dr. S. Ananth Kumar,13.0,MBBS MS - Orthopaedics ,InternalMedicine,Apollo Hospitals
1291,Dr. Radha Shah,41.0,MBBS MD - Internal Medicine ,Dermatologist,Apollo Hospitals
1292,Dr. Nagaraju Gorla,23.0,MD - Radiotherapy Master of Public Health (MPH) MBBS ,Anesthesiologist,Apollo Hospitals
1293,Dr. Arsheed Hussain Hakeem,35.0,MBBS MS - General Surgery MCh - Neuro Surgery ,HeadandNeckSurgeon,Apollo Hospitals
1294,Dr. Raghava Dutt Mulukatla,19.0,MBBS Diploma in Anesthesiology ,"Orthopedist,SpineSurgeon",Apollo Hospitals
1295,Dr. Rita Dikshit,19.0,MBBS MD - Anaesthesiology Diploma in Anesthesiology ,GeneralSurgeon,Apollo Hospitals
1296,Dr. Raghupathi Rao Nandanavanam,34.0,MBBS Diploma in Anesthesiology ,GeneralSurgeon,Apollo Hospitals
1297,Dr. S.Krishna,18.0,MBBS Diploma in Anesthesiology ,Orthopedist,Apollo Hospitals
1298,Dr. Shanthi Reddy V,11.0,MBBS MD - Anaesthesiology ,Gynecologist,Apollo Hospitals
1299,Dr. Ravi Vemagiri Andrews,16.0,MBBS MD - Anaesthesiology ,Nephrologist/RenalSpecialist,Apollo Hospitals
1300,Dr. Ravisankar Erukulapati,32.0,MBBS Diploma in Anesthesiology ,BariatricSurgeon,Apollo Hospitals
1301,Dr. Ravikanti Satya Prasad,18.0,MBBS Diploma in Anesthesiology ,Radiologist,Apollo Hospitals
1302,Dr. Buggaveeti Rahul,15.0,MBBS Diploma in Anesthesiology ,SurgicalOncologist,Apollo Hospitals
1303,Dr. Sharada Reddy,32.0,MBBS MD - Anaesthesiology ,Gynecologist,Apollo Hospitals
1304,Dr. Ravikiran Abraham Barigala,28.0,MBBS MD - Anaesthesiology DNB Fellow of the Institute of Personnel Management (FIPM) ,InfectiousDiseasesPhysician,Apollo Hospitals
1305,Dr. Anish Anand Janareddy,31.0,MBBS Diploma in Anesthesiology ,InternalMedicine,Apollo Hospitals
1306,Dr. S.V.S.S Prasad,22.0,MBBS MD - Anaesthesiology ,MedicalOncologist,Apollo Hospitals
1307,Dr. Shekhar Reddy Gurrala,9.0,MBBS MD - Anaesthesiology ,Anesthesiologist,Apollo Hospitals
1308,Dr. Somasekhar M,8.0,MBBS Diploma in Anesthesiology DNB - Anaesthesia ,Nephrologist/RenalSpecialist,Apollo Hospitals
1309,Dr. Anand Kumar Sathapathy,39.0,MBBS MD - Anaesthesiology ,Anesthesiologist,Apollo Hospitals
1310,Dr. Amitav Ray,26.0,MBBS DNB - General Medicine ,"Pediatrician,GeneralSurgeon",Apollo Hospitals
1311,Dr. K.M.K Reddy P,8.0,MBBS MD - General Medicine DNB (Cardiology) FESC ,Cardiologist,Apollo Hospitals
1312,Dr. Simhadri Chandrasekhar Rao,22.0,MBBS MD - General Medicine DM - Cardiology ,SurgicalOncologist,Apollo Hospitals
1313,Dr. Hemanth Vudayaraju,15.0,MBBS MD - General Medicine DM - Cardiology ,SurgicalOncologist,Apollo Hospitals
1314,Dr. Chinnababu Sunkavalli,15.0,MBBS MD - General Medicine DM - Cardiology ,SurgicalOncologist,Apollo Hospitals
1315,Dr. P. Siva Charan Reddy,6.0,MBBS MS - ENT DNB - Otorhinolaryngology Diploma in Otorhinolaryngology (DLO) MRCS (UK) E.C.F.M.G. (Education Commission for Foreign Medical Graduates) Certification FICS - ENT ,Gastroenterologist,Apollo Hospitals
1316,Dr. Yoga Nagender M,30.0,MBBS MS - General Surgery MCh - Neuro Surgery ,"PediatricSurgeon,LaparoscopicSurgeon",Apollo Hospitals
1317,Dr. R Srinivas Reddy,13.0,MBBS MCh - Neuro Surgery ,Orthopedist,Apollo Hospitals
1318,Dr. Shubhra Goel,9.0,MBBS MCh - Neuro Surgery ,Ophthalmologist/EyeSurgeon,Apollo Hospitals
1319,Dr. Shikha Fogla,37.0,MBBS MD - Ophthalmology ,Ophthalmologist/EyeSurgeon,Apollo Hospitals
1320,Dr. Shabnam Dhira,14.0,MBBS MS - Ophthalmology ,Gynecologist,Apollo Hospitals
1321,Dr. I S Reddy,17.0,MBBS MS - Ophthalmology ,"Dermatologist,PediatricDermatologist",Apollo Hospitals
1322,Dr. Anand khakhar,36.0,MBBS MD - Radiotherapy ,GeneralSurgeon,Apollo Hospitals
1323,Dr. Anand Ramamurthy,20.0,MBBS MS - General Surgery FRCS - General Surgery (Upper GI) ,GastroIntestinalSurgeon,Apollo Hospitals
1324,Dr. Sanjai Addla,22.0,MBBS DM - Cardiology  FRCP ,Urologist,Apollo Hospitals
1325,Dr. M.Kaushik Reddy,20.0,MBBS MS - Orthopaedics ,"Orthopedist,JointReplacementSurgeon",Apollo Hospitals
1326,Dr. Savita Sharma,11.0,MBBS FRCS - General Surgery M.Ch - Orthopaedics ,Cardiologist,Apollo Hospitals
1327,Dr. Dr.Venkat S Jampana,22.0,MBBS MD - General Medicine DM - Cardiology ,"Orthopedist,JointReplacementSurgeon",Apollo Hospitals
1328,Dr. K.Prasanna Kumar Reddy,14.0,MBBS DMRD DNB - Radiotherapy ,"Pulmonologist,Somnologist(SleepSpecialist)",Apollo Hospitals
1329,Dr. Surya Pavan Reddy,35.0,MBBS MD - Radio Diagnosis/Radiology ,GeneralPhysician,Apollo Hospitals
1330,Dr. Hemant K. Kalyan,23.0,MBBS DM - Cardiology ,Orthopedist,Manipal Hospital
1331,Dr. Vidyadhara S.,23.0,MBBS MS - General Surgery FRCS - General Surgery ,"Orthopedist,SpineSurgeon",Manipal Hospital
1332,Dr. Mohan Badagandi,8.0,MBBS MD - General Medicine DM - Cardiology ,"Diabetologist,Endocrinologist",Manipal Hospital
1333,Dr. Vidya Desai Mohan,10.0,MBBS MD - Radio Diagnosis/Radiology ,"Gynecologist,Obstetrician",Manipal Hospital
1334,Dr. Ilin Kinimi,17.0,MBBS MD - General Medicine DM - Cardiology ,Pediatrician,Manipal Hospital
1335,Dr. Vadhiraja B M,8.0,MBBS MD - General Medicine DM - Medical Oncology ,Oncologist,Manipal Hospital
1336,Dr. Shankar Kumar,14.0,MBBS DNB - Orthopedics/Orthopedic Surgery MS - Orthopaedics ,"ConsultantPhysician,Endocrinologist",Manipal Hospital
1337,Dr. Achuth M Baliga,12.0,MBBS MD - General Medicine ,Dentist,Manipal Hospital
1338,Dr. Yogesh Singh,14.0,MBBS DCH MRCPCH (UK) ,ClinicalImmunologist,Manipal Hospital
1339,Dr. Pankaj Singhai,16.0,MBBS DMRD DNB - Radio Diagnosis ,InternalMedicine,Manipal Hospital
1340,Dr. K M Bopanna,7.0,MBBS MD - General Medicine ,Neurosurgeon,Manipal Hospital
1341,Dr. Sharon Colaco Dias,26.0,M.Phil - Psychology PhD - Educational Psychology ,"Dentist,Implantologist",Manipal Hospital
1342,Dr. Subhash Chandra V,20.0,MBBS MS - Orthopaedics M.Ch - Orthopaedics ,Cardiologist,Manipal Hospital
1343,Dr. Arpandev Bhattacharyya,15.0,MBBS MD - General Medicine MD - Internal Medicine ,"Diabetologist,Endocrinologist",Manipal Hospital
1344,Dr. Mukta Sachdev,45.0,MBBS ,Dermatologist,Manipal Hospital
1345,Dr. A.K. Roy,18.0,MBBS MS - Orthopaedics MRCS (UK) ,Neurologist,Manipal Hospital
1346,Dr. S. D. Subba Rao,23.0,MBBS Diploma in Orthopaedics MCh - Trauma and Orthopeadic Surgery ,Pediatrician,Manipal Hospital
1347,Dr. Ravichand Siddachari,17.0,MBBS MD - Internal Medicine ,GeneralPhysician,Manipal Hospital
1348,Dr. Prathima Radhakrishnan,10.0,MBBS DNB - General Surgery MCh - Cardio Thoracic and Vascular Surgery ,Gynecologist,Manipal Hospital
1349,Dr. Sumit Talwar,12.0,MBBS MS - General Surgery ,GeneralSurgeon,Manipal Hospital
1350,Dr. Bidisha Banerjee,12.0,MBBS MD - Anaesthesiology ,PediatricNeurologist,Manipal Hospital
1351,Dr. Kishore Babu S,20.0,MBBS MD - Obstetrics & Gynaecology ,Nephrologist/RenalSpecialist,Manipal Hospital
1352,Dr. Girish Rai B,19.0,MBBS MD - Radio Diagnosis/Radiology ,ENT/Otorhinolaryngologist,Manipal Hospital
1353,Dr. Bhupendra Chaudhry,24.0,MBBS MD - Pediatrics DNB - Paediatrics ,Psychiatrist,Manipal Hospital
1354,Dr. Murthy P S,25.0,MBBS DNB - Cardiothoracic Surgery MCh - Cardio Thoracic Surgery MRCS (UK) FRCS - General Surgery ,"Sexologist,Neuropsychiatrist,Psychiatrist",Manipal Hospital
1355,Dr. Nilima D Rao,9.0,MBBS MS - General Surgery MCh - Cardio Thoracic Surgery ,Pediatrician,Manipal Hospital
1356,Dr. Anantheshwar Y N,10.0,MBBS DGO ,PlasticSurgeon,Manipal Hospital
1357,Dr. Ashok B C,15.0,MBBS DNB - Anaesthesia ,"PlasticSurgeon,HairTransplantSurgeon",Manipal Hospital
1358,Dr. Rekha T.P,16.0,MBBS Fellowship in Rheumatology ,Gynecologist,Manipal Hospital
1359,Dr. Amrita Rao,35.0,MBBS MS - General Surgery ,"Gynecologist,InfertilitySpecialist",Manipal Hospital
1360,Dr. Bathi Reddy,16.0,MBBS MD - General Medicine DM - Rheumatology ,ENT/Otorhinolaryngologist,Manipal Hospital
1361,Dr. Anand Shenoy,14.0,MBBS MS - General Surgery MCh - Cardio Thoracic Surgery ,"Cardiologist,GeneralPhysician",Manipal Hospital
1362,Dr. Geetha S.,18.0,MBBS MD - Pediatrics Fellowship in Rheumatology ,Ophthalmologist/EyeSurgeon,Manipal Hospital
1363,Dr. Shraddha Bahirwani,15.0,MBBS DNB - Orthopedics/Orthopedic Surgery ,"Dentist,Cosmetic/AestheticDentist",Manipal Hospital
1364,Dr. Jayaranganath M,4.0,MBBS MS - General Surgery MCh - Neuro Surgery ,Cardiologist,Manipal Hospital
1365,Dr. Vijay Rao K R,4.0,MBBS MCh - Neuro Surgery ,Rheumatologist,Manipal Hospital
1366,Dr. Karthik Nagesh,4.0,MBBS MS - Orthopaedics Fellow in Spine Surgery ,"Pediatrician,Neonatologist",Manipal Hospital
1367,Dr. Lorance Peter,21.0,MBBS MD - Bio-Chemistry ,Gastroenterologist,Manipal Hospital
1368,Dr. Maitri Chaudhuri,7.0,MBBS MD - Microbiology ,Cardiologist,Manipal Hospital
1369,Dr. Manohar K N,9.0,MBBS MS - General Surgery MCh - Neuro Surgery ,"InternalMedicine,GeneralPhysician",Manipal Hospital
1370,Dr. Meena Muttayya,13.0,MBBS MD - Pathology ,Gynecologist/Obstetrician,Manipal Hospital
1371,Dr. Parul Dubey,12.0,MBBS MD - Microbiology ,Neurologist,Manipal Hospital
1372,Dr. Shaila S Bhattacharyya,15.0,MBBS MS - General Surgery MCh - Urology ,Pediatrician,Manipal Hospital
1373,Dr. B.S. Chakrapani,10.0,MBBS MD - Pathology ,Cardiologist,Manipal Hospital
1374,Dr. Sachith Abraham,6.0,MBBS MD - Pathology ,"Dermatologist,AestheticDermatologist,PediatricDermatologist",Manipal Hospital
1375,Dr. Prashanth Inna,10.0,MBBS MS - Urology MCh - Urology/Genito-Urinary Surgery ,Orthopedist,Manipal Hospital
1376,Dr. Mir Sujath Ali,2.0,MBBS DNB - Peripheral Vascular Surgery MS - General Surgery ,"Dentist,Endodontist,Implantologist",Manipal Hospital
1377,Dr. Shivashankar,10.0,MBBS MD - Pathology Division of Clinical Psychology (DCP) ,Urologist,Manipal Hospital
1378,Dr.  NITIN  S SHETTY,7.0,MBBS DNB - Paediatrics ,Ophthalmologist/EyeSurgeon,Manipal Hospital
1379,Dr. Shobha Rani,19.0,MBBS MD - Dermatology ,"Obstetrician,Gynecologist",Manipal Hospital
1380,Dr. Somnath Mitra,20.0,MBBS DNB - Paediatrics ,"GeneralPhysician,InternalMedicine",Manipal Hospital
1381,Dr. Sunil G Kini,18.0,MBBS MS - General Surgery MCh - Urology ,Orthopedist,Manipal Hospital
1382,Dr. Naveen Mathew Jose,6.0,BDS MDS - Oral Medicine and Radiology ,Rehab&PhysicalMedicineSpecialist,Manipal Hospital
1383,Dr. Sathwik R Shetty,26.0,MBBS MD - Obstetrics & Gynaecology ,Neurosurgeon,Manipal Hospital
1384,Dr. Roopa. R,18.0,MBBS MD - Obstetrics & Gynaecology ,Cardiologist,Manipal Hospital
1385,Dr. V. Ravinder,13.0,MBBS MD - Tuberculosis & Respiratory Diseases/Medicine ,"Dentist,Orthodontist,DentofacialOrthopedist",Manipal Hospital
1386,Dr. Mallikarjun Kalashetty,15.0,MBBS Diploma in Tuberculosis and Chest Diseases (DTCD) ,"Hematologist,HematologicOncologist,InternalMedicine",Manipal Hospital
1387,Dr. Srimanth B S,18.0,MBBS DM - Endocrinology ,Orthopedist,Manipal Hospital
1388,Dr. Shantipriya Reddy,23.0,MBBS MD - Pulmonary Medicine ,"Periodontist,Dentist,Implantologist",Manipal Hospital
1389,Dr. Shalina Ray,15.0,MBBS DM ,ENT/Otorhinolaryngologist,Manipal Hospital
1390,Dr. Raj Vigna Venugopal,3.0,MBBS DNB ,"Gastroenterologist,GeneralPhysician",Manipal Hospital
1391,Dr. Amit Rauthan,36.0,MBBS MS - ENT ,MedicalOncologist,Manipal Hospital
1392,Dr. Ashish Dixit,10.0,MBBS DNB - Nuclear Medicine ,HematologicOncologist,Manipal Hospital
1393,Dr. Uday A Murgod,6.0,MBBS DNB - General Medicine DNB - Gastroenterology ,Neurologist,Manipal Hospital
1394,Dr. Sameer R Rao,19.0,MBBS DNB - General Medicine ,"Cardiologist,CardiothoracicSurgeon",Manipal Hospital
1395,Dr. Devananda N.S,30.0,MBBS MS - ENT ,"CardiothoracicSurgeon,Cardiologist",Manipal Hospital
1396,Dr. Philomena Vaz,16.0,MBBS MS - ENT ,"Obstetrician,Gynecologist",Manipal Hospital
1397,Dr. Aneeta Talwar,12.0,MBBS MD - Internal Medicine DM - Gastroenterology ,Gynecologist,Manipal Hospital
1398,Dr. Sarju Mathew,7.0,MBBS MRCP (UK) ,"Obstetrician,Gynecologist",Manipal Hospital
1399,Dr. Anil R Wani,22.0,MBBS MD - General Medicine DM - Nephrology ,Ophthalmologist/EyeSurgeon,Manipal Hospital
1400,Dr. Ajanta Chakravarty,23.0,MBBS MD - General Medicine DM - Nephrology ,Ophthalmologist/EyeSurgeon,Manipal Hospital
1401,Dr. Sushal Shanthakumar,18.0,MBBS DM - Neurology ,Orthopedist,Manipal Hospital
1402,Dr. Ravi N. Hiremagalore,12.0,MBBS MD - General Medicine DM - Neurology ,PediatricDermatologist,Manipal Hospital
1403,Dr. Bhaskar Shenoy,17.0,MBBS MS - General Surgery DNB - Surgical Gastroenterology Fellow HPB Surgery & Liver Transplant (Singapore) MCh - Surgical Gastroenterology/G.I. Surgery ,Pediatrician,Manipal Hospital
1404,Dr. Rita Mukherjee,16.0,Masters in Speech Language Pathology ,DentalSurgeon,Manipal Hospital
1405,Dr. Sanjiv Sharma,10.0,MCh - Head and Neck Oncology ,Oncologist,Manipal Hospital
1406,Dr. Thomas J Kishen,9.0,MBBS MD - Medicine DNB (Cardiology) ,SpineSurgeon,Manipal Hospital
1407,Dr. Nagaraj Palankar,13.0,MBBS DM - Neurology ,GastroIntestinalSurgeon,Manipal Hospital
1408,Dr. Shabber S Zaveri,18.0,MBBS ,SurgicalOncologist,Manipal Hospital
1409,Dr. Arun Kumar S,16.0,MD - Radiotherapy MBBS ,Dermatologist,Manipal Hospital
1410,Dr. Mukesh Ramnane,27.0,BDS ,Dermatologist,Manipal Hospital
1411,Dr. Radhakrishna Bhat,16.0,MS - General Surgery MBBS MCh - Urology/Genito-Urinary Surgery ,Dermatologist,Manipal Hospital
1412,Dr. V T Anand,15.0,MBBS MD - Radio Diagnosis/Radiology ,ENT/Otorhinolaryngologist,Manipal Hospital
1413,Dr. Mala Sibal,10.0,MBBS MD - Medicine DNB - Gastroenterology ,Gynecologist,Manipal Hospital
1414,Dr. Thankam S,16.0,MS - General Surgery FICS ,Gynecologist,Manipal Hospital
1415,Dr. Krishna C,24.0,MBBS MD - Cardiology DM - Cardiology ,Radiologist,Manipal Hospital
1416,Dr. Bhagawan,10.0,MBBS MD - General Medicine ,VascularSurgeon,Manipal Hospital
1417,Dr. RAVI SHANKAR SWAMY,18.0,MBBS DNB ,Pediatrician,Manipal Hospital
1418,Dr. Anand Prahalad Rao,11.0,MBBS MD - General Medicine ,Pediatrician,Manipal Hospital
1419,Ms. Trishna Agarwala,20.0,MBBS MD - Pathology ,"CounsellingPsychologist,Psychologist",Manipal Hospital
1420,Dr. Jagadish Chinnappa,11.0,MD - Psychiatry ,Pediatrician,Manipal Hospital
1421,Dr. Ramesh S.,10.0,MBBS ,InternalMedicine,Manipal Hospital
1422,Dr. ANJANA BHADRA CHOUDHURY,18.0,MBBS MS - MS.Medicine MCh - Cardio Thoracic and Vascular Surgery ,Pediatrician,Manipal Hospital
1423,Dr. Venkatesh H.A,36.0,DM - Cardiology MD - Medicine DNB (Cardiology) MBBS Fellowship In Interventional  Cardiology ,Neonatologist,Manipal Hospital
1424,Dr. Suresh. K. G,16.0,MBBS DMRE DNB - Radiotherapy ,InternalMedicine,Manipal Hospital
1425,Dr. Anuradha Vinod,12.0,MBBS FCPS - Medicine ,Pediatrician,Manipal Hospital
1426,Dr. Chitra Sankar,17.0,MBBS Diploma in Diabetology (Mumbai University) ,Pediatrician,Manipal Hospital
1427,Dr. K N K Shetty,11.0,MD - Obstetrics & Gynaecology DGO ,Gastroenterologist,Manipal Hospital
1428,Dr. Mohit Shetti,7.0,MBBS MD - General Medicine DM - Oncology ,Gastroenterologist,Manipal Hospital
1429,Dr. Magnus Mansard,6.0,MBBS MS - General Surgery ,GastroIntestinalSurgeon,Manipal Hospital
1430,Dr. Vyjayanti Bonanthaya,37.0,MBBS MD - General Medicine DM - Oncology ,Psychiatrist,Manipal Hospital
1431,Dr. Guruprasad Bhat. S,7.0,MBBS MS - General Surgery ,Pulmonologist,Manipal Hospital
1432,Dr. Anithakumari AM,18.0,MBBS MD - General Medicine DNB - Gastroenterology ,"ENT/Otorhinolaryngologist,PediatricOtorhinolaryngologist",Manipal Hospital
1433,Dr. SOMANNA M,29.0,MBBS MD - Medicine DNB - Gastroenterology ,"Urologist,GeneralPhysician",Manipal Hospital
1434,Dr. ROHAN AUGUSTINE,9.0,MBBS MS - General Surgery Diploma in Advanced Laparoscopic surgery ,Nephrologist/RenalSpecialist,Manipal Hospital
1435,Dr. B Ravishankar,13.0,MBBS MD - General Medicine DM - Gastroenterology ,Nephrologist/RenalSpecialist,Manipal Hospital
1436,Dr. Madva Jayashankar,15.0,MBBS MS - General Surgery MS - Neuro Surgery ,"GeneralSurgeon,LaparoscopicSurgeon",Manipal Hospital
1437,Dr. M. G. Bhat,8.0,MBBS MS - General Surgery DNB - Neurosurgery ,"GeneralSurgeon,LaparoscopicSurgeon,BariatricSurgeon",Manipal Hospital
1438,Dr. Ravneet Joshi,15.0,MBBS ,Pediatrician,Manipal Hospital
1439,Dr. Renu Dadiala Arora,5.0,MBBS MS - General Surgery MCh - Neuro Surgery ,SportsMedicinePhysician,Manipal Hospital
1440,Dr. Srikant V,11.0,MBBS MS - General Surgery MCh - Neuro Surgery ,PlasticSurgeon,Manipal Hospital
1441,Dr. Sujatha B,17.0,MBBS MD - General Medicine DM - Neurology ,Ophthalmologist,Manipal Hospital
1442,Dr. Vishwanath. S,20.0,MCh - Urology/Genito-Urinary Surgery DNB - Urology/Genito - Urinary Surgery FACS MBBS FICS ,Nephrologist/RenalSpecialist,Manipal Hospital
1443,Dr. Candace Mary D’Souza,8.0,MBBS MD - Medicine DNB - Nephrology ,Ophthalmologist,Manipal Hospital
1444,Dr. Supriya Sheshadri,14.0,MBBS DNB - Nephrology MD - Internal Medicine ,"Gynecologist,Obstetrician",Manipal Hospital
1445,Dr. Shilpa Shetty,6.0,MBBS MS - General Surgery MCh - Urology Diploma in Urology MNAMS - Urology ,Nephrologist/RenalSpecialist,Manipal Hospital
1446,Dr. H. Sudarshan Ballal,10.0,MS - Urology MCh - Urology ,Nephrologist,Manipal Hospital
1447,Dr. Ravi Raghavan,12.0,MD - Nephrology DNB - Nephrology ,"GeneralPhysician,InternalMedicine",Manipal Hospital
1448,Dr. K M K Varma,21.0,MBBS MS - General Surgery MCh - Urology ,Orthopedist,Manipal Hospital
1449,Dr. Poonam Patil,17.0,MD - General Medicine DNB - Gastroenterology MNAMS (Membership of the National Academy) Fellowship in HPB & Liver transplant MBBS ,MedicalOncologist,Manipal Hospital
1450,Dr. Manoj Kumar A. N,13.0,MS - General Surgery FRCS - General Surgery DNB - General Surgery MRCS (UK) MNAMS - General Surgery MBBS ,Orthopedist,Manipal Hospital
1451,Dr. Vinodha Reddy,17.0,MBBS MD - Pediatrics DNB - Paediatrics ,Gastroenterologist,Manipal Hospital
1452,Dr. GAYATHRI KARTHIK,14.0,MBBS Fellowship in Vascular Interventional Radiology(FVIR) ,"Obstetrician,Gynecologist",Manipal Hospital
1453,Dr. Sunny Joseph,5.0,MBBS DM - Cardiology ,ClinicalPsychologist,Manipal Hospital
1454,Dr. S.K Sharma,11.0,MBBS DGO ,"Obstetrician,Gynecologist",Manipal Hospital
1455,Dr. Gangadhar T.B,9.0,MBBS DGO ,CardiothoracicSurgeon,Manipal Hospital
1456,Dr. Radhakrishnan C N,8.0,MBBS ,GeneralSurgeon,Manipal Hospital
1457,Dr. RAVIKIRAN CS,24.0,MBBS MD - Oncology ,PediatricSurgeon,Manipal Hospital
1458,Dr. Dheeraj A,17.0,MBBS FCPS - Medicine DNB - Neurology ,Rehab&PhysicalMedicineSpecialist,Manipal Hospital
1459,Dr. Sampath Kumar,16.0,DNB - Urology/Genito - Urinary Surgery ,"GeneralSurgeon,LaparoscopicSurgeon",Manipal Hospital
1460,Dr. Suzanne John,13.0,MBBS MCh - Surgical Oncology ,Ophthalmologist/EyeSurgeon,Manipal Hospital
1461,Dr. Lakshmi Mahesh,17.0,MBBS MS - Orthopaedics ,"Ocularist,Ophthalmologist/EyeSurgeon",Manipal Hospital
1462,Dr. Senthil K Vijayan,11.0,MD - Pediatrics ,PainManagementSpecialist,Manipal Hospital
1463,Dr. R Manjunath,11.0,MBBS MS - Orthopaedics DNB - Orthopedics/Orthopedic Surgery Fellowship in Orthopeadic Oncology Fellowship in Orthopeadic Oncology Fellowship in Orthopeadic Oncology ,InternalMedicine,Manipal Hospital
1464,Dr. Karthik Prabhakar,12.0,MBBS MS - Orthopaedics DNB - Orthopedics/Orthopedic Surgery FCPS - Mid. & Gynae Diploma in Orthopaedics ,"GeneralPhysician,Endocrinologist",Manipal Hospital
1465,Dr. Prathap Kumar Pani,33.0,DNB - Orthopedics/Orthopedic Surgery MBBS MS - Orthopaedics ,Neurosurgeon,Manipal Hospital
1466,Dr. P. Padmakumar,16.0,FRCS - Trauma & Orthopedic Surgery MRCS (UK) MS - Orthopaedics DNB - Orthopedics/Orthopedic Surgery MBBS ,Cardiologist,Manipal Hospital
