DOC_ID,NAME,EXPERIENCE,QUALIFICATION,SPECIALTIES,HOSPITAL
1827,Dr. Guruprasad Udupi,20.0,MBBS ,Diabetologist,Mallige Medical Centre
1828,Dr. Gururaj Ogeppa Biradar,,MBBS Diploma in Gynaecology & Obstetrics ,Neonatologist,Sakra World Hospital
1829,Dr. Gururaj. G.P,,,Psychiatrist,MediHope Super Speciality Hospital
1830,Dr. Gyan Goyal,11.0,MBBS MD - Medicine ,Ophthalmologist/EyeSurgeon,Max Hospital
1831,Dr. Gyan Sagar Tucker,18.0,MBBS MD - Psychiatry ,Orthopedist,Max Smart Super Speciality Hospital
1832,Dr. Gyandeep Mangal,27.0,MBBS MD - General Medicine DM - Cardiology ,GeneralPhysician,Sri Balaji Action Medical Institute
1833,Dr. Gyaneesh Aggarwal,14.0,MBBS MD - Medicine DM - Nephrology ,Radiologist,Max Super Speciality Hospital
1834,Dr. Gyaneshwar,16.0,MBBS MD - Psychiatry ,PlasticSurgeon,Care Hospitals
1835,Dr. H K Singh,29.0,MBBS DCH MD - Pediatrics Fellowship in Neonatology ,GeneralPhysician,Sri Balaji Action Medical Institute
1836,Dr. H Rahul,,,Neurologist,Russh Super Specialty Hospital
1837,Dr. H S Risam,17.0,MBBS MD - Medicine DM - Cardiology ,Cardiologist,Max Super Speciality Hospital
1838,Dr. H. Ravinder,,,GeneralSurgeon,BBR Super Speciality Hospital
1839,Dr. H. Sudarshan Ballal,10.0,MS - Urology MCh - Urology ,Nephrologist,Manipal Hospital
1840,Dr. H.C. Aggarwal,,BAMS MS - Ayurveda PhD- Ayurveda ,Ophthalmologist/EyeSurgeon,Rockland Hospital
1841,Dr. H.Ganapathy,13.0,MBBS ,ENT/Otorhinolaryngologist,St.Isabel's Hospital
1842,Dr. H.L. Kher,63.0,MBBS MD - Nuclear Medicine ,NuclearMedicinePhysician,Sir Ganga Ram Hospital
1843,Dr. H.M. Punjani,13.0,MBBS MD - Dermatology Diploma in Clinical Pathology ,Urologist,Bombay Hospital & Medical Research Centre
1844,Dr. H.M.Prasanna,,,Orthopedist,Pristine Hospital
1845,Dr. H.N. Bajaj,17.0,MBBS MS - Ophthalmology Fellowship in Vitreoretinal Surgery ,Orthopedist,Max Super Speciality Hospital
1846,Dr. H.R. Jhunjhunwala,11.0,MBBS MS - General Surgery ,Orthopedist,Bombay Hospital & Medical Research Centre
1847,Dr. H.S.Bhatyal,17.0,MBBS MS - General Surgery DNB - Surgical Oncology ,Urologist,Blk Super Speciality Hospital
1848,Dr. Hakim K Barot,17.0,MBBS MD - General Medicine ,GeneralSurgeon,Saifee Hospital
1848,Dr. Hakim K Barot,31.0,MCh - Plastic Surgery MBBS DNB - General Surgery ,GeneralSurgeon,Masina Hospital 
1849,Dr. Halprashanth D S,25.0,MBBS MS - Orthopaedics Fellowship in Joint Replacement ,Neurologist,Global Hospital
1850,Dr. Hamza Pardiwala,17.0,MBBS MS - Oncology ,Ear-Nose-Throat(ENT)Specialist,Saifee Hospital
1851,Dr. Handa S R,,,Cardiologist,Jaslok Hospital
1852,Dr. Hanumanth Rao,,,Homoeopath,Shalivahana Multi Speciality Hospital
1853,Dr. Hanumantha Rao K R,,,Pediatrician,Fortis Hospital
1854,Dr. Harbansh Lal,34.0,MBBS MS - Ophthalmology ,Ophthalmologist/EyeSurgeon,Sir Ganga Ram Hospital
1855,Dr. Harbinder Bir Singh,21.0,MBBS DNB - Paediatrics ,GeneralSurgeon,St.Isabel's Hospital
1856,Dr. Hardas Suhas,,MBBS MD - Medicine DM - Cardiology ,Cardiologist,Sahyadri Hospitals
1857,Dr. Hardik Shah,20.0,MBBS MD - Internal Medicine ,Nephrologist/RenalSpecialist,Bombay Hospital & Medical Research Centre
1857,Dr. Hardik Shah,30.0,MBBS MS - General Surgery DNB - General Surgery DNB - Surgical Gastroenterology MNAMS - General Surgery ,Nephrologist/RenalSpecialist,S L Raheja Fortis Hospital
1857,Dr. Hardik Shah,31.0,MBBS Division of Clinical Psychology (DCP) ,Gastroenterologist,Saifee Hospital
1857,Dr. Hardik Shah,3.0,MBBS MD - Internal Medicine DM - Neurology ,Gastroenterologist,Bhatia  Hospital
1857,Dr. Hardik Shah,23.0,MBBS MD - Obstetrics & Gynaecology ,Gastroenterologist,Sir H.N. Reliance Foundation Hospital & Research Centre
1858,Dr. Hareesh Mehta,16.0,MBBS MD - Psychiatry ,Cardiologist,BSES MG Hospital
1859,Dr. Haresh,21.0,MBBS MS - General Surgery MCh - Urology FICA ,"GeneralPhysician,Orthopedist",S L Raheja Fortis Hospital
1860,Dr. Haresh Dodeja,17.0,MBBS MD - Pathology PDCC - Hand ,Nephrologist/RenalSpecialist,Fortis Hospital
1861,Dr. Hari K Goyal,23.0,MBBS MS - Orthopaedics ,MedicalOncologist,Sri Balaji Action Medical Institute
1862,Dr. Hari Krishna,8.0,MBBS MD - Internal Medicine DM - Nephrology ,GeneralPhysician,Apollo Hospital
1862,Dr. Hari Krishna,14.0,MBBS MD - Pediatrics ,Orthopedist,Apollo Hospitals
1862,Dr. Hari Krishna,,MBBS DNB - Anaesthesia ,Orthopedist,Medwin Hospitals
1863,Dr. Hari krishna,,,Psychiatrist,Shalivahana Multi Speciality Hospital
1864,Dr. Hariharan,,MBBS Diploma in Anesthesiology ,Orthopedist,Billroth Hospitals
1865,Dr. Hariharan Krishanan,20.0,MBBS MS - General Surgery MCh - Neuro Surgery ,Dermatologist,Godrej Memorial Hospital
1866,Dr. Hariharan Muthuswamy,31.0,MBBS ,Gastroenterologist,Apollo Hospital
1867,Dr. Harikar,21.0,MBBS MD - Pediatrics DNB - Paediatrics ,Ear-Nose-Throat(ENT)Specialist,Noble Hospital
1868,Dr. Harikrishnan Parthasarathy,,MBBS MD - Dermatology Diploma in Venereology ,"Cardiologist,InterventionalCardiologist,InternalMedicine",Abhijay Hospital Pvt Ltd
1869,Dr. Harikumar Ravva,,,Psychiatrist,Shalivahana Multi Speciality Hospital
1870,Dr. Harin Vyas,22.0,MBBS MD - Pathology ,Cardiologist,Fortis Hospital
1871,Dr. Harini.C,,,Dermatologist,Challa Hospitals
1872,Dr. Hariprasath J,,,GeneralPhysician,Apollo Hospital - Tondiarpet
1873,Dr. Haripriya Jagadish,12.0,MBBS MS - General Surgery DNB - General Surgery FRCS - General Surgery ,GeneralPhysician,Apollo Hospital
1874,Dr. Haripriya.G,16.0,MBBS MS - General Surgery ,Anesthesiologist,KIMS - Krishna Institute of Medical Sciences
1875,Dr. Hariram M R,,,"Pediatrician,Neonatologist",Fortis Hospital
1876,Dr. Harish,,,Pulmonologist,Kauvery Hospitals
1877,Dr. Harish Bedekar,,MS - General Surgery MRCS (UK) Fellowship in HPB & Liver transplant Fellowship in HPB & Liver transplant MCh - Surgical Gastroenterology/G.I. Surgery MBBS DNB - Gastroenterology ,"Psychiatrist,Sexologist",Holy Spirit Hospital
1878,Dr. Harish Chandra Pathak,6.0,BAMS ,Neurosurgeon,Fortis Hospital
1878,Dr. Harish Chandra Pathak,17.0,MBBS MS - Obstetrics & Gynaecology DGO ,Neurosurgeon,Max Smart Super Speciality Hospital
1879,Dr. Harish D N,8.0,MBBS MD - Cardiology DM - Cardiology ,Orthopedist,Apollo Hospital
1880,Dr. Harish Kapila,12.0,MBBS MRCS (UK) MCh - Paediatric Surgery DNB - Pediatric Surgery MNAMS (Membership of the National Academy) ,GeneralSurgeon,Max Smart Super Speciality Hospital
1881,Dr. Harish Madan,25.0,MBBS MS - General Surgery MCh - Plastic Surgery DNB - Plastic Surgery Fellowship in Micro Ear surgery Fellowship In Cosmetic And Plastic Surgery ,ENT/Otorhinolaryngologist,Mata Chanan Devi Hospital
1881,Dr. Harish Madan,21.0,MBBS DNB - Paediatrics ,ENT/Otorhinolaryngologist,Jaipur Golden Hospital
1882,Dr. Harish N S,,MBBS MCh - Paediatric Surgery MS - General Surgery ,GeneralSurgeon,Bangalore Institute of Gastroenterology
1883,Dr. Harish Nayak,18.0,MS - Orthopaedics Fellowship in Joint Replacement Fellowship in Joint Replacement MBBS ,Ophthalmologist/EyeSurgeon,Manipal Hospital
1884,Dr. Harish Sutruve,,,Pediatrician,Apollo Medical Center
1885,Dr. Harisha V,,MBBS ,Orthopedist,BGS Global Hospital
1886,Dr. Harisudhan,25.0,MBBS Diploma in Gynaecology & Obstetrics MS - Obstetrics & Gynaecology ,Neurologist,Kamakshi Memorial Hospital
1887,Dr. Harit Chaturvedi,21.0,MBBS MD - Obstetrics & Gynaecology ,SurgicalOncologist,Max Super Speciality Hospital
1888,Dr. Harmeet Kapoor,12.0,MBBS MS - General Surgery MCh - Vascular Surgery ,GeneralSurgeon,Sri Balaji Action Medical Institute
1889,Dr. Harmeet Malhotra,,MBBS DNB DDVL ,"Gynecologist,LaparoscopicSurgeon(Obs&Gyn)",Indraprastha Apollo Hospitals
1890,Dr. Harmeet Singh Kapoor,27.0,MBBS MS - Orthopaedics ,"GeneralSurgeon,LaparoscopicSurgeon,BariatricSurgeon",Blk Super Speciality Hospital
1891,Dr. Harold D'Souza,31.0,MBBS MD - Nephrology DNB - Nephrology ,Orthopedist,Godrej Memorial Hospital
1892,Dr. Harpreet Kaur,,MBBS DGO DNB - Obstetrics & Gynecology ,Pediatrician,MGS Super Speciality Hospital
1893,Dr. Harpreet Singh,10.0,BDS MDS - Orthodontics & Dentofacial Orthopaedics ,RadiationOncologist,Sri Balaji Action Medical Institute
1894,Dr. Harry Fernandez,,,Orthopedist,Sunshine Hospital
1895,Dr. Harsh Khandalia,13.0,MBBS MS - General Surgery MCh - Neuro Surgery ,Anesthesiologist,KIMS - Krishna Institute of Medical Sciences
1896,Dr. Harsh Priyadarshi,15.0,MBBS MD - General Medicine DNB - General Medicine DM - Neurology ,Orthopedist,Max Smart Super Speciality Hospital
1897,Dr. Harsh Vyas,13.0,MBBS MD - Pediatrics DCH ,"PediatricDentist,Dentist",Bombay Hospital & Medical Research Centre
1898,Dr. Harsh Wardhan,,MBBS DM - Gastroenterology ,CardiothoracicSurgeon,Rockland Hospital
1898,Dr. Harsh Wardhan,15.0,MBBS M.Ch - Orthopaedics ,PediatricSurgeon,Max Superspeciality Hospital
1899,Dr. Harsha,,MBBS MD - Nephrology ,GeneralPhysician,Bhagwan Mahaveer Jain Hospital - Vasanthnagar
1900,Dr. Harsha Khullar,28.0,MBBS MD - Obstetrics & Gynaecology ,"Gynecologist,Obstetrician",Sir Ganga Ram Hospital
1901,Dr. Harsha N,,MBBS MD - Anaesthesiology ,Ophthalmologist,Bhagwan Mahaveer Jain Hospital - Vasanthnagar
1902,Dr. Harshad Argekar,,MBBS MD - Anaesthesiology ,Orthopedist,Criti Care Multi Speciality Hospital & Research Centre
1903,Dr. Harshad Gordhandas,15.0,MBBS MD - Diabetology Post Graduate Diploma in Diabetology (PGDD) ,GeneralSurgeon,Bhatia  Hospital
1904,Dr. Harshad Parekh,,MBBS MS - General Surgery FRCS - General Surgery ,Neurosurgeon,Holy Spirit Hospital
1904,Dr. Harshad Parekh,17.0,MBBS MS - Orthopaedics ,Neurosurgeon,Bhatia  Hospital
1904,Dr. Harshad Parekh,34.0,MBBS DNB - Orthopedics/Orthopedic Surgery ,Neurosurgeon,Sir H.N. Reliance Foundation Hospital & Research Centre
1905,Dr. Harshal Gadhikar,17.0,MBBS ,Gastroenterologist,Deenanath Mangeshkar Hospital
1906,Dr. Harshal Lahoti,29.0,MBBS ,"InterventionalCardiologist,Cardiologist",Bombay Hospital & Medical Research Centre
1907,Dr. Harshita Tripathi,,MBBS MS - Neuro Surgery ,Pediatrician,Venkateshwar Hospital
1908,Dr. Harsimran Singh Nagpal,12.0,MBBS DM - Cardiology ,Radiologist,Sri Balaji Action Medical Institute
1909,Dr. Harvinder Singh,38.0,MS - General Surgery MCh - Urology MBBS ,Orthopedist,Sanjeevan Hospital
1910,Dr. Hasanain Shikari,6.0,MBBS MS - General Surgery DNB FRCS - General Surgery MCh - Surgical Gastroenterology/G.I. Surgery ,Ophthalmologist/EyeSurgeon,Saifee Hospital
1911,Dr. Hasmukh J.Shroff,8.0,MBBS MS - Orthopaedics ,Dermatologist,Saifee Hospital
1912,Dr. Hasmukh Ravat,17.0,MBBS DGO ,"InterventionalCardiologist,Cardiologist",Fortis Hospital
1913,Dr. Hema Karthik,,BHMS NDDY ,ClinicalPsychologist,Billroth Hospitals
1914,Dr. Hemal Bhagat,,MBBS MD - Pathology DNB - Pathology ,"LaparoscopicSurgeon,GeneralSurgeon",Criti Care Multi Speciality Hospital & Research Centre
1915,Dr. Hemal Shah,17.0,MBBS MD - General Medicine DNB - Cardiothoracic Surgery ,Nephrologist/RenalSpecialist,Bhatia  Hospital
1915,Dr. Hemal Shah,21.0,MS - Orthopaedics FCPS - Mid. & Gynae ,Nephrologist/RenalSpecialist,Sir H.N. Reliance Foundation Hospital & Research Centre
1916,Dr. Hemali Trivedi Gupta,6.0,MBBS ,"Urologist,UrologicalSurgeon",Saifee Hospital
1917,Dr. Hemang Desai,,MBBS MD - Cardiology DM - Cardiology ,Psychiatrist,Dr. Jivraj Mehta Smarak Health Foundation
1918,Dr. Hemangee Dhavale,38.0,MBBS MS - General Surgery MCh - Surgical Oncology ,Psychiatrist,S L Raheja Fortis Hospital
1919,Dr. Hemant Brahme,,MBBS MD - Microbiology ,Gynecologist,Criti Care Multi Speciality Hospital & Research Centre
1919,Dr. Hemant Brahme,39.0,MBBS MD - General Medicine DM - Cardiology ,Gynecologist,S L Raheja Fortis Hospital
1920,Dr. Hemant K Shukla,,MBBS DCH MRCPCH (UK) ,Oncologist,Dr. Jivraj Mehta Smarak Health Foundation
1921,Dr. Hemant K. Kalyan,23.0,MBBS DM - Cardiology ,Orthopedist,Manipal Hospital
1922,Dr. Hemant Kalra,,MBBS DNB - Dermatology & Venereology ,Pulmonologist,MGS Super Speciality Hospital
1923,Dr. Hemant Kumar,,,"Orthopedist,GeneralPhysician",MITR Hospitals
1924,Dr. Hemant Madan,7.0,MBBS MCh - Neuro Surgery Fellowship in Skull Base Surgery ,"Cardiologist,InterventionalCardiologist",Fortis Hospital
1925,Dr. Hemant R Pathak,17.0,MBBS MS - General Surgery ,"Urologist,UrologicalSurgeon",Saifee Hospital
1926,Dr. Hemant R. Gupta,11.0,MBBS MD - Medicine ,ConsultantPhysician,Bombay Hospital & Medical Research Centre
1927,Dr. Hemant Sant,,MBBS MS - General Surgery MCh - Plastic & Reconstructive Surgery ,Neurologist,Sahyadri Hospitals
1928,Dr. Hemant Thacker,13.0,MBBS Diploma in Otorhinolaryngology (DLO) MS - ENT ,GeneralPhysician,Bhatia  Hospital
1929,Dr. Hemant Todkar,20.0,MBBS MS - General Surgery ,Ophthalmologist/EyeSurgeon,Ruby Hall Clinic
1930,Dr. Hemant Wakankar,18.0,MBBS MS - General Surgery MCh - Neuro Surgery ,Orthopedist,Ruby Hall Clinic
1931,Dr. Hemanth,,,Orthopedist,Columbia Asia Hospital
1932,Dr. Hemanth Kaukuntla,11.0,MBBS DNB ,"CardiothoracicSurgeon,Cardiologist",Care Hospitals
1933,Dr. Hemanth Kumar Kasaragod,22.0,MBBS Diploma in Orthopaedics DNB - Orthopedics/Orthopedic Surgery Fellowship in Joint Replacement Fellowship in Joint Replacement ,GeneralSurgeon,Fortis Hospital
1934,Dr. Hemanth Vudayaraju,15.0,MBBS MD - General Medicine DM - Cardiology ,SurgicalOncologist,Apollo Hospitals
1935,Dr. Hemashruthi,,,,I-AIM Health Care
1936,Dr. Hemendra Navinchandra Shah,12.0,MBBS MS - General Surgery ,"Urologist,Nephrologist",S L Raheja Fortis Hospital
1937,Dr. Hemendra Shah,21.0,MBBS MS - Ophthalmology Post Graduate Diploma in Ophthalmology ,Urologist,S L Raheja Fortis Hospital
1938,Dr. Hemlata Wadhwani Bhatia,16.0,MBBS MD - Medicine DM - Oncology ,,Max Superspeciality Hospital
1939,Dr. Hetal Chiniwala,46.0,MBBS MD - General Medicine DNB ,"Orthopedist,SpineSurgeon",Bombay Hospital & Medical Research Centre
1940,Dr. Hetal Deshpande,9.0,MBBS MD - Psychiatry DNB (Psychiatry) ,Ophthalmologist,Godrej Memorial Hospital
1941,Dr. Hetal R Mehta,,,Pediatrician,Fortis Hospital
1942,Dr. Hetal Urvish Bhatt,23.0,BDS ,Ophthalmologist,Godrej Memorial Hospital
1943,Dr. Hiam Bindhu,,,Gynecologist/Obstetrician,Shalivahana Multi Speciality Hospital
1944,Dr. Hidayatullah. G,,,Urologist,Aster Prime Hospitals
1945,Dr. Himabindu Adusumili,17.0,MBBS ,Ophthalmologist/EyeSurgeon,Manipal Hospital
1946,Dr. Himanshu,,,Orthopedist,Kalra Hospital
1947,Dr. Himanshu Agarwal,30.0,MBBS MS - Ophthalmology DOMS ,Neuroradiologist,Max Super Speciality Hospital
1948,Dr. Himanshu Dongre,,MBBS MD - Medicine ,,Sancheti Hospital
1949,Dr. Himanshu Shah,,,,Seven Eleven Hospital
1950,Dr. Himanshu Yadav,24.0,MBBS MS - Obstetrics & Gynaecology ,"Cardiologist,InterventionalCardiologist",Bombay Hospital & Medical Research Centre
1951,Dr. Hirachand S Mutagi,,MBBS DNB - Surgical Oncology MCh - Surgical Oncology FRCS - General Surgery Diploma in Laparoscopy ,"Anesthesiologist,SpineAndPainSpecialist,PainManagementSpecialist",Sakra World Hospital
1952,Dr. Hiralal Desai,21.0,MBBS MD - Internal Medicine ,Gastroenterologist,Bhatia  Hospital
1953,Dr. Hiren Gala,19.0,MBBS MS - Orthopaedics ,Cardiologist,S L Raheja Fortis Hospital
1954,Dr. Hitesh Gupta,25.0,MBBS MD - Medicine ,"OccupationalTherapist,Physiotherapist",Max Super Speciality Hospital
1955,Dr. Hitesh Kubadia,14.0,MBBS MD - General Medicine ,"JointReplacementSurgeon,Orthopedist",S L Raheja Fortis Hospital
1956,Dr. Hitesh Kumar,,,Pediatrician,Kalra Hospital
1957,Dr. Hitesh Kumar Arya,52.0,MBBS MD - Pediatrics ,GeneralPhysician,St Stephens Hospital
1958,Dr. Hitesh Mehta,11.0,MBBS MS - Orthopaedics ,GastroIntestinalSurgeon,Sir H.N. Reliance Foundation Hospital & Research Centre
1959,Dr. Honey Ashok,,MD - Acupuncture Diploma in Acupuncture PhD - Acupuncture ,"ENT/Otorhinolaryngologist,HeadandNeckSurgeon",Sakra World Hospital
1960,Dr. Hormuzd K Vakil,,MBBS DNB (Cardiology) MD - Cardiology ,"Implantologist,Cosmetic/AestheticDentist",MaxCure Hospitals
1961,Dr. Hozefa Bhinderwala,16.0,MBBS ,Psychiatrist,Saifee Hospital
1962,Dr. Hrishikesh Naik,10.0,MBBS MD - Pediatrics ,Orthopedist,Masina Hospital 
1962,Dr. Hrishikesh Naik,,MBBS MD - General Medicine ,Orthopedist,Guru Nanak Hospital
1963,Dr. Hrishikesh Pai,,MBBS DMRE DNB - Radio Diagnosis ,"Gynecologist,Obstetrician",Sakra World Hospital
1964,Dr. Hrushikesh Mehata,23.0,MBBS MS - Orthopaedics ,SpineSurgeon,Ruby Hall Clinic
1965,Dr. Huftoskhi,17.0,MBBS DNB - General Surgery DNB - Neurosurgery FICS ,Gynecologist/Obstetrician,Saifee Hospital
1966,Dr. Humeira Badsha,15.0, FRCP MRCPS MBBS MD - General Medicine Diploma in Medical Law and Ethics (PGDMLE) ,Rheumatologist,Apollo Hospital
1967,Dr. Hutokshi. Zaroliwala,12.0,MBBS MS - General Surgery MCh - Plastic Surgery FICS ,Gynecologist/Obstetrician,Saifee Hospital
1968,Dr. Huzefa T Dhansura,40.0,MBBS DGO ,Ophthalmologist,Saifee Hospital
1969,Dr. Hyacinth Peninnah Paljor,3.0,MBBS DM - Neurology ,GeneralPhysician,St Stephens Hospital
1970,Dr. I C Verma,51.0,MBBS ,Geneticist,Sir Ganga Ram Hospital
1971,Dr. I S Reddy,17.0,MBBS MS - Ophthalmology ,"Dermatologist,PediatricDermatologist",Apollo Hospitals
1972,Dr. I. Satish Rao,13.0,MBBS MS - General Surgery Fellowship in Minimal Invasive Spine Surgery ,Pathologist,KIMS - Krishna Institute of Medical Sciences
1973,Dr. I. Vishwanatha Reddy,3.0,MBBS DCH DCH ,Orthopedist,KIMS - Krishna Institute of Medical Sciences
1974,Dr. Ikeda Lal,7.0,MBBS MS - Ophthalmology ,Ophthalmologist/EyeSurgeon,Sir Ganga Ram Hospital
1975,Dr. Ila Sharma,12.0,DNB - Obstetrics & Gynecology MBBS ,"Obstetrician,Gynecologist",Sir Ganga Ram Hospital
1976,Dr. Ilangho R P,9.0,MBBS MD - General Medicine DM - Cardiology Fellow of Indian College of Cardiology (FICC) FSCAI ,GeneralPhysician,Apollo Hospital
1977,Dr. Ilin Kinimi,17.0,MBBS MD - General Medicine DM - Cardiology ,Pediatrician,Manipal Hospital
1978,Dr. Imamuddin Undre,31.0,MBBS Diploma in Medical Radio-Diagnosis ,Gastroenterologist,Masina Hospital 
1979,Dr. Imran Noorani,13.0,MBBS ,GeneralPhysician,Sir Ganga Ram Hospital
1980,Dr. Imtiaz Ghani,4.0,BA - Psychology ,"Orthopedist,GeneralPhysician",Apollo Hospital
1981,Dr. Inder Kasturia,,,GeneralPhysician,Aakash Health Care
1982,Dr. Inder Mohan Chugh,5.0,MBBS DOMS MS - Ophthalmology ,Pulmonologist,Max Superspeciality Hospital
1983,Dr. Inder Talwar,19.0,MBBS MD - General Medicine ,,Bombay Hospital & Medical Research Centre
1984,Dr. Indhumathi,10.0,MBBS MD - Dermatology ,GeneralPhysician,Kamakshi Memorial Hospital
1985,Dr. Indira Kedlaya,25.0,MBBS DNB - Ophthalmology DOMS ,InternalMedicine,Columbia Asia Hospital
1986,Dr. Indira Ramasahayam Reddy,11.0,MBBS MD - General Medicine DM - Medical Oncology ,GeneralPhysician,Apollo Hospitals
1987,Dr. Indira Satpal,,MSc - Psychology M.Phil - Psychology DMS MA - Psychology ,Gynecologist,Tirath Ram Shah Hospital
1988,Dr. Indra Narain Tiwari,,,PlasticSurgeon,Metro Multispeciality Hospital
1989,Dr. Indrani Ganguli,36.0,MBBS FIMSA FICMCH ,Gynecologist/Obstetrician,Sir Ganga Ram Hospital
1990,Dr. Indranil Mukherjee,2.0,MBBS MD - General Medicine DM - Cardiology ,Pediatrician,Hindustan Health Point
1991,Dr. Indu S Nair,,MBBS MD - Skin & VD ,"Pediatrician,Neonatologist",Sakra World Hospital
1992,Dr. Indu Seth,22.0,MBBS Diploma in Emergency Medicine ,"Gynecologist,Obstetrician",Mata Chanan Devi Hospital
1993,Dr. Indumathi CK,,MBBS DNB - Family Medicine ,Pediatrician,St John Medical College and Hospital
1994,Dr. Indumathy T Ramachandran,15.0,MBBS DNB - Orthopedics/Orthopedic Surgery MRCS (UK) FRCS - Trauma & Orthopedic Surgery ,Ophthalmologist/EyeSurgeon,Apollo Hospitals
1995,Dr. Isaac Newton Rajkumar,4.0,MBBS FNB - Reproductive Medicine MD - Anaesthesiology ,Orthopedist,St.Isabel's Hospital
1996,Dr. Ish Anand,32.0,MBBS MD - Internal Medicine DM - Neurology Diploma in Tuberculosis and Chest Diseases (DTCD) ,Neurologist,Sir Ganga Ram Hospital
1997,Dr. Ishwar Bohra,9.0,MBBS MS - Orthopaedics M.Ch - Orthopaedics ,Orthopedist,Blk Super Speciality Hospital
1998,Dr. Ishwar Zanwar,6.0,MBBS MS - General Surgery MCh - Cardio Thoracic and Vascular Surgery ,Cardiologist,Noble Hospital
1999,Dr. Itishree Pradhan,,,DentalSurgeon,Fortis Hospital
2000,Dr. J Amalorpavanathan,48.0,MBBS MS - General Surgery MCh - Cardio Thoracic Surgery ,VascularSurgeon,St.Isabel's Hospital
2001,Dr. J C Kothari,28.0,MBBS ,Pulmonologist,Bhatia  Hospital
2002,Dr. J G Lalmalani,16.0,MBBS MS - General Surgery FICS FAIS ,UrologicalSurgeon,Saifee Hospital
2003,Dr. J H Bala Singh,,MD - Psychiatry MBBS ,Nephrologist/RenalSpecialist,Billroth Hospitals
2004,Dr. J K Nath,39.0,Diploma in Radiation Medicine MBBS ,NuclearMedicinePhysician,Sir Ganga Ram Hospital
2005,Dr. J Khub Chand,,,Anesthesiologist,Sunshine Hospital
2006,Dr. J M Wadhawan,17.0,MBBS MD - Psychiatry ,Psychiatrist,Sir Ganga Ram Hospital
2007,Dr. J Madhusudhan	Reddy,7.0,MBBS DNB - General Medicine DNB - Gastroenterology ,Anesthesiologist,Apollo Hospitals
2008,Dr. J Manjunath,,,ENT/Otorhinolaryngologist,Pristine Hospital
2009,Dr. J Narayana	Reddy,34.0,MS - ENT DNB - ENT ,Anesthesiologist,Apollo Hospitals
2010,Dr. J P Tayal,11.0,MBBS MS - Orthopaedics FRCS - General Surgery ,Pediatrician,Sri Balaji Action Medical Institute
2011,Dr. J Pablo Neruda,,MBBS MD - General Medicine ,PlasticSurgeon,Billroth Hospitals
2012,Dr. J S Srinivas,,,PlasticSurgeon,Global Hospital
2013,Dr. J Saravanan,16.0,MBBS DNB - General Surgery Fellowship in Minimal Access Surgery Fellowship In Laparoscopic & Bariatric Surgery ,Psychiatrist,Kamakshi Memorial Hospital
2014,Dr. J Surendran,11.0,MBBS DGO DNB - Obstetrics & Gynecology ,RadiationOncologist,Kamakshi Memorial Hospital
2015,Dr. J V  Krishna Kishore,,MBBS ,Pediatrician,Star Hospitals
2016,Dr. J V Katri,22.0,MBBS DNB - General Surgery MRCS (UK) ,Pediatrician,Saifee Hospital
2017,Dr. J. K. A. Jameel,17.0,MBBS DCH DNB ,"BariatricSurgeon,GeneralSurgeon,LaparoscopicSurgeon",Apollo Hospital
2018,Dr. J. Madhu Sudhan Rao,13.0,MBBS MD - Anaesthesiology ,Orthopedist,KIMS - Krishna Institute of Medical Sciences
2019,Dr. J. Mohan Kumar,,MBBS MD - Internal Medicine ,Oncologist,BGS Global Hospital
2020,Dr. J. N. Khanna,13.0,MBBS MRCOG ,Dentist,Saifee Hospital
2021,Dr. J. Naresh Babu,28.0,MBBS MD - Internal Medicine DM - Cardiology ,Orthopedist,KIMS - Krishna Institute of Medical Sciences
2021,Dr. J. Naresh Babu,,,Orthopedist,Sunshine Hospital
2022,Dr. J. P. S. Sawhney,36.0,MBBS MD - Cardiology DM - Cardiology ,Cardiologist,Sir Ganga Ram Hospital
2023,Dr. J. Panse,,MBBS DAA ,Orthopedist,Sancheti Hospital
2024,Dr. J. S. Rathore,14.0,MBBS MD - Internal Medicine DM - Cardiology ,Urologist,St Stephens Hospital
2025,Dr. J. Satyanarayan,23.0,MBBS MS - Orthopaedics ,GeneralPhysician,Kamineni Hospitals
2026,Dr. J. Sorabjee,21.0,MBBS ,GeneralPhysician,Bombay Hospital & Medical Research Centre
2027,Dr. J.AL.Ranganath,,MBBS MS - General Surgery DNB - General Surgery DNB - Urology/Genito - Urinary Surgery ,Nephrologist/RenalSpecialist,MaxCure Hospitals
2028,Dr. J.Bramhaji Rao,5.0,MBBS DM ,Dentist,Kamineni Hospitals
2029,Dr. J.C Vij,20.0,MBBS MRCP (UK) MD - Rheumatology ,Gastroenterologist,Blk Super Speciality Hospital
2030,Dr. J.C. Mohan,29.0,MBBS MD - Radio Diagnosis/Radiology ,Cardiologist,Fortis Hospital
2031,Dr. J.C.Vij,38.0,MBBS DNB - Radiotherapy ,Gastroenterologist,Max Super Speciality Hospital
2032,Dr. J.K. Jain,,MBBS MD - Medicine DM - Cardiology ,Dermatologist,Kailash Deepak Memorial Hospital
2033,Dr. J.N. Kulkarni,35.0,MBBS ,Urologist,Bombay Hospital & Medical Research Centre
2034,Dr. J.P. John,,MBBS MS - Obstetrics & Gynaecology ,ENT/Otorhinolaryngologist,Abhijay Hospital Pvt Ltd
