,ID,HOSPITAL NAME,LOCATION,NO. OF DOCTORS,NO. OF BEDS
401,401,Navodaya Hospitals,"Secunderabad, Hyderabad",9,50
402,402,Ozone Hospitals,"Dilsukhnagar, Hyderabad",9,250
403,403,DaVita Care India Pvt. Ltd.,"Banashankari 2nd Stage, Bangalore",9,20
404,404,Sawan Neelu Angels Nursing Home,"Saket, Delhi",9,25
405,405,ReSCUE -  The Urology Center,"Rajajinagar, Bangalore",9,20
406,406,Swathi Hospital,"Banjara Hills, Hyderabad",9,30
407,407,Dipakshi Multispeciality Hospital,"Sector 33, Noida",9,100
408,408,Kedar Hospital,"Mugalivakkam, Chennai",9,10
409,409,Kukreja Hospital,"Mayur Vihar Ph-I, Delhi",9,25
410,410,Kanchi Nursing Home,"Goregaon East, Mumbai",9,16
411,411,Neha Prakash Hospital,"Yelahanka, Bangalore",9,50
412,412,ARK Hospital,"Andheri West, Mumbai",9,20
413,413,Madhu Hospital,"Bhandup West, Mumbai",9,25
414,414,Manjushree Speciality Hospital,"Ulsoor, Bangalore",9,30
415,415,Babasaheb Gawde Hospital,"Vileparle East, Mumbai",9,65
416,416,Bangaluru Neuro Centre,"Malleswaram, Bangalore",9,22
417,417,Dipakshi Multispeciality Hospital,"Sector 33, Noida",9,100
418,418,Sri Krishna Seva Shrama Hospital,"Jayanagar, Bangalore",9,70
419,419,Jayashree Multispeciality Hospital,"Begur, Bangalore",9,70
420,420,Dr Bhargavi Reddy Women & Children Hospital,"Indiranagar, Bangalore",9,15
421,421,Frontier Lifeline Hospital,"Mogappair, Chennai",9,120
422,422,Specialist Hospital,"Kalyan Nagar, Bangalore",9,150
423,423,Dr. Das Hospital & ICCU,"Chembur East, Mumbai",9,45
424,424,Gupta Mulitispeciality Hospital,"Vivek Vihar, Delhi",9,50
425,425,Chikitsa Hospital,"Saket, Delhi",9,50
426,426,SMT Shakuntala Patil Eye Hospital & Shakuntala Vision Care,"Basavanagudi, Bangalore",9,1
427,427,Ushodaya Hospital,"Kishanbagh, Hyderabad",9,50
428,428,Sri Lakshmi Super Speciality Hospital,"CV Raman Nagar, Bangalore",9,50
429,429,RK Nursing Home,"Chromepet, Chennai",9,10
430,430,North City Hospital,"Ultadanga, Kolkata",9,110
431,431,Laxmi nursing Home,"Rohini, Delhi",9,20
432,432,Sita Bhateja Specialty Hospital,"Langford Road, Bangalore",9,30
433,433,Firm Hospitals,"Anna Nagar, Chennai",9,20
434,434,Saluja Hospital,"Secunderabad, Hyderabad",9,50
435,435,Amrit Hospital,"Sowcarpet, Chennai",9,6
436,436,Asian Institute Of Nephrology & Urology,"Somajiguda, Hyderabad",9,100
437,437,Shree Krishna Hospital,"Borivali East, Mumbai",9,21
438,438,Bangalore Institute of Gastroenterology,"Jayanagar, Bangalore",9,100
439,439,Disha Childrens Hospital,"Vanasthalipuram, Hyderabad",9,20
440,440,Mukat Hospital & Heart Institute,"Sector 34, Chandigarh",9,40
441,441,"Kamineni Orthopaedics, Kingkoti","King Koti, Hyderabad",9,200
442,442,Makkar Medical Centre,"Nirman Vihar, Delhi",8,10
443,443,Vasan Eye Care Hospital,"RT Nagar, Bangalore",8,11
444,444,Manipal Hospital,"Whitefield, Bangalore",8,280
445,445,Raksha Hospital,"Malad West, Mumbai",8,35
446,446,Prashanth Multispeciality Hospital,"Chetpet, Chennai",8,300
447,447,American Oncology Institute,"Lingampally, Hyderabad",8,50
448,448,Orthomed Hospital,"Royapettah, Chennai",8,60
449,449,Shree Anand Memorial Hospital,"Thergaon, Pune",8,8
450,450,People Tree Maarga,"Yelahanka, Bangalore",8,30
451,451,Gunasheela Surgical And Maternity Center,"Basavanagudi, Bangalore",8,60
452,452,The Venlakh Hospital,"Chamarajpet, Bangalore",8,50
453,453,Tripathi Hospital,"Sector 119, Noida",8,50
454,454,Suchak Hospital,"Malad, Mumbai",8,60
455,455,Vascular Care Centre,"Raj Bhavan Road, Hyderabad",8,10
456,456,Vinayaka Hospital,"Jayanagar, Bangalore",8,8
457,457,Worli Hospital For Women,"Worli, Mumbai",8,8
458,458,Pentamed Hospital,"Model Town, Delhi",8,30
459,459,Patil Hospital,"Sinhagad Road, Pune",8,40
460,460,Apple Hospitals,"Yakutpura, Hyderabad",8,50
461,461,Little Stars Children's Hospital,"Panjagutta, Hyderabad",8,100
462,462,Cygnus Orthocare Hospital,"Safdarjung Development Area, Delhi",8,80
463,463,Agadi Centre For Advanced Dental Care,"Wilson Garden, Bangalore",8,100
464,464,BSS Hospital,"Mandaveli, Chennai",8,40
465,465,"Vardhan Fertility, Laparoscopy  & Women Care Centre","Banaswadi, Bangalore",8,9
466,466,Sukhda Hospital,"Greater Kailash Part 1, Delhi",8,25
467,467,Cumballa Hill Hospital and Heart Institute,"Kemps Corner, Mumbai",8,51
468,468,Vasan Eye Care Hospital,"Marathahalli, Bangalore",8,7
469,469,RSR'S Trinity Acute Care Hospital,"Mylapore, Chennai",8,50
470,470,Sree Netralaya Eye Hospital,"Kothapet, Hyderabad",8,10
471,471,Rise Children Hospital ,"Mehdipatnam, Hyderabad",8,100
472,472,Shanthi Hospital and Research Center,"Jayanagar 7 Block, Bangalore",8,40
473,473,Orthopedic Doctor- Raghava Hospital,"Ameerpet, Hyderabad",8,50
474,474,CIMS Hospital,"Sola, Ahmedabad",8,372
475,475,Eye7 Chaudhary Eye Centre,"Darya Ganj, Delhi",8,20
476,476,Priya Nursing Home,"Washermenpet, Chennai",8,50
477,477,RathiMed Speciality Hospital,"Anna Nagar, Chennai",8,20
478,478,Karuna Hospital ,"Dilshad Garden, Delhi",8,20
479,479,Athreya Hospital,"Hosur Road, Bangalore",8,50
480,480,Milann The Fertility Center,"Kumara Park West, Bangalore",8,36
481,481,Prime OBG Fertility Centre,"Thiruvanmiyur, Chennai",8,20
482,482,Bajaj Medical Centre,"Paschim Vihar, Delhi",8,10
483,483,Soukya Hospital,"Vidyaranyapura, Bangalore",8,20
484,484,Queens Hospital,"HSR Layout, Bangalore",8,40
485,485,International Fertility Centre,"Green Park, Delhi",8,30
486,486,Soundarapandian Bone and Joint Hospital & Research Institute,"Anna Nagar, Chennai",8,60
487,487,Durgabai Deshmukh Hospital,"Vidyanagar, Hyderabad",8,50
488,488,Vijetha Hospital,"Maharani Peta, Visakhapatnam",8,100
489,489,A-One Hospital,"Paschim Vihar, Delhi",8,20
490,490,Pavan Nursing Home,"Laxmi Nagar, Delhi",8,20
491,491,Punarjani Ayurveda Multi-Speciality Hospital,"Sarjapur Road, Bangalore",8,22
492,492,Serene Hospital,"Vishrantwadi, Pune",7,26
493,493,Mamatha Hospitals,"Kukatpally, Hyderabad",7,120
494,494,Aastha Hospital & IVF Centre,"Vikas Puri, Delhi",7,20
495,495,B P Poddar Hospital & Medical Research,"New Alipore, Kolkata",7,205
496,496,Maxi Vision Super Speciality Eye Hospitals,"Santosh Nagar, Hyderabad",7,10
497,497,Prime Hospital - Malad West,"Marve, Mumbai",7,15
498,498,Narayana Multispeciality Hospital,"Amer, Jaipur",7,290
499,499,Sri Bhargavi Hospital,"Moti Nagar, Hyderabad",7,15
500,500,Om Sai Baba Hospital,"Chembur East, Mumbai",7,15
501,501,Cygnus MLS Superspecility Hospital,"Ram Vihar, Delhi",7,51
502,502,Pushpawati Singhania Research Institute (PSRI Hospital),"Sheikh Sarai, Delhi",7,100
503,503,M M Eyetech Institute,"Lajpat Nagar, Delhi",7,10
504,504,Kosmos Superspeciality Hospital,"Anand Vihar, Delhi",7,50
505,505,Shree Hospital,"Nagar Road, Pune",7,25
506,506,Induss Hospital,"Dilsukhnagar, Hyderabad",7,100
507,507,Sai Shree Hospital,"Aundh, Pune",7,40
508,508,Shiva Krishna Hospital,"Sahibabad, Delhi",7,30
509,509,Shalby Hospital,"Old Palasia, Indore",7,200
510,510,Dr. Ratnadeep's Dental Hospital,"Nigdi, Pune",7,20
511,511,Bharti Eye Hospital,"Greater Kailash Part 1, Delhi",7,10
512,512,Vasan Eye Hospital,"Begumpet, Hyderabad",7,20
513,513,Medisys Hospitals,"LB Nagar, Hyderabad",7,250
514,514,Benzer Nursing Home,"Andheri West, Mumbai",7,15
515,515,Excel ENT Hospital,"Ghatkopar East, Mumbai",7,3
516,516,Chitale E.N.T Hospital,"Sadashiv Peth, Pune",7,2
517,517,Lifepoint Multispeciality Hospital,"Wakad, Pune",7,100
518,518,Amar Leela Hospital Pvt. Ltd,"Janak Puri, Delhi",7,43
519,519,Oscar Multispeciality Hospital,"Kandivali West, Mumbai",7,75
520,520,TKR's Ikon Hospital,"Dilsukhnagar, Hyderabad",7,75
521,521,Lifeline Multi Speciality Hospital,"Gota, Ahmedabad",7,20
522,522,Varalakshmi Hospital,"BTM Layout, Bangalore",7,25
523,523,S J Hospital,"Sanjay Nagar, Bangalore",7,30
524,524,A.K. Hospital,"Aminjikarai, Chennai",7,20
525,525,Prashanth Hospital,"Bommanahalli, Bangalore",7,80
526,526,Jayam Hospital & GFC Fertility,"Kodambakkam, Chennai",7,30
527,527,Girishwari Hospital,"Teynampet, Chennai",7,150
528,528,Rajashri Grandhim Speciality Hospital,"Bannerghatta Road, Bangalore",7,20
529,529,Milann - The Fertility Center,"Indiranagar, Bangalore",7,10
530,530,C.M.Diabetes Centre- Karthik Hospital,"Wilson Garden, Bangalore",7,12
531,531,Udhna Hospital Pvt. Ltd.,"Udhna, Surat",7,40
532,532,Shree Chakra Hospital,"Hosur Road, Bangalore",7,18
533,533,GarbhaGudi IVF Center,"Kalyan Nagar, Bangalore",7,5
534,534,Raju Hospital,"T Nagar, Chennai",7,42
535,535,CSI Rainy Hospital,"Washermenpet, Chennai",7,250
536,536,Shishuka Children's Specialty Hospital,"HRBR Layout, Bangalore",7,50
537,537,Sreenagar Nursing Home,"Srinagar, Bangalore",7,30
538,538,Eskay Healthcare,"Abbigere, Bangalore",7,50
539,539,Divakars Speciality Hospital,"JP Nagar 2 Phase, Bangalore",7,25
540,540,Cytecare Cancer Hospitals,"Yelahanka, Bangalore",7,150
541,541,Janhvi Nursing Home Pvt Ltd.,"Malad West, Mumbai",6,15
542,542,Chetana Hospital,"Secunderabad, Hyderabad",6,30
543,543,Shree Ayurvedic Multispeciality Hospital,"T Nagar, Chennai",6,10
544,544,Bharathiraja Hospital,"T Nagar, Chennai",6,200
545,545,Ezhil Hospital,"Tondiarpet, Chennai",6,40
546,546,Hyderbad Kidney & Laproscopic Center,"Malakpet, Hyderabad",6,100
547,547,Shetiya Hospital And Komal Nursing Home,"Vishrantwadi, Pune",6,25
548,548,Cygnus Institute Of Gastroenterology,"Kukatpally, Hyderabad",6,70
549,549,All India Institute Of Medical Sciences,"Ansari Nagar, Delhi",6,5
550,550,Kasturi Multispeciality Hospital,"Secunderabad, Hyderabad",6,50
551,551,Dr. Dnyanmote Multi Speciality Hospital,"Thergaon, Pune",6,10
552,552,Ruby Hospital - A Venture of Arogyam Hospital,"Bhandup West, Mumbai",6,15
553,553,Santom Hospital,"Rohini, Delhi",6,105
554,554,Ashok Hospital,"Dahisar East, Mumbai",6,12
555,555,Dr Rudrappa First Class Eye Care Hospital,"Richmond Town, Bangalore",6,15
556,556,Malhotra Nursing Home,"Mayur Vihar Ph-II, Delhi",6,3
557,557,Tamara Hospital & IVF Centre,"Rajajinagar, Bangalore",6,30
558,558,Asha Maternity And General Hospital,"Malad East, Mumbai",6,30
559,559,Hera Hospital,"Virugambakkam, Chennai",6,25
560,560,Pallavaram Children Medical Centre,"Pallavaram, Chennai",6,26
561,561,Siddhant Maternity Home,"Satara Road, Pune",6,5
562,562,Triton Hospital,"Nehru Place, Delhi",6,22
563,563,Lokmanya Multi Speciality Hospital,"Chinchwad, Pune",6,103
564,564,Spring Life IVF & Fertility Centre,"Parel, Mumbai",6,9
565,565,Kaveri Speciality Hospital,"Koramangala, Bangalore",6,10
566,566,Hitankshi Nursing Home,"Mira Road, Mumbai",6,15
567,567,Dr Poonam Chawla Maternity Home,"Vikas Puri, Delhi",6,5
568,568,Kadimi Nursing Home,"Chanda Nagar, Hyderabad",6,25
569,569,Care & Cure Speciality Hospital (C and C Woman's Hospital),"Ayanavaram, Chennai",6,10
570,570,Jain Institute of Vascular Sciences,"Vasanthnagar, Bangalore",6,400
571,571,Medilife Hospital,"Mallepally, Hyderabad",6,4
572,572,KGH Hospital,"Dilsukhnagar, Hyderabad",6,50
573,573,Springleaf Healthcare,"Electronics City, Bangalore",6,25
574,574,Femiint Health,"Whitefield, Bangalore",6,20
575,575,Dr. Agarwal's Eye Hospital,"JP Nagar 3 Phase, Bangalore",6,25
576,576,Metro Hospitals & Heart Institute,"Sector 12, Noida",6,110
577,577,Curewell Hospital,"Lakdikapul, Hyderabad",6,12
578,578,CMRA Hospital,"Kundalahalli, Bangalore",6,5
579,579,Bhagwan Mahaveer Jain Hospital,"Banashankari 3rd Stage, Bangalore",6,100
580,580,Maxcure Hospitals,"Saifabad, Hyderabad",6,200
581,581,Aadarsh Nursing Home,"Ghatkopar West, Mumbai",6,20
582,582,Fortis Hospital and Kidney Institute,"Rash Behari Avenue, Kolkata",6,100
583,583,Devagiri Hospital,"Banashankari, Bangalore",6,50
584,584,Vijaya Hospital,"Dasarahalli, Bangalore",6,25
585,585,Maxivision Eye Hospital,"Somajiguda, Hyderabad",6,20
586,586,Eswar Eye Hospital,"Kukatpally, Hyderabad",6,10
587,587,Magna Code,"Jubilee Hills, Hyderabad",6,5
588,588,Aryan Hospital,"Nagarbhavi, Bangalore",6,50
589,589,Grover Eye Laser & ENT Hospital,"Sector 35, Chandigarh",6,50
590,590,Hope Clinic Maternity Centre,"Sector 21, Chandigarh",6,7
591,591,Spectrum Physio Centre,"Richmond Town, Bangalore",6,75
592,592,Geetha Maternity And Surgical Centre,"Rajarajeshwarinagar, Bangalore",6,11
593,593,Trinity Hospital and Heart Foundation,"Basavanagudi, Bangalore",6,100
594,594,Parvathi Nursing Home,"KK Nagar, Chennai",6,25
595,595,Sai Siva Children Hospital,"Chanda Nagar, Hyderabad",6,30
596,596,KKR ENT Hospital and Research Centre,"Kilpauk, Chennai",6,35
597,597,Paramitha Children Hospital,"Dilsukhnagar, Hyderabad",6,100
598,598,Aditi Hospital,"Mulund West, Mumbai",6,4
599,599,Pushpanjali Medical Centre,"Anand Vihar, Delhi",6,45
600,600,Santosham Chest Hospital,"Egmore, Chennai",6,50
601,601,Talasila Super Speciality Dental Hospital,"Gajuwaka, Visakhapatnam",6,5
602,602,J S Hospital,"Sector 135, Noida",6,100
603,603,Vasan Eye Care Hospital,"Chromepet, Chennai",6,10
604,604,Ujhwal Hospitals,"Madhurawada, Visakhapatnam",6,100
605,605,Madha Clinic,"Triplicane, Chennai",6,75
606,606,Jayashree Nurshing Home,"Kandivali West, Mumbai",6,10
607,607,NM Fertility Centre and Hospital,"Madhavaram, Chennai",6,25
608,608,Neptune Hospital ,"Malviya Nagar, Delhi",6,18
609,609,Bhagirathi Children's Hospital,"Karve Nagar, Pune",6,18
610,610,Aalayaa Hospital,"Vadapalani, Chennai",6,2
611,611,Aarogya Hospital,"Chitra Vihar, Delhi",6,30
612,612,Asian Cancer Institute,"Sion East, Mumbai",6,80
613,613,Sri Ram Speciality Hospital,"Viveknagar, Bangalore",5,25
614,614,Nagamani Hospital,"Washermenpet, Chennai",5,25
615,615,Diamond Hospital,"Jogeshwari West, Mumbai",5,20
616,616,Medipoint Hospital,"Chandan Nagar, Pune",5,50
617,617,Siva Eye Hospital,"Dilsukhnagar, Hyderabad",5,10
618,618,Parvathy Hospital,"Chromepet, Chennai",5,50
619,619,Devi Eye Hospital,"Koramangala 6 Block, Bangalore",5,10
620,620,Acura Speciality Hospital,"Koramangala 5 Block, Bangalore",5,20
621,621,Vatsalya Mother & Child Care,"Bhosari, Pune",5,20
622,622,Lunkad Hospital,"Yerwada, Pune",5,4
623,623,Columbus Hospital - Institute Of Psychiatry and Deaddiction,"Begumpet, Hyderabad",5,30
624,624,Rathod Orthopaedic Hospital,"Borivali West, Mumbai",5,5
625,625,Hans Charitable Hospital,"GTB Nagar, Delhi",5,50
626,626,Dr. A.C Aruldas Hospital,"Perambur, Chennai",5,40
627,627,Jeevan Sai Hospital,"Vanasthalipuram, Hyderabad",5,15
628,628,Speciality ENT Hospital,"Kandivali East, Mumbai",5,4
629,629,Remedy Hospital,"Hadapsar, Pune",5,35
630,630,Sir Ganga Ram Kolmet Hospital,"Old Rajendra Nagar, Delhi",5,40
631,631,HCG SMH Curie Cancer Centre,"Karkardooma, Delhi",5,15
632,632,IBS Hospital,"Lajpat Nagar, Delhi",5,50
633,633,Srikara Hospitals,"Miyapur, Hyderabad",5,200
634,634,Sai Baba Hospital,"Bhayandar East, Mumbai",5,34
635,635,Apollo Spectra Hospital,"Kothaguda, Hyderabad",5,21
636,636,Kensington Hospital - Kilpauk,"Kilpauk, Chennai",5,3
637,637,Sai Bharadwaja Advanced Ayurveda Hospital,"Erragadda, Hyderabad",5,10
638,638,Sri Sai Balaji Hospital,"Nagole, Hyderabad",5,15
639,639,Lakshmi Nursing Home,"Mulund West, Mumbai",5,18
640,640,Vasan Eye Care Hospital - Vadapalani,"Vadapalani, Chennai",5,10
641,641,Madhuri Hospital,"Yousufguda, Hyderabad",5,10
642,642,Jeewan Mala Hospital,"Karol Bagh, Delhi",5,75
643,643,Cosh,"Tambaram, Chennai",5,50
644,644,Sri Srinivasa Hospital,"Santosh Nagar, Hyderabad",5,51
645,645,Doctor Square Multispeciality Hospital,"Zirakpur, Chandigarh",5,10
646,646,Swaram Specialty Hospital,"Sholinganallur, Chennai",5,30
647,647,Dr Kamaraj Hospital For Men's Health,"Vadapalani, Chennai",5,10
648,648,KLS Memorial Hospital,"Vileparle West, Mumbai",5,5
649,649,Pooja Nursing Home,"Paharpur, Lucknow",5,10
650,650,Apollo Hospital,"Secunderabad, Hyderabad",5,150
651,651,Hindu Mission Health Services,"Nanganallur, Chennai",5,50
652,652,Harish Nursing Home,"Lower Parel, Mumbai",5,9
653,653,Kirloskar Hospital,"Basheerbagh, Hyderabad",5,50
654,654,Pragna Hospitals,"Banjara Hills, Hyderabad",5,50
655,655,Deepam Hospitals,"Tambaram West, Chennai",5,136
656,656,Shreeyash Hospital,"Deccan Gymkhana, Pune",5,3
657,657,Krishna Children's Hospital,"Lakdikapul, Hyderabad",5,50
658,658,SRV Hospital,"Goregaon West, Mumbai",5,45
659,659,Laksha Hospital,"Mylapore, Chennai",5,50
660,660,V Care Hospital and ICU,"Kurla East, Mumbai",5,17
661,661,OHF - Om Shree Swami Samarth Hospital,"Chinchwad, Pune",5,20
662,662,Preeti Urology and Kidney Hospital,"Kukatpally, Hyderabad",5,75
663,663,DRJ Hospital,"Kolathur, Chennai",5,75
664,664,Wellspring Mother & Child Hospital,"Sadashivanagar, Bangalore",5,25
665,665,Sarodev Hospital,"Kandivali East, Mumbai",5,10
666,666,Yatharth Wellness Hospital & Trauma Centre,"Greater Noida, Noida",5,157
667,667,Jain Muni Roshan Lal Charitable Hospital,"Tri Nagar, Delhi",5,25
668,668,Jeevan Maternity & General Hospital,"Malad East, Mumbai",5,30
669,669,Jeevanshree Hospital,"Chandan Nagar, Pune",5,5
670,670,Sunitha Children's Hospital,"Sagar Road, Hyderabad",5,50
671,671,Zenith Hospital,"Malad, Mumbai",5,100
672,672,Siddhi Health Care Center,"Sangavi, Pune",5,50
673,673,Care Hospitals,"Gachibowli, Hyderabad",5,250
674,674,Manashasthra Integrated Mind Care,"Vanagaram, Chennai",5,40
675,675,Dr. Deva Multi Speciality Hospital,"Pattabiram, Chennai",5,10
676,676,Hyderabad Women And Children Hospital,"Mallepally, Hyderabad",5,2
677,677,Sagar Hospital DSI,"Banashankari, Bangalore",5,400
678,678,Max Multispeciality Hospital,"Greater Noida, Noida",5,114
679,679,Padhuvai Hospital,"Madipakkam, Chennai",5,10
680,680,Surana Sethia Hospital and Research Center,"Chembur, Mumbai",5,75
681,681,K H Nursing Home,"Chromepet, Chennai",5,15
682,682,Rainbow Children's Hospital,"Hyder Nagar, Hyderabad",5,80
683,683,Chenna Reddy Hospital,"Chanda Nagar, Hyderabad",5,10
684,684,Kings Hospital,"Kolathur, Chennai",5,40
685,685,Priyank Nursing Home,"Prabhadevi, Mumbai",5,7
686,686,Trauma and Orthopaedic Speciality Hospital (TOSH),"Kilpauk, Chennai",5,30
687,687,Tandon Hospital,"Chembur East, Mumbai",4,11
688,688,Ankur Hospital,"Kandivali West, Mumbai",4,15
689,689,Republic Maternity Centre,"Bapujinagar, Bangalore",4,10
690,690,Maruti Nursing Home,"Mulund East, Mumbai",4,15
691,691,Pikale Hospital,"Mahim, Mumbai",4,10
692,692,"Radiant Hospital - Institute of Mental Health, Addiction & Rehabilitation","Banjara Hills, Hyderabad",4,20
693,693,Seha Hospital,"Lakdikapul, Hyderabad",4,10
694,694,Enhanced Health Care,"Indiranagar, Bangalore",4,20
695,695,Satya Bhama Hospital,"Nangloi, Delhi",4,55
696,696,Vasan Eye Care Hospital - Anna Nagar,"Anna Nagar East, Chennai",4,10
697,697,RC Hospital ,"Rajarajeshwarinagar, Bangalore",4,20
698,698,Motherhood Hospital Chennai,"Alwarpet, Chennai",4,5
699,699,Ayush Hospital,"Kandivali, Mumbai",4,13
700,700,Hitech Kidney Stone Hospital,"Kumara Park West, Bangalore",4,5
701,701,SKS Hospital,"Mogappair East, Chennai",4,10
702,702,Mohan Nursing Home,"Ayanavaram, Chennai",4,30
703,703,Ojas Eye Hospital,"Bandra West, Mumbai",4,25
704,704,Birthright By Rainbow,"Vikrampuri Colony, Hyderabad",4,60
705,705,Orthopaedic Excellence Group Available at Fortis Hospital,"Vasant Kunj, Delhi",4,150
706,706,Bhaskara Hospital,"SR Nagar, Hyderabad",4,10
707,707,Sankara Kidney Hospital,"Pallavaram, Chennai",4,50
708,708,Gunasheela Fertility Centre,"Koramangala 3 Block, Bangalore",4,1
709,709,Suyash Hospital,"Kothrud, Pune",4,15
710,710,Sunrise Hospitals,"East Of Kailash, Delhi",4,250
711,711,Chennai Krishna Hospital,"Chromepet, Chennai",4,11
712,712,Dr. Sailaja's Super Speciality Eye Hospital,"Horamavu, Bangalore",4,50
713,713,Nova ENT Hospital,"Somajiguda, Hyderabad",4,30
714,714,Raj Nursing Home,"Mogappair East, Chennai",4,5
715,715,Sanjeevani Maternity,"Mira Road, Mumbai",4,10
716,716,Pankajam Memorial Hospital,"Nanganallur, Chennai",4,25
717,717,Srinivas Priya Hospital,"Perambur, Chennai",4,75
718,718,Agada Hospital,"T Nagar, Chennai",4,35
719,719,OM Hospital,"Senapati Bapat Marg, Pune",4,10
720,720,Niranjana Hospital and Well Women Centre,"Villivakkam, Chennai",4,25
721,721,Healix Hospitals,"Madinaguda, Hyderabad",4,100
722,722,Shree Hospital,"Kharadi, Pune",4,75
723,723,People's Hospital,"Pragathi Nagar, Hyderabad",4,5
724,724,Cherish Hospital,"Thirumullaivoyal, Chennai",4,20
725,725,Sai Multispeciality Hospital,"Hadapsar, Pune",4,30
726,726,Dr. Jonwal's Niramay Ayush Panchkarm Health Institute & Research Hospital,"Kandivali West, Mumbai",4,15
727,727,Tanvir Hospital,"Srinagar Colony, Hyderabad",4,37
728,728,SHUBHAM HOSPITAL,"Kalkaji, Delhi",4,20
729,729,Artemis Hospitals,"Dwarka, Delhi",4,50
730,730,Sparsh Hospital,"Hosur Road, Bangalore",4,150
731,731,Sarla Hospital,"Santacruz West, Mumbai",4,35
732,732,Dr. Rao's ENT Super Speciality International Hospital,"KPHB, Hyderabad",4,100
733,733,Saptagiri Hospital,"Chaitanyapuri, Hyderabad",4,50
734,734,Balaji Hospital,"Kompally, Hyderabad",4,100
735,735,Irla Nursing Home & Polyclinic,"Vileparle West, Mumbai",4,16
736,736,GG Superspeciality Hospitals,"Nungambakkam, Chennai",4,30
737,737,SMT. Bhagwan Devi Hospital,"Old City, Hyderabad",4,50
738,738,J V Hospital,"Kodambakkam, Chennai",4,30
739,739,Shree Hospital,"Chembur, Mumbai",4,28
740,740,SIMS Hospital,"Serilingampally, Hyderabad",4,50
741,741,Sugam Hospital,"Thiruvottiyur, Chennai",4,100
742,742,Suraj Hospital,"Market Yard, Pune",4,15
743,743,Citizens Specialty Hospitals,"Lingampally, Hyderabad",4,250
744,744,CHL Hospital,"LIG Colony, Indore",4,250
745,745,Tilaknagar Hospital,"Amberpet, Hyderabad",4,25
746,746,Cloudnine Hospital,"Bellandur, Bangalore",4,30
747,747,Eye Q Super Speciality Eye Hospitals,"Shalimar Bagh, Delhi",4,2
748,748,Pandya Surgical & Maternity Hospital,"Borivali, Mumbai",4,8
749,749,Kelkar Nursing Home,"Deccan Gymkhana, Pune",4,4
750,750,Parimala Health Care Services,"Bannerghatta Road, Bangalore",4,25
751,751,Amrutha Hospital,"Vidyanagar, Hyderabad",4,10
752,752,Kokan Hospital,"Jogeshwari East, Mumbai",4,21
753,753,Ankura Children's Hospitals,"AS Rao Nagar, Hyderabad",4,100
754,754,Hemraj Jain Hospital and Maternity Home,"Janak Puri, Delhi",4,30
755,755,Maxi Vision Super Speciality Eye Hospital,"Dilsukhnagar, Hyderabad",4,15
756,756,R G Stone Urology & Laparoscopy Hospital,"Rajouri Garden, Delhi",4,15
757,757,Sri Ramakrishna Hospital,"Kachiguda, Hyderabad",4,15
758,758,Manipal Ankur,"Kalyan Nagar, Bangalore",4,25
759,759,Pawar Hospital,"Dhankawadi, Pune",4,40
760,760,Sunil Memorial,"Dwarka, Delhi",4,20
761,761,Sanghvi Hospital,"Andheri West, Mumbai",4,5
762,762,Apex Hospital,"Borivali West, Mumbai",4,5
763,763,Chaitanya Hospitals & Diagnostics,"Kushaiguda, Hyderabad",4,50
764,764,Orbit Eye Hospital,"Jogeshwari, Mumbai",4,25
765,765,Sudha Nursing Home,"Safilguda, Hyderabad",4,25
766,766,Rainbow Children's Hospital,"Madhapur, Hyderabad",4,25
767,767,Right Hospitals,"Kilpauk, Chennai",4,20
768,768,Zed Dental Hospital,"Punjabi Bagh, Delhi",4,5
769,769,National Institute Of Ophthalmology,"Shivaji Nagar, Pune",4,16
770,770,Dr. Vaidya Eye Hospital,"Andheri West, Mumbai",4,20
771,771,Dr. Sunil Ugile's Piles Clinic(Ashutosh Hospital),"Kalewadi, Pune",4,5
772,772,Gnadhi Nursing Home,"Nigdi, Pune",4,18
773,773,Nethralakshi Eye Hospital,"Chamarajpet, Bangalore",4,30
774,774,Vibhu Nursing Home,"Malviya Nagar, Delhi",4,7
775,775,Deendayal Memorial Hospital,"FC Road, Pune",4,30
776,776,Niramay Hospital,"Wadgaon Sheri, Pune",4,15
777,777,Visitech Eye Centre,"South Extension 2, Delhi",4,10
778,778,Sukhija Nursing Home,"Vivek Vihar, Delhi",4,5
779,779,My Nation Ayurvedic Village,"Chanchalguda, Hyderabad",3,20
780,780,Health Point Hospital,"Thakurganj, Lucknow",3,15
781,781,Villivakkam Health Centre,"Villivakkam, Chennai",3,5
782,782,CEDS Eye Hospital,"Bandra West, Mumbai",3,4
783,783,Fortis la Femme,"Richmond Town, Bangalore",3,67
784,784,Vijay Krishna Nursing Home,"Sanath Nagar, Hyderabad",3,15
785,785,Eva Hospital,"Adajan Dn, Surat",3,15
786,786,Samadhan Hospital,"Sion West, Mumbai",3,4
787,787,Aravind Hospital,"Hayathnagar, Hyderabad",3,15
788,788,Pandhi Hospital,"Sector 36, Chandigarh",3,40
789,789,Vasan Eye Care Hospital,"Perambur, Chennai",3,10
790,790,Saraogi Hospital,"Malad West, Mumbai",3,15
791,791,Vasan Eye Care Hospital - Triplicane,"Triplicane, Chennai",3,10
792,792,Olive Hospital,"Mehdipatnam, Hyderabad",3,100
793,793,Aditya Homoeopathic Hospital And Healing Centre,"Pimpri, Pune",3,72
